"","treatment","lifespan"
"1","water",6
"2","water",10
"3","water",12
"4","water",12
"5","water",13
"6","water",13
"7","water",14
"8","water",14
"9","water",14
"10","water",14
"11","water",14
"12","water",14
"13","water",14
"14","water",14
"15","water",14
"16","water",14
"17","water",14
"18","water",16
"19","water",16
"20","water",16
"21","water",16
"22","water",16
"23","water",16
"24","water",16
"25","water",16
"26","water",16
"27","water",16
"28","water",16
"29","water",16
"30","water",16
"31","water",17
"32","water",17
"33","water",18
"34","water",18
"35","water",18
"36","water",18
"37","water",18
"38","water",18
"39","water",19
"40","water",19
"41","water",19
"42","water",19
"43","water",19
"44","water",19
"45","water",20
"46","water",20
"47","water",21
"48","water",22
"49","water",22
"50","water",28
"51","larva+adult",8
"52","larva+adult",10
"53","larva+adult",10
"54","larva+adult",10
"55","larva+adult",10
"56","larva+adult",10
"57","larva+adult",10
"58","larva+adult",10
"59","larva+adult",10
"60","larva+adult",12
"61","larva+adult",12
"62","larva+adult",12
"63","larva+adult",12
"64","larva+adult",13
"65","larva+adult",16
"66","larva+adult",16
"67","larva+adult",17
"68","larva+adult",18
"69","larva+adult",19
"70","larva+adult",20
"71","larva+adult",22
"72","larva+adult",22
"73","larva+adult",22
"74","larva+adult",24
"75","larva+adult",24
"76","larva+adult",25
"77","larva+adult",25
"78","larva+adult",26
"79","larva+adult",26
"80","larva+adult",28
"81","larva+adult",28
"82","larva+adult",28
"83","larva+adult",28
"84","larva+adult",28
"85","larva+adult",28
"86","larva+adult",28
"87","larva+adult",29
"88","larva+adult",29
"89","larva+adult",29
"90","larva+adult",30
"91","larva+adult",30
"92","larva+adult",30
"93","larva+adult",31
"94","larva+adult",32
"95","larva+adult",32
"96","larva+adult",32
"97","larva+adult",32
"98","larva+adult",36
"99","larva+adult",36
"100","larva+adult",36
"101","larva",10
"102","larva",10
"103","larva",10
"104","larva",10
"105","larva",10
"106","larva",10
"107","larva",12
"108","larva",12
"109","larva",12
"110","larva",12
"111","larva",12
"112","larva",12
"113","larva",12
"114","larva",13
"115","larva",13
"116","larva",14
"117","larva",14
"118","larva",14
"119","larva",14
"120","larva",14
"121","larva",14
"122","larva",16
"123","larva",16
"124","larva",16
"125","larva",16
"126","larva",16
"127","larva",16
"128","larva",16
"129","larva",16
"130","larva",16
"131","larva",16
"132","larva",16
"133","larva",16
"134","larva",17
"135","larva",17
"136","larva",18
"137","larva",18
"138","larva",18
"139","larva",18
"140","larva",19
"141","larva",19
"142","larva",19
"143","larva",19
"144","larva",19
"145","larva",19
"146","larva",19
"147","larva",20
"148","larva",20
"149","larva",22
"150","larva",22
"151","adult",8
"152","adult",8
"153","adult",8
"154","adult",10
"155","adult",10
"156","adult",10
"157","adult",12
"158","adult",12
"159","adult",12
"160","adult",12
"161","adult",13
"162","adult",14
"163","adult",16
"164","adult",17
"165","adult",17
"166","adult",19
"167","adult",19
"168","adult",19
"169","adult",20
"170","adult",20
"171","adult",20
"172","adult",20
"173","adult",21
"174","adult",22
"175","adult",22
"176","adult",22
"177","adult",22
"178","adult",22
"179","adult",22
"180","adult",23
"181","adult",23
"182","adult",23
"183","adult",24
"184","adult",25
"185","adult",25
"186","adult",25
"187","adult",26
"188","adult",26
"189","adult",26
"190","adult",26
"191","adult",26
"192","adult",28
"193","adult",28
"194","adult",28
"195","adult",28
"196","adult",28
"197","adult",29
"198","adult",29
"199","adult",30
"200","adult",32
