"","mass"
"1",3.09
"2",2.91
"3",3.06
"4",2.69
"5",2.88
"6",2.98
"7",1.61
"8",2.16
"9",1.56
"10",1.76
"11",1.79
"12",3.3
"13",1.91
"14",1.99
"15",1.69
"16",1.44
"17",3.25
"18",2.18
"19",2.13
"20",1.25
"21",2.33
"22",1.95
"23",2.56
"24",1.76
"25",1.53
"26",1.66
"27",1.81
"28",1.7
"29",1.84
"30",1.52
"31",1.75
"32",1.39
"33",2.62
"34",1.58
"35",1.83
"36",1.54
"37",1.76
"38",1.99
"39",3.53
"40",1.6
"41",1.85
"42",1.85
"43",1.72
"44",3.3
"45",2.87
"46",3.08
"47",3.27
"48",1.47
"49",2.29
"50",1.7
"51",2.83
"52",2.93
"53",1.88
"54",3
"55",1.74
"56",3.21
"57",1.74
"58",2.02
"59",2.92
"60",3.49
"61",1.89
"62",1.83
"63",1.67
"64",1.9
"65",1.99
"66",1.83
"67",2.9
"68",2.76
"69",2.04
"70",2.03
"71",1.6
"72",2.02
"73",3.04
"74",2.68
"75",2.32
"76",1.98
"77",1.94
"78",1.58
"79",1.94
"80",2.5
"81",1.91
"82",2.66
"83",1.9
"84",2.13
"85",1.97
"86",3.11
"87",2.36
"88",1.84
"89",1.96
"90",1.8
"91",3.11
"92",1.89
"93",2.03
"94",1.75
"95",2.94
"96",1.89
"97",2
"98",1.76
"99",3.07
"100",1.79
"101",1.67
"102",3
"103",1.99
"104",2.81
"105",1.94
"106",1.41
"107",1.91
"108",1.64
"109",1.81
"110",1.88
"111",1.5
"112",1.77
"113",1.96
"114",1.9
"115",2.26
"116",1.7
"117",1.78
"118",1.53
"119",1.94
"120",2.42
"121",2.75
"122",1.61
"123",1.87
"124",1.84
"125",1.6
"126",1.82
"127",2.07
"128",1.35
"129",2.95
"130",1.55
"131",1.42
"132",1.74
"133",2.03
"134",3
"135",1.7
"136",1.57
"137",1.73
"138",2.12
"139",2.82
"140",1.93
"141",1.9
"142",1.46
"143",1.61
"144",1.6
"145",1.74
"146",1.59
"147",1.65
"148",2.87
"149",1.98
"150",1.62
"151",2.78
"152",1.65
"153",1.82
"154",1.64
"155",1.78
"156",1.18
"157",1.44
"158",1.87
"159",1.76
"160",1.6
"161",1.59
"162",2.58
"163",1.41
"164",1.89
"165",1.62
"166",2.7
"167",1.63
"168",1.94
"169",2.14
"170",3.1
"171",2.02
"172",1.52
"173",1.46
"174",1.63
"175",2.57
"176",1.64
"177",1.22
"178",1.56
"179",1.89
"180",1.97
"181",1.62
"182",1.93
"183",1.57
"184",1.73
"185",1.62
"186",2.9
"187",1.54
"188",1.41
"189",1.72
"190",1.7
"191",1.68
"192",1.99
"193",1.78
"194",2.99
"195",1.65
"196",1.64
"197",1.7
"198",3.38
"199",1.98
"200",2.39
"201",1.5
"202",2.2
"203",1.6
"204",1.95
"205",1.57
"206",1.58
"207",1.64
"208",2.03
"209",2.69
"210",1.81
"211",3.05
"212",1.38
"213",1.76
"214",1.53
"215",1.69
"216",1.31
"217",2.59
"218",2.45
"219",2.77
"220",1.6
"221",1.84
"222",1.2
"223",1.93
"224",1.72
"225",1.59
"226",1.82
"227",1.86
"228",1.58
