"","flower.length","generation"
"1",55,"F1"
"2",55,"F1"
"3",55,"F1"
"4",55,"F1"
"5",58,"F1"
"6",58,"F1"
"7",58,"F1"
"8",58,"F1"
"9",58,"F1"
"10",58,"F1"
"11",58,"F1"
"12",58,"F1"
"13",58,"F1"
"14",58,"F1"
"15",61,"F1"
"16",61,"F1"
"17",61,"F1"
"18",61,"F1"
"19",61,"F1"
"20",61,"F1"
"21",61,"F1"
"22",61,"F1"
"23",61,"F1"
"24",61,"F1"
"25",61,"F1"
"26",61,"F1"
"27",61,"F1"
"28",61,"F1"
"29",61,"F1"
"30",61,"F1"
"31",61,"F1"
"32",61,"F1"
"33",61,"F1"
"34",61,"F1"
"35",61,"F1"
"36",61,"F1"
"37",61,"F1"
"38",61,"F1"
"39",61,"F1"
"40",61,"F1"
"41",61,"F1"
"42",61,"F1"
"43",61,"F1"
"44",61,"F1"
"45",61,"F1"
"46",61,"F1"
"47",61,"F1"
"48",61,"F1"
"49",61,"F1"
"50",61,"F1"
"51",61,"F1"
"52",61,"F1"
"53",61,"F1"
"54",61,"F1"
"55",61,"F1"
"56",64,"F1"
"57",64,"F1"
"58",64,"F1"
"59",64,"F1"
"60",64,"F1"
"61",64,"F1"
"62",64,"F1"
"63",64,"F1"
"64",64,"F1"
"65",64,"F1"
"66",64,"F1"
"67",64,"F1"
"68",64,"F1"
"69",64,"F1"
"70",64,"F1"
"71",64,"F1"
"72",64,"F1"
"73",64,"F1"
"74",64,"F1"
"75",64,"F1"
"76",64,"F1"
"77",64,"F1"
"78",64,"F1"
"79",64,"F1"
"80",64,"F1"
"81",64,"F1"
"82",64,"F1"
"83",64,"F1"
"84",64,"F1"
"85",64,"F1"
"86",64,"F1"
"87",64,"F1"
"88",64,"F1"
"89",64,"F1"
"90",64,"F1"
"91",64,"F1"
"92",64,"F1"
"93",64,"F1"
"94",64,"F1"
"95",64,"F1"
"96",64,"F1"
"97",64,"F1"
"98",64,"F1"
"99",64,"F1"
"100",64,"F1"
"101",64,"F1"
"102",64,"F1"
"103",64,"F1"
"104",64,"F1"
"105",64,"F1"
"106",64,"F1"
"107",64,"F1"
"108",64,"F1"
"109",64,"F1"
"110",64,"F1"
"111",64,"F1"
"112",64,"F1"
"113",64,"F1"
"114",64,"F1"
"115",64,"F1"
"116",64,"F1"
"117",64,"F1"
"118",64,"F1"
"119",64,"F1"
"120",64,"F1"
"121",64,"F1"
"122",64,"F1"
"123",64,"F1"
"124",64,"F1"
"125",64,"F1"
"126",64,"F1"
"127",64,"F1"
"128",64,"F1"
"129",64,"F1"
"130",64,"F1"
"131",67,"F1"
"132",67,"F1"
"133",67,"F1"
"134",67,"F1"
"135",67,"F1"
"136",67,"F1"
"137",67,"F1"
"138",67,"F1"
"139",67,"F1"
"140",67,"F1"
"141",67,"F1"
"142",67,"F1"
"143",67,"F1"
"144",67,"F1"
"145",67,"F1"
"146",67,"F1"
"147",67,"F1"
"148",67,"F1"
"149",67,"F1"
"150",67,"F1"
"151",67,"F1"
"152",67,"F1"
"153",67,"F1"
"154",67,"F1"
"155",67,"F1"
"156",67,"F1"
"157",67,"F1"
