"","infection.status","eaten"
"1","uninfected","yes"
"2","uninfected","no"
"2.1","uninfected","no"
"2.2","uninfected","no"
"2.3","uninfected","no"
"2.4","uninfected","no"
"2.5","uninfected","no"
"2.6","uninfected","no"
"2.7","uninfected","no"
"2.8","uninfected","no"
"2.9","uninfected","no"
"2.10","uninfected","no"
"2.11","uninfected","no"
"2.12","uninfected","no"
"2.13","uninfected","no"
"2.14","uninfected","no"
"2.15","uninfected","no"
"2.16","uninfected","no"
"2.17","uninfected","no"
"2.18","uninfected","no"
"2.19","uninfected","no"
"2.20","uninfected","no"
"2.21","uninfected","no"
"2.22","uninfected","no"
"2.23","uninfected","no"
"2.24","uninfected","no"
"2.25","uninfected","no"
"2.26","uninfected","no"
"2.27","uninfected","no"
"2.28","uninfected","no"
"2.29","uninfected","no"
"2.30","uninfected","no"
"2.31","uninfected","no"
"2.32","uninfected","no"
"2.33","uninfected","no"
"2.34","uninfected","no"
"2.35","uninfected","no"
"2.36","uninfected","no"
"2.37","uninfected","no"
"2.38","uninfected","no"
"2.39","uninfected","no"
"2.40","uninfected","no"
"2.41","uninfected","no"
"2.42","uninfected","no"
"2.43","uninfected","no"
"2.44","uninfected","no"
"2.45","uninfected","no"
"2.46","uninfected","no"
"2.47","uninfected","no"
"2.48","uninfected","no"
"3","light","yes"
"3.1","light","yes"
"3.2","light","yes"
"3.3","light","yes"
"3.4","light","yes"
"3.5","light","yes"
"3.6","light","yes"
"3.7","light","yes"
"3.8","light","yes"
"3.9","light","yes"
"4","light","no"
"4.1","light","no"
"4.2","light","no"
"4.3","light","no"
"4.4","light","no"
"4.5","light","no"
"4.6","light","no"
"4.7","light","no"
"4.8","light","no"
"4.9","light","no"
"4.10","light","no"
"4.11","light","no"
"4.12","light","no"
"4.13","light","no"
"4.14","light","no"
"4.15","light","no"
"4.16","light","no"
"4.17","light","no"
"4.18","light","no"
"4.19","light","no"
"4.20","light","no"
"4.21","light","no"
"4.22","light","no"
"4.23","light","no"
"4.24","light","no"
"4.25","light","no"
"4.26","light","no"
"4.27","light","no"
"4.28","light","no"
"4.29","light","no"
"4.30","light","no"
"4.31","light","no"
"4.32","light","no"
"4.33","light","no"
"4.34","light","no"
"5","high","yes"
"5.1","high","yes"
"5.2","high","yes"
"5.3","high","yes"
"5.4","high","yes"
"5.5","high","yes"
"5.6","high","yes"
"5.7","high","yes"
"5.8","high","yes"
"5.9","high","yes"
"5.10","high","yes"
"5.11","high","yes"
"5.12","high","yes"
"5.13","high","yes"
"5.14","high","yes"
"5.15","high","yes"
"5.16","high","yes"
"5.17","high","yes"
"5.18","high","yes"
"5.19","high","yes"
"5.20","high","yes"
"5.21","high","yes"
"5.22","high","yes"
"5.23","high","yes"
"5.24","high","yes"
"5.25","high","yes"
"5.26","high","yes"
"5.27","high","yes"
"5.28","high","yes"
"5.29","high","yes"
"5.30","high","yes"
"5.31","high","yes"
"5.32","high","yes"
"5.33","high","yes"
"5.34","high","yes"
"5.35","high","yes"
"5.36","high","yes"
"6","high","no"
"6.1","high","no"
"6.2","high","no"
"6.3","high","no"
"6.4","high","no"
"6.5","high","no"
"6.6","high","no"
"6.7","high","no"
"6.8","high","no"
