"","popu","entr","rece","sean","comm","etab","salle","faut","artes","multi","depart","reg"
"D1",0.515,0.769,4.065,26,16,20,35,6288,12,0,"Ain","Rhone-Alpes"
"D2",0.536,0.731,3.942,28,14,15,38,7403,8,0,"Aisne","Picardie"
"D3",0.345,0.499,2.789,17,7,11,28,3956,4,0,"Allier","Auvergne"
"D4",0.14,0.453,2.262,17,13,15,23,3480,7,0,"Alpes de Hautes Provence","Provence-Alpes-Coted'Azur"
"D5",0.121,0.522,2.908,21,19,23,35,6053,5,0,"Hautes Alpes","Provence-Alpes-Coted'Azur"
"D6",1.011,3.52,21.731,111,23,42,94,16764,8,1,"Alpes Maritimes","Provence-Alpes-Coted'Azur"
"D7",0.286,0.401,1.909,12,20,23,34,5814,9,0,"Ardeche","Rhone-Alpes"
"D8",0.29,0.371,1.985,13,6,7,15,3214,4,0,"Ardennes","Champagne-Ardenne"
"D9",0.137,0.201,0.926,6,9,10,11,2839,6,0,"Ariege","Midi-Pyrenees"
"D10",0.292,0.573,3.491,20,4,5,19,4077,2,1,"Aube","Champagne-Ardenne"
"D11",0.31,0.674,3.435,29,11,15,37,7625,1,1,"Aude","Languedoc-Roussillon"
"D12",0.264,0.433,2.213,15,13,16,27,4527,9,0,"Aveyron","Midi-Pyrenees"
"D13",1.836,6.651,39.197,193,28,49,155,27488,20,2,"Bouches du Rhone","Provence-Alpes-Coted'Azur"
"D14",0.648,2.255,10.796,75,27,33,70,16068,12,1,"Calvados","Basse-Normandie"
"D15",0.151,0.2,1.056,9,9,9,14,2553,5,0,"Cantal","Auvergne"
"D16",0.34,0.678,3.483,27,12,13,31,5447,7,1,"Charente","Poitou-Charentes"
"D17",0.557,1.645,7.58,57,24,30,67,14364,11,1,"Charente Maritime","Poitou-Charentes"
"D18",0.314,0.634,3.23,23,7,9,23,5015,2,1,"Cher","Centre"
"D19",0.233,0.508,2.459,22,9,11,28,4937,8,1,"Correze","Limousin"
"D21",0.507,1.465,8.098,72,10,15,55,9316,7,1,"Cote d'Or","Bourgogne"
"D22",0.542,1.029,5.525,30,20,21,37,8534,14,0,"Cotes d'Armor","Bretagne"
"D23",0.124,0.17,0.745,6,7,7,12,2326,5,0,"Creuse","Limousin"
"D24",0.388,0.678,3.484,25,14,14,29,5338,10,0,"Dordogne","Aquitaine"
"D25",0.499,1.472,7.542,56,15,21,52,9356,6,1,"Doubs","Franche-Comte"
"D26",0.438,1.395,7.471,59,14,21,59,9763,10,1,"Drome","Rhone-Alpes"
"D27",0.541,1.021,5.506,35,12,12,32,6535,8,1,"Eure","Haute-Normandie"
"D28",0.408,0.492,2.77,18,8,9,19,4346,3,0,"Eure et Loir","Centre"
"D29",0.852,1.79,9.232,60,28,35,68,15848,22,0,"Finistere","Bretagne"
"D30",0.623,1.574,7.783,62,13,19,63,11212,9,2,"Gard","Languedoc-Roussillon"
"D31",1.046,4.674,25.114,106,25,32,82,16797,18,2,"Haute Garonne","Midi-Pyrenees"
"D32",0.172,0.287,1.215,8,15,17,24,3829,12,0,"Gers","Midi-Pyrenees"
"D33",1.287,5.057,24.555,171,43,52,154,32714,22,5,"Gironde","Aquitaine"
"D34",0.896,3.535,19.366,115,22,33,100,18808,11,2,"Herault","Languedoc-Roussillon"
"D35",0.868,2.344,12.295,50,35,43,65,14980,25,0,"Ille et Vilaine","Bretagne"
"D36",0.231,0.344,1.741,16,6,7,16,2607,5,0,"Indre","Centre"
"D37",0.554,1.819,8.431,52,12,16,45,10104,8,2,"Indre et Loire","Centre"
"D38",1.094,3.993,22.619,142,36,49,133,25116,18,4,"Isere","Rhone-Alpes"
"D39",0.251,0.383,1.941,12,10,13,26,5001,7,0,"Jura","Franche-Comte"
"D40",0.327,1.245,6.406,42,27,32,54,12770,15,1,"Landes","Aquitaine"
"D41",0.315,0.723,3.966,27,10,12,30,5655,6,1,"Loir et Cher","Centre"
"D42",0.729,1.754,9.222,66,20,27,66,12689,14,1,"Loire","Rhone-Alpes"
"D43",0.209,0.226,1.128,6,10,11,16,2760,5,0,"Haute Loire","Auvergne"
"D44",1.134,4.383,22.283,136,39,52,118,25570,26,4,"Loire Atlantique","Pays de la Loire"
"D45",0.618,1.308,7.07,48,11,15,33,6310,3,0,"Loiret","Centre"
"D46",0.16,0.293,1.394,7,11,12,16,3447,9,0,"Lot","Midi-Pyrenees"
"D47",0.305,0.529,2.733,21,10,12,25,4804,8,0,"Lot et Garonne","Aquitaine"
"D48",0.074,0.111,0.561,3,6,6,8,1751,2,0,"Lozere","Languedoc-Roussillon"
"D49",0.733,1.778,10.351,51,20,23,54,11102,10,1,"Maine et Loire","Pays de la Loire"
"D50",0.481,0.84,4.342,28,17,19,40,8595,12,0,"Manche","Basse-Normandie"
"D51",0.565,1.484,9.044,56,8,9,45,8719,6,1,"Marne","Champagne-Ardenne"
"D52",0.195,0.224,1.187,6,4,5,10,2357,2,0,"Haute Marne","Champagne-Ardenne"
"D53",0.285,0.495,2.586,16,11,13,29,6393,9,1,"Mayenne","Pays de la Loire"
"D54",0.714,2.223,11.921,68,18,22,56,12312,3,2,"Meurthe et Moselle","Lorraine"
"D55",0.192,0.214,1.186,8,5,5,12,1778,3,0,"Meuse","Lorraine"
"D56",0.644,1.67,8.969,60,26,29,62,12368,17,2,"Morbihan","Bretagne"
"D57",1.023,3.187,18.251,88,19,22,79,17866,9,3,"Moselle","Lorraine"
"D58",0.225,0.357,1.92,15,9,10,21,4211,6,0,"Nievre","Bourgogne"
"D59",2.555,6.868,37.459,174,35,48,151,34230,18,5,"Nord","Nord-Pas-de-Calais"
"D60",0.766,1.456,7.785,56,16,21,67,15384,6,3,"Oise","Picardie"
"D61",0.292,0.407,2.165,11,11,11,19,4506,8,0,"Orne","Basse-Normandie"
"D62",1.442,2.976,15.903,123,23,28,111,22053,10,5,"Pas de Calais","Nord-Pas-de-Calais"
"D63",0.604,1.618,9.213,57,15,19,49,8561,11,1,"Puy de Dome","Auvergne"
"D64",0.6,1.493,7.125,55,22,26,55,10183,13,1,"Pyrenees Atlantiques","Aquitaine"
"D65",0.222,0.474,2.344,17,15,17,26,5314,1,1,"Haute Pyrenees","Midi-Pyrenees"
"D66",0.393,1.231,5.705,44,18,21,44,9329,5,1,"Pyrenees Orientales","Languedoc-Roussillon"
"D67",1.026,3.569,20.338,124,13,18,78,16615,8,3,"Bas Rhin","Alsace"
"D68",0.708,1.747,10.115,43,12,15,49,11198,6,1,"Haut Rhin","Alsace"
"D69",1.579,6.992,37.359,193,33,52,141,27023,30,3,"Rhone","Rhone-Alpes"
"D70",0.23,0.231,0.97,8,9,10,16,2887,4,0,"Haute Saone","Franche-Comte"
"D71",0.545,0.878,4.704,36,18,24,50,9728,13,0,"Saone et Loire","Bourgogne"
"D72",0.53,1.119,5.617,40,12,15,39,7561,7,1,"Sarthe","Pays de la Loire"
"D73",0.373,1.704,10.264,53,42,59,89,17870,10,1,"Savoie","Rhone-Alpes"
"D74",0.632,2.981,17.616,74,33,51,98,21201,15,3,"Haute Savoie","Rhone-Alpes"
"D75",2.125,30.439,192.244,698,1,92,368,72752,38,5,"Paris","Ile-de-France"
"D76",1.239,3.366,19.172,128,23,30,108,23436,11,3,"Seine Maritime","Haute-Normandie"
"D77",1.194,3.298,19.964,87,30,33,89,19029,10,2,"Seine et Marne","Ile-de-France"
"D78",1.354,4.625,26.7,130,29,35,95,19302,14,2,"Yvelines","Ile-de-France"
"D79",0.344,0.522,2.58,17,13,16,26,5266,11,0,"Deux Sevres","Poitou-Charentes"
"D80",0.556,0.889,5.082,27,15,18,32,6622,4,0,"Somme","Picardie"
"D81",0.343,0.601,2.818,21,11,13,26,4798,8,0,"Tarn","Midi-Pyrenees"
"D82",0.206,0.342,1.704,16,7,8,19,2677,6,0,"Tarn et Garonne","Midi-Pyrenees"
"D83",0.898,2.599,14.966,87,32,42,81,16385,13,1,"Var","Provence-Alpes-Coted'Azur"
"D84",0.5,1.794,9.576,60,13,19,52,9675,11,1,"Vaucluse","Provence-Alpes-Coted'Azur"
"D85",0.54,1.027,5.701,36,27,30,55,13936,11,1,"Vendee","Pays de la Loire"
"D86",0.399,1.05,5.151,43,13,19,47,8559,7,1,"Vienne","Poitou-Charentes"
"D87",0.354,0.812,4.101,26,9,11,33,6123,7,1,"Haute Vienne","Limousin"
"D88",0.381,0.524,2.802,15,15,17,27,6391,5,0,"Vosges","Lorraine"
"D89",0.333,0.595,3.284,18,10,11,22,4051,2,1,"Yonne","Bourgogne"
"D90",0.137,0.362,1.82,14,3,5,26,5038,1,0,"Territoire de Belfort","Franche-Comte"
"D91",1.134,2.242,11.185,84,30,33,77,14414,16,1,"Essonne","Ile-de-France"
"D92",1.429,3.978,21.701,107,33,39,89,20762,24,2,"Hauts de Seine","Ile-de-France"
"D93",1.383,4.803,25.543,127,26,32,97,21168,16,4,"Seine St Denis","Ile-de-France"
"D94",1.227,4.052,23.967,122,30,36,89,23448,17,2,"Val de Marne","Ile-de-France"
"D95",1.105,2.16,11.581,66,21,22,56,12939,7,1,"Val d'Oise","Ile-de-France"
