"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10"
"Pinus.ponderosa",36,646,472,212,48,4,4,0,0,0
"Quecus.hypoleucoides",4,450,670,820,1304,724,248,106,124,22
"Pinus.cembroides",0,0,0,6,26,58,186,322,156,242
"Arctostaphylos.pringlei",0,0,0,12,42,268,108,308,438,68
"Quercus.arizonaca",0,94,18,36,218,186,74,226,50,38
"Quercus.rugosa",252,136,170,22,50,24,32,20,36,22
"Garrya.wrightii",0,0,0,8,28,0,26,232,18,20
"Pseudostuga.menziesii",88,156,28,0,0,0,0,0,0,0
"Quercus.emoryi",0,0,0,0,0,26,0,36,28,152
"Pinus.chihuahuana",0,2,2,6,84,86,0,0,0,0
"Arbutus.arizonaca",0,4,16,54,34,16,0,0,0,0
