"","pro","una","pre","pol"
"1","CGT","CGT","Duclos","Communist"
"2","CGT","CGT","Duclos","Socialist"
"3","CGT","CGT","Duclos","Left"
"4","CGT","CGT","Duclos","Center"
"5","CGT","CGT","Duclos","NR"
"6","CGT","CGT","Deferre","Socialist"
"7","CGT","CGT","Deferre","Right"
"8","CGT","CGT","Deferre","NR"
"9","CGT","CGT","Krivine","Socialist"
"10","CGT","CGT","Rocard","Socialist"
"11","CGT","CGT","Rocard","Right"
"12","CGT","CGT","Rocard","NR"
"13","CGT","CGT","Poher","Communist"
"14","CGT","CGT","Poher","Socialist"
"15","CGT","CGT","Poher","Left"
"16","CGT","CGT","Poher","Center"
"17","CGT","CGT","Poher","NR"
"18","CGT","CGT","Ducatel","Communist"
"19","CGT","CGT","Ducatel","Socialist"
"20","CGT","CGT","Pompidou","Communist"
"21","CGT","CGT","Pompidou","Socialist"
"22","CGT","CGT","Pompidou","Gaullist"
"23","CGT","CGT","Pompidou","NR"
"24","CGT","CGT","NRAbs","Communist"
"25","CGT","CGT","NRAbs","Socialist"
"26","CGT","CGT","NRAbs","Left"
"27","CGT","CGT","NRAbs","Center"
"28","CGT","CGT","NRAbs","NR"
"29","CGT","CFDT","Duclos","NR"
"30","CGT","CFDT","Pompidou","Socialist"
"31","CGT","CFDT","NRAbs","NR"
"32","CGT","FO","Duclos","Communist"
"33","CGT","FO","NRAbs","Communist"
"34","CGT","CFTC","Duclos","NR"
"35","CGT","CFTC","NRAbs","Communist"
"36","CGT","Auton","Poher","Socialist"
"37","CGT","CGC","Duclos","Communist"
"38","CGT","CGC","Pompidou","Left"
"39","CGT","CGC","Pompidou","Gaullist"
"40","CGT","Notaffi","Duclos","Communist"
"41","CGT","Notaffi","Duclos","Socialist"
"42","CGT","Notaffi","Duclos","Gaullist"
"43","CGT","Notaffi","Duclos","NR"
"44","CGT","Notaffi","Deferre","Communist"
"45","CGT","Notaffi","Deferre","Socialist"
"46","CGT","Notaffi","Deferre","NR"
"47","CGT","Notaffi","Krivine","NR"
"48","CGT","Notaffi","Rocard","Socialist"
"49","CGT","Notaffi","Rocard","NR"
"50","CGT","Notaffi","Poher","Communist"
"51","CGT","Notaffi","Poher","Socialist"
"52","CGT","Notaffi","Poher","Center"
"53","CGT","Notaffi","Poher","Gaullist"
"54","CGT","Notaffi","Poher","NR"
"55","CGT","Notaffi","Pompidou","Communist"
"56","CGT","Notaffi","Pompidou","Socialist"
"57","CGT","Notaffi","Pompidou","Center"
"58","CGT","Notaffi","Pompidou","RI"
"59","CGT","Notaffi","Pompidou","Right"
"60","CGT","Notaffi","Pompidou","Gaullist"
