"","replication","line","tester","yield"
"1",1,1,6,74.4
"2",2,1,6,70.86
"3",3,1,6,60.94
"4",4,1,6,68
"5",1,1,7,91.82
"6",2,1,7,99.18
"7",3,1,7,118.88
"8",4,1,7,120.68
"9",1,1,8,48.08
"10",2,1,8,62.1
"11",3,1,8,58.54
"12",4,1,8,41.84
"13",1,2,6,59.06
"14",2,2,6,65.62
"15",3,2,6,81.62
"16",4,2,6,86.76
"17",1,2,7,84.16
"18",2,2,7,109.74
"19",3,2,7,102.14
"20",4,2,7,94.52
"21",1,2,8,96.92
"22",2,2,8,91.44
"23",3,2,8,79.86
"24",4,2,8,74.38
"25",1,3,6,109.86
"26",2,3,6,98.16
"27",3,3,6,93.26
"28",4,3,6,102.26
"29",1,3,7,117.2
"30",2,3,7,100.28
"31",3,3,7,116.16
"32",4,3,7,112.52
"33",1,3,8,109.68
"34",2,3,8,116.48
"35",3,3,8,123.92
"36",4,3,8,120.86
"37",1,4,6,103.14
"38",2,4,6,109.66
"39",3,4,6,90.98
"40",4,4,6,119.4
"41",1,4,7,53.4
"42",2,4,7,60.86
"43",3,4,7,74.46
"44",4,4,7,69.08
"45",1,4,8,53.86
"46",2,4,8,48.3
"47",3,4,8,40.64
"48",4,4,8,44.62
"49",1,5,6,98.46
"50",2,5,6,73.1
"51",3,5,6,89.18
"52",4,5,6,75.86
"53",1,5,7,81.36
"54",2,5,7,72.82
"55",3,5,7,89.82
"56",4,5,7,83.74
"57",1,5,8,86.62
"58",2,5,8,94.18
"59",3,5,8,90.32
"60",4,5,8,108.16
"61",1,1,NA,104.86
"62",2,1,NA,84.32
"63",3,1,NA,76.92
"64",4,1,NA,76.48
"65",1,2,NA,88.02
"66",2,2,NA,106.54
"67",3,2,NA,89.82
"68",4,2,NA,108.68
"69",1,3,NA,77.94
"70",2,3,NA,71.34
"71",3,3,NA,77.52
"72",4,3,NA,69.48
"73",1,4,NA,80.82
"74",2,4,NA,106.52
"75",3,4,NA,83.28
"76",4,4,NA,95.92
"77",1,5,NA,59.96
"78",2,5,NA,52.48
"79",3,5,NA,52.98
"80",4,5,NA,50.98
"81",1,NA,6,96.44
"82",2,NA,6,98.82
"83",3,NA,6,99.14
"84",4,NA,6,107.16
"85",1,NA,7,91.44
"86",2,NA,7,99.66
"87",3,NA,7,83.28
"88",4,NA,7,89.46
"89",1,NA,8,91.78
"90",2,NA,8,84.82
"91",3,NA,8,69.92
"92",4,NA,8,81.48
