"","per.clay","days","ralstonia"
"1",4,2,7.298
"2",4,15,6.992
"3",4,29,6.312
"4",4,43,5.969
"5",4,58,5.536
"6",4,73,5.371
"7",32,2,7.365
"8",32,15,6.867
"9",32,29,1.262
"10",32,43,0.667
"11",32,58,0.651
"12",32,73,0.457
"13",24,2,7.388
"14",24,15,5.909
"15",24,29,0.458
"16",24,43,0.458
"17",12,2,7.369
"18",12,15,7.15
"19",12,29,6.536
"20",12,43,6.233
"21",12,58,6.052
"22",12,73,5.657
"23",8,2,7.373
"24",8,15,7.234
"25",8,29,6.737
"26",8,43,6.717
"27",8,58,6.478
"28",8,73,6.471
"29",14,2,7.047
"30",14,15,6.928
"31",14,29,5.461
"32",14,43,2.777
"33",14,58,2.411
"34",14,73,2.226
"35",28,2,7.051
"36",28,15,5.633
"37",28,29,0.915
"38",22,2,6.694
"39",22,15,4.688
"40",14,2,6.968
"41",14,15,7.162
"42",14,29,6.824
"43",14,43,6.52
"44",14,58,6.415
"45",14,73,6.205
"46",20,2,7.33
"47",20,15,7.269
"48",20,29,6.853
"49",20,43,6.689
"50",20,58,6.414
"51",20,73,6.139
"52",6,2,7.111
"53",6,15,6.73
"54",6,29,6.165
"55",6,43,5.951
"56",6,58,5.354
"57",6,73,5.299
"58",10,2,7.445
"59",10,15,7.591
"60",10,29,6.991
"61",10,43,6.703
"62",10,58,6.471
"63",10,73,6.272
"64",24,2,7.54
"65",24,15,7.454
"66",24,29,6.966
"67",24,43,6.553
"68",24,58,6.379
"69",24,73,6.27
