"","plots","rep","trt","E2","E5","E7","yield"
"1",101,1,"T1",4,9,10,16
"2",102,1,"T2",3,6,7,11
"3",103,1,"T3",3,4,6,24
"4",104,1,"T4",0,0,2,27
"5",105,1,"T5",0,0,2,28
"6",106,1,"T6",2,2,4,23
"7",107,1,"T0",7,14,23,11
"8",201,2,"T1",6,12,14,14
"9",202,2,"T2",3,7,14,18
"10",203,2,"T3",2,3,5,26
"11",204,2,"T4",2,4,8,15
"12",205,2,"T5",0,0,2,26
"13",206,2,"T6",1,2,4,14
"14",207,2,"T0",6,16,21,12
"15",301,3,"T1",7,8,12,14
"16",302,3,"T2",8,11,14,16
"17",303,3,"T3",3,5,13,10
"18",304,3,"T4",5,12,15,11
"19",305,3,"T5",2,9,15,10
"20",306,3,"T6",3,6,12,11
"21",307,3,"T0",11,21,35,8
