"","Place","Replication","Treatment","Factor","Female","Male","v1","v2","v3","v4","v5"
"1",1,1,1,"progenie","LT-8","TS-15",0.948,1.65,17.22,9.93,102.58
"2",1,1,2,"progenie","LT-8","TPS-13",1.052,2.2,17.84,12.45,107.37
"3",1,1,3,"progenie","LT-8","TPS-67",1.05,1.88,15.61,9.3,120.49
"4",1,1,4,"progenie","TPS-2","TS-15",1.058,2,16.04,12.77,83.78
"5",1,1,5,"progenie","TPS-2","TPS-13",1.123,2.45,16.48,14.13,90.4
"6",1,1,6,"progenie","TPS-2","TPS-67",1.115,2.63,18.72,14.6,81.79
"7",1,1,7,"progenie","TPS-25","TS-15",0.901,2.75,16.5,8.77,107.11
"8",1,1,8,"progenie","TPS-25","TPS-13",1.117,3,15.72,12.74,93.57
"9",1,1,9,"progenie","TPS-25","TPS-67",1.013,2.51,17.33,12.52,94.05
"10",1,1,10,"progenie","TPS-7","TS-15",1.39,1.93,15.63,13.24,110.52
"11",1,1,11,"progenie","TPS-7","TPS-13",1.191,2.4,16.41,16.52,74.85
"12",1,1,12,"progenie","TPS-7","TPS-67",0.776,2.35,18.72,16.2,55.39
"13",1,1,13,"progenie","MF-I","TS-15",1.15,1.98,15.48,10.17,115.92
"14",1,1,14,"progenie","MF-I","TPS-13",1.264,2.35,16.72,12.83,104.29
"15",1,1,15,"progenie","MF-I","TPS-67",0.982,2.5,16.7,12.07,83.68
"16",1,1,16,"progenie","MF-II","TS-15",1.252,1.93,16.33,13.85,93.56
"17",1,1,17,"progenie","MF-II","TPS-13",1.031,2.18,17.03,16.23,61.1
"18",1,1,18,"progenie","MF-II","TPS-67",1.025,2.2,16.64,15.4,68.98
"19",1,1,19,"progenie","Serrana","TS-15",1.304,2.9,15.51,13.61,101.84
"20",1,1,20,"progenie","Serrana","TPS-13",1.095,2.68,17.2,15.68,76.82
"21",1,1,21,"progenie","Serrana","TPS-67",0.959,2.6,18.25,16.07,66.22
"22",1,1,22,"progenie","Achirana","TS-15",0.946,2.33,17.55,14.55,71.73
"23",1,1,23,"progenie","Achirana","TPS-13",0.955,2.65,17.86,12.27,79.4
"24",1,1,24,"progenie","Achirana","TPS-67",0.785,2.4,17.96,11.96,76.39
"25",1,1,25,"progenitor","LT-8",NA,0.736,1.35,20.11,8.96,94.16
"26",1,1,26,"progenitor","TPS-2",NA,0.745,1.6,19.37,12.6,60.82
"27",1,1,27,"progenitor","TPS-25",NA,0.778,3.48,17.19,9.97,83.77
"28",1,1,28,"progenitor","TPS-7",NA,0.8,2.46,18.04,13,62.5
"29",1,1,29,"progenitor","MF-I",NA,0.975,2.83,16.25,7.83,131.48
"30",1,1,30,"progenitor","MF-II",NA,1.123,2.33,16.24,13.4,94.5
"31",1,1,31,"progenitor","Serrana",NA,0.688,3.95,17.86,5.93,122.81
"32",1,1,32,"progenitor","Achirana",NA,0.692,3,18.07,9.22,78.58
"33",1,1,33,"progenitor",NA,"TS-15",0.819,1.78,16.51,5.5,159.4
"34",1,1,34,"progenitor",NA,"TPS-13",1.188,3.03,17.41,12.07,106.12
