"","variety","number","weight","size"
"1",7,780,20,0.026
"2",9,150,2.5,0.017
"3",10,1998,30,0.015
"4",13,1169,25,0.021
"5",15,637,10,0.016
"6",16,150,2.5,0.017
"7",21,1376,10,0.007
"8",3,150,1.5,0.01
"9",7,154,4.5,0.029
"10",8,60,1.5,0.025
"11",9,281,7,0.025
"12",10,891,11,0.012
"13",13,1998,34,0.017
"14",15,75,2.5,0.033
"15",16,267,6,0.022
"16",21,138,1,0.007
"17",6,167,3,0.018
"18",7,268,7,0.026
"19",9,519,11.5,0.022
"20",10,1059,18.5,0.017
"21",13,2518,40.5,0.016
"22",6,165,3.5,0.021
"23",7,102,2,0.02
"24",8,365,7,0.019
"25",9,394,9,0.023
"26",10,76,1,0.013
"27",13,1606,31,0.019
"28",16,241,4,0.017
"29",7,196,4,0.02
"30",8,332,7,0.021
"31",9,459,10,0.022
"32",10,137,2,0.015
"33",13,1298,37,0.029
"34",13,4615,72,0.016
"35",11,80,6,0.075
"36",13,236,17,0.072
"37",1,80,0.8,0.01
"38",2,20,0.2,0.01
"39",5,80,0.8,0.01
"40",7,220,3.8,0.017
"41",8,190,1,0.005
"42",9,380,7.2,0.019
"43",11,100,1,0.01
"44",13,9400,100,0.011
"45",14,20,0.4,0.02
"46",15,40,0.4,0.01
"47",16,160,4.4,0.028
"48",1,37,1,0.027
"49",2,145,3,0.021
"50",4,33,0.5,0.015
"51",5,25,0.5,0.02
"52",6,130,2,0.015
"53",7,68,2,0.029
"54",8,40,1,0.025
"55",9,209,4,0.019
"56",11,207,5,0.024
"57",13,2399,57,0.024
"58",15,63,1,0.016
"59",16,164,3,0.018
"60",18,30,0.5,0.017
"61",1,79,1.5,0.019
"62",2,102,3,0.029
"63",6,218,3.5,0.016
"64",7,94,2.5,0.027
"65",8,89,2,0.022
"66",9,275,6,0.022
"67",11,284,7.5,0.026
"68",13,2618,66,0.025
"69",2,4,0.15,0.038
"70",4,3,0.05,0.017
"71",8,1,0.01,0.01
"72",9,5,0.2,0.04
"73",10,4,0.1,0.025
"74",11,16,0.6,0.038
"75",13,137,2.5,0.018
"76",14,1,0.04,0.04
"77",15,1,0.02,0.02
"78",16,10,0.25,0.025
"79",18,2,0.08,0.04
"80",2,10,0.2,0.02
"81",5,4,0.1,0.025
"82",6,4,0.05,0.013
"83",7,5,0.05,0.01
"84",8,3,0.1,0.033
"85",9,27,0.5,0.019
"86",10,7,0.1,0.014
"87",11,34,0.65,0.019
"88",13,342,4.6,0.013
"89",14,6,0.15,0.025
"90",15,8,0.2,0.025
"91",16,48,1.1,0.023
"92",18,6,0.2,0.033
"93",6,8,0.15,0.019
"94",7,6,0.15,0.025
"95",8,3,0.05,0.017
"96",9,62,1.5,0.024
"97",11,24,0.7,0.029
"98",13,216,4.45,0.021
"99",15,49,0.9,0.018
"100",16,5,0.1,0.02
"101",2,4,0.1,0.025
"102",4,2,0.02,0.01
"103",5,3,0.03,0.01
"104",6,11,0.2,0.018
"105",7,10,0.25,0.025
"106",8,15,0.2,0.013
"107",9,62,1.2,0.019
"108",11,12,0.3,0.025
"109",13,282,4.2,0.015
"110",14,8,0.2,0.025
"111",15,38,0.75,0.02
"112",16,24,0.45,0.019
"113",18,5,0.1,0.02
"114",1,6,0.15,0.025
"115",6,4,0.05,0.013
"116",7,6,0.2,0.033
"117",9,10,0.2,0.02
"118",11,27,0.5,0.019
"119",13,34,0.65,0.019
"120",16,7,0.1,0.014
"121",1,3,0.05,0.017
"122",6,3,0.05,0.017
"123",7,5,0.1,0.02
"124",9,15,0.2,0.013
"125",11,24,0.45,0.019
"126",13,38,0.75,0.02
"127",16,4,0.1,0.025
"128",6,1733,24,0.014
"129",8,1263,24.5,0.019
"130",9,1147,24,0.021
"131",10,1709,24,0.014
"132",13,12041,184,0.015
"133",16,3826,92,0.024
"134",3,300,3,0.01
"135",4,1335,22,0.016
"136",6,1298,26,0.02
"137",7,448,12,0.027
"138",8,279,5,0.018
"139",9,1225,31,0.025
"140",10,896,16,0.018
"141",11,394,8,0.02
"142",13,3613,60,0.017
"143",15,42,1,0.024
"144",7,848,25,0.029
"145",8,403,10,0.025
"146",9,2124,55,0.026
"147",10,3015,40,0.013
"148",11,563,20,0.036
"149",13,8183,150,0.018
"150",6,1234,22,0.018
"151",8,785,18,0.023
"152",9,1534,38,0.025
"153",10,734,13,0.018
"154",13,2646,66,0.025
"155",15,114,3,0.026
"156",6,1908,26,0.014
"157",8,821,18,0.022
"158",9,427,13,0.03
"159",10,591,11,0.019
"160",15,325,4.5,0.014
"161",16,1420,28,0.02
"162",1,360,4.8,0.013
"163",2,480,8.4,0.018
"164",5,600,13.2,0.022
"165",6,2760,34.8,0.013
"166",11,2880,30,0.01
"167",13,780,17.4,0.022
"168",14,300,3.6,0.012
"169",16,360,7.8,0.022
"170",3,200,2,0.01
"171",6,2100,50,0.024
"172",8,300,4,0.013
"173",9,600,15,0.025
"174",13,56700,500,0.009
"175",16,1300,29,0.022
"176",1,96,2,0.021
"177",2,91,3,0.033
"178",5,199,5,0.025
"179",6,381,7,0.018
"180",7,56,1,0.018
"181",8,80,2,0.025
"182",9,1404,3,0.002
"183",10,89,1,0.011
"184",11,1520,41,0.027
"185",12,95,0.5,0.005
"186",13,8368,155.5,0.019
"187",14,66,2,0.03
"188",15,128,3,0.023
"189",16,240,4,0.017
"190",2,192,5,0.026
"191",5,236,7,0.03
"192",6,1084,15,0.014
"193",7,67,2,0.03
"194",8,292,5,0.017
"195",9,291,8,0.027
"196",10,116,2,0.017
"197",11,2307,62,0.027
"198",13,13918,235,0.017
"199",14,186,4,0.022
"200",1,9,0.1,0.011
"201",2,3,0.1,0.033
"202",5,12,0.3,0.025
"203",6,28,0.6,0.021
"204",7,6,0.1,0.017
"205",8,6,0.05,0.008
"206",9,5,0.1,0.02
"207",11,84,1.5,0.018
"208",13,216,3.6,0.017
"209",14,10,0.35,0.035
"210",16,6,0.15,0.025
"211",24,2,0.05,0.025
"212",1,6,0.2,0.033
"213",5,21,0.7,0.033
"214",6,23,0.4,0.017
"215",7,5,0.08,0.016
"216",8,3,0.12,0.04
"217",9,5,0.1,0.02
"218",11,102,2.5,0.025
"219",13,184,3.4,0.018
"220",14,13,0.3,0.023
"221",16,3,0.05,0.017
"222",24,3,0.05,0.017
"223",2,4,0.1,0.025
"224",5,10,0.2,0.02
"225",6,10,0.15,0.015
"226",7,6,0.1,0.017
"227",8,7,0.1,0.014
"228",9,17,0.3,0.018
"229",11,38,0.75,0.02
"230",13,135,3,0.022
"231",14,9,0.15,0.017
"232",16,6,0.15,0.025
"233",1,5,0.03,0.006
"234",2,3,0.05,0.017
"235",5,62,1.1,0.018
"236",6,38,0.65,0.017
"237",7,7,0.1,0.014
"238",8,2,0.02,0.01
"239",9,80,1.5,0.019
"240",11,34,0.55,0.016
"241",12,1,0.01,0.01
"242",13,260,3.35,0.013
"243",14,40,0.7,0.018
"244",16,53,0.9,0.017
"245",18,3,0.03,0.01
"246",24,1,0.01,0.01
"247",1,11,0.3,0.027
"248",2,8,0.3,0.038
"249",5,16,0.45,0.028
"250",7,1,0.06,0.06
"251",8,1,0.04,0.04
"252",9,3,0.1,0.033
"253",11,41,1.2,0.029
"254",13,111,2.2,0.02
"255",14,2,0.1,0.05
"256",16,7,0.25,0.036
"257",1,28,0.9,0.032
"258",2,10,0.5,0.05
"259",5,26,0.8,0.031
"260",6,16,0.45,0.028
"261",7,12,0.6,0.05
"262",8,2,0.05,0.025
"263",9,3,0.05,0.017
"264",11,216,4.2,0.019
"265",13,322,6.3,0.02
"266",14,5,0.25,0.05
"267",16,16,0.5,0.031
"268",18,5,0.2,0.04
"269",24,6,0.2,0.033
"270",2,61,1,0.016
"271",5,39,1,0.026
"272",6,60,1,0.017
"273",8,101,2,0.02
"274",9,358,10,0.028
"275",10,73,1,0.014
"276",13,2185,40,0.018
"277",16,223,4,0.018
"278",4,784,11,0.014
"279",8,180,3,0.017
"280",9,149,3,0.02
"281",10,418,7.5,0.018
"282",13,3807,81,0.021
"283",15,222,3,0.014
"284",16,145,3,0.021
"285",2,366,10,0.027
"286",3,4000,40,0.01
"287",4,1327,20,0.015
"288",6,834,20,0.024
"289",7,4971,90,0.018
"290",8,2040,40,0.02
"291",9,434,10,0.023
"292",10,3250,45,0.014
"293",12,1892,10,0.005
"294",13,200,5,0.025
"295",15,277,4,0.014
"296",16,341,6,0.018
"297",3,200,2,0.01
"298",7,10447,230,0.022
"299",9,1367,30,0.022
"300",11,611,15,0.025
"301",13,399,8,0.02
"302",14,463,15,0.032
"303",1,393,4,0.01
"304",2,476,5,0.011
"305",3,800,5,0.006
"306",4,1294,10,0.008
"307",6,1519,15,0.01
"308",7,29652,356,0.012
"309",9,3288,50,0.015
"310",11,811,10,0.012
"311",12,1656,6,0.004
"312",13,282,5,0.018
"313",14,2138,30,0.014
"314",16,808,10,0.012
"315",8,1395,25,0.018
"316",13,6711,136,0.02
"317",6,537,11,0.02
"318",7,5792,175,0.03
"319",8,616,12,0.019
"320",9,1075,23,0.021
"321",13,2129,46,0.022
"322",14,338,8,0.024
"323",5,359,11,0.031
"324",6,3136,54,0.017
"325",7,4908,163,0.033
"326",9,2326,45,0.019
"327",11,113,3,0.027
"328",12,1460,10,0.007
"329",13,275,8,0.029
"330",14,370,12,0.032
"331",16,490,12,0.024
"332",17,392,4,0.01
"333",7,694,49,0.071
"334",11,255,18,0.071
"335",13,1145,73,0.064
"336",1,350,3.5,0.01
"337",2,140,4.2,0.03
"338",5,140,1.4,0.01
"339",6,2520,4.2,0.002
"340",7,24430,109.2,0.004
"341",8,700,14,0.02
"342",9,770,13.3,0.017
"343",10,140,1.4,0.01
"344",11,1610,34.3,0.021
"345",12,420,4.2,0.01
