"","place","Day2","Day15","Day29","Day43","Day58","Day73","Day133"
"1","Namora",7.509,7.552,6.541,6.39,6.214,5.863,4.838
"2","Hyo1",7.398,6.72,3.388,1.657,0,0,0
"3","Hyo2",7.399,6.118,2.195,0,0,0,0
"4","SR1",7.418,6.857,6.8,6.508,6.523,6.25,5.451
"5","SR2",7.325,7.414,7.221,7.005,6.937,6.777,6.437
"6","Cnt1",7.301,7.025,5.992,3.669,2.104,0,0
"7","Cnt2",7.287,6.428,2.195,0,0,0,0
"8","Cnt3",7.019,4.461,0,0,0,0,0
"9","Chz",7.347,7.381,6.856,6.705,6.469,5.959,5.037
"10","Chmar",7.42,7.552,6.037,5.835,5.396,5.21,5.132
"11","Hco1",7.681,7.703,7.093,6.974,6.44,6.365,5.595
"12","Hco2",7.683,7.483,7.14,6.874,6.508,6.326,5.502
"13","Hco3",7.557,7.343,6.98,6.49,6.334,6.22,5.411
