"","block","row","col","fumigant","dose","initial","final"
"1","B1",1,2,"Con",0,269,466
"2","B1",1,3,"See",2,283,280
"3","B1",1,4,"Chl",1,252,398
"4","B1",1,5,"Cym",1,212,386
"5","B1",1,6,"Car",1,138,194
"6","B1",1,7,"Con",0,100,219
"7","B1",2,2,"Con",0,197,421
"8","B1",2,3,"Cym",2,263,379
"9","B1",2,4,"Car",2,282,372
"10","B1",2,5,"See",1,230,256
"11","B1",2,6,"Con",0,216,708
"12","B1",2,7,"Chl",2,145,304
"13","B4",2,9,"Cym",2,95,199
"14","B4",2,10,"Car",2,127,166
"15","B4",2,11,"See",2,80,142
"16","B2",3,1,"See",1,124,268
"17","B2",3,2,"Con",0,211,505
"18","B2",3,3,"Car",1,194,433
"19","B2",3,4,"See",2,222,408
"20","B3",3,5,"See",2,193,292
"21","B3",3,6,"Con",0,209,352
"22","B3",3,7,"See",1,109,132
"23","B3",3,8,"Cym",1,153,454
"24","B4",3,9,"Con",0,134,590
"25","B4",3,10,"See",1,107,236
"26","B4",3,11,"Chl",1,89,332
"27","B2",4,1,"Con",0,102,363
"28","B2",4,2,"Chl",2,193,561
"29","B2",4,3,"Car",2,128,311
"30","B2",4,4,"Chl",1,42,222
"31","B3",4,5,"Con",0,29,254
"32","B3",4,6,"Chl",2,9,92
"33","B3",4,7,"Car",2,17,28
"34","B3",4,8,"Con",0,19,106
"35","B4",4,9,"Cym",1,41,176
"36","B4",4,10,"Car",0,74,137
"37","B4",4,11,"Con",0,88,356
"38","B2",5,1,"Cym",2,162,365
"39","B2",5,2,"Con",0,191,563
"40","B2",5,3,"Cym",1,107,415
"41","B2",5,4,"Con",0,67,338
"42","B3",5,5,"Car",1,23,80
"43","B3",5,6,"Chl",1,19,114
"44","B3",5,7,"Con",0,44,268
"45","B3",5,8,"Cym",2,48,298
"46","B4",5,9,"Con",0,25,212
"47","B4",5,10,"Chl",2,42,308
"48","B4",5,11,"Car",1,62,221
