"","yield","x","y"
"1",842,1,36
"2",803,1,35
"3",773,1,34
"4",912,1,33
"5",874,1,32
"6",908,1,31
"7",875,1,30
"8",891,1,29
"9",823,1,28
"10",785,1,27
"11",785,1,26
"12",829,1,25
"13",861,1,24
"14",906,1,23
"15",819,1,22
"16",893,1,21
"17",813,1,20
"18",816,1,19
"19",676,1,18
"20",813,1,17
"21",801,1,16
"22",718,1,15
"23",756,1,14
"24",789,1,13
"25",652,1,12
"26",729,1,11
"27",698,1,10
"28",745,1,9
"29",964,1,8
"30",671,1,7
"31",717,1,6
"32",652,1,5
"33",605,1,4
"34",559,1,3
"35",589,1,2
"36",614,1,1
"37",844,2,36
"38",841,2,35
"39",782,2,34
"40",887,2,33
"41",792,2,32
"42",875,2,31
"43",907,2,30
"44",928,2,29
"45",784,2,28
"46",794,2,27
"47",808,2,26
"48",895,2,25
"49",883,2,24
"50",885,2,23
"51",911,2,22
"52",862,2,21
"53",750,2,20
"54",758,2,19
"55",783,2,18
"56",809,2,17
"57",764,2,16
"58",784,2,15
"59",725,2,14
"60",681,2,13
"61",622,2,12
"62",650,2,11
"63",713,2,10
"64",677,2,9
"65",727,2,8
"66",729,2,7
"67",694,2,6
"68",713,2,5
"69",708,2,4
"70",722,2,3
"71",681,2,2
"72",633,2,1
"73",808,3,36
"74",870,3,35
"75",860,3,34
"76",815,3,33
"77",803,3,32
"78",899,3,31
"79",921,3,30
"80",871,3,29
"81",754,3,28
"82",764,3,27
"83",823,3,26
"84",774,3,25
"85",739,3,24
"86",790,3,23
"87",788,3,22
"88",769,3,21
"89",742,3,20
"90",811,3,19
"91",734,3,18
"92",695,3,17
"93",701,3,16
"94",730,3,15
"95",821,3,14
"96",732,3,13
"97",695,3,12
"98",700,3,11
"99",714,3,10
"100",685,3,9
"101",648,3,8
"102",690,3,7
"103",727,3,6
"104",656,3,5
"105",684,3,4
"106",726,3,3
"107",690,3,2
"108",619,3,1
"109",822,4,36
"110",970,4,35
"111",822,4,34
"112",937,4,33
"113",793,4,32
"114",788,4,31
"115",963,4,30
"116",875,4,29
"117",873,4,28
"118",822,4,27
"119",826,4,26
"120",891,4,25
"121",762,4,24
"122",655,4,23
"123",654,4,22
"124",727,4,21
"125",872,4,20
"126",702,4,19
"127",626,4,18
"128",707,4,17
"129",716,4,16
"130",750,4,15
"131",685,4,14
"132",669,4,13
"133",677,4,12
"134",764,4,11
"135",734,4,10
"136",711,4,9
"137",664,4,8
"138",687,4,7
"139",719,4,6
"140",584,4,5
"141",715,4,4
"142",705,4,3
"143",570,4,2
"144",658,4,1
"145",979,5,36
"146",943,5,35
"147",932,5,34
"148",844,5,33
"149",818,5,32
"150",867,5,31
"151",875,5,30
"152",865,5,29
"153",764,5,28
"154",714,5,27
"155",801,5,26
"156",841,5,25
"157",725,5,24
"158",690,5,23
"159",742,5,22
"160",725,5,21
"161",746,5,20
"162",728,5,19
"163",782,5,18
"164",753,5,17
"165",753,5,16
"166",733,5,15
"167",681,5,14
"168",681,5,13
"169",698,5,12
"170",680,5,11
"171",651,5,10
"172",688,5,9
"173",623,5,8
"174",705,5,7
"175",669,5,6
"176",517,5,5
"177",659,5,4
"178",571,5,3
"179",619,5,2
"180",678,5,1
"181",954,6,36
"182",914,6,35
"183",971,6,34
"184",661,6,33
"185",799,6,32
"186",790,6,31
"187",880,6,30
"188",777,6,29
"189",775,6,28
"190",748,6,27
"191",712,6,26
"192",815,6,25
"193",717,6,24
"194",769,6,23
"195",786,6,22
"196",721,6,21
"197",812,6,20
"198",741,6,19
"199",704,6,18
"200",680,6,17
"201",680,6,16
"202",705,6,15
"203",738,6,14
"204",698,6,13
"205",666,6,12
"206",681,6,11
"207",649,6,10
"208",614,6,9
"209",629,6,8
"210",622,6,7
"211",630,6,6
"212",572,6,5
"213",629,6,4
"214",637,6,3
"215",624,6,2
"216",673,6,1
"217",965,7,36
"218",916,7,35
"219",765,7,34
"220",841,7,33
"221",767,7,32
"222",831,7,31
"223",898,7,30
"224",738,7,29
"225",752,7,28
"226",724,7,27
"227",826,7,26
"228",834,7,25
"229",746,7,24
"230",765,7,23
"231",791,7,22
"232",739,7,21
"233",705,7,20
"234",757,7,19
"235",782,7,18
"236",720,7,17
"237",706,7,16
"238",728,7,15
"239",630,7,14
"240",689,7,13
"241",691,7,12
"242",645,7,11
"243",675,7,10
"244",585,7,9
"245",616,7,8
"246",523,7,7
"247",701,7,6
"248",574,7,5
"249",632,7,4
"250",637,7,3
"251",580,7,2
"252",652,7,1
"253",906,8,36
"254",836,8,35
"255",875,8,34
"256",844,8,33
"257",855,8,32
"258",757,8,31
"259",802,8,30
"260",796,8,29
"261",753,8,28
"262",717,8,27
"263",665,8,26
"264",778,8,25
"265",766,8,24
"266",719,8,23
"267",779,8,22
"268",736,8,21
"269",724,8,20
"270",732,8,19
"271",707,8,18
"272",683,8,17
"273",665,8,16
"274",667,8,15
"275",599,8,14
"276",622,8,13
"277",688,8,12
"278",622,8,11
"279",614,8,10
"280",534,8,9
"281",594,8,8
"282",526,8,7
"283",645,8,6
"284",539,8,5
"285",596,8,4
"286",577,8,3
"287",570,8,2
"288",602,8,1
"289",898,9,36
"290",858,9,35
"291",853,9,34
"292",809,9,33
"293",792,9,32
"294",751,9,31
"295",874,9,30
"296",855,9,29
"297",820,9,28
"298",736,9,27
"299",759,9,26
"300",760,9,25
"301",662,9,24
"302",743,9,23
"303",645,9,22
"304",672,9,21
"305",640,9,20
"306",623,9,19
"307",672,9,18
"308",757,9,17
"309",680,9,16
"310",703,9,15
"311",629,9,14
"312",672,9,13
"313",682,9,12
"314",661,9,11
"315",634,9,10
"316",533,9,9
"317",619,9,8
"318",661,9,7
"319",638,9,6
"320",545,9,5
"321",627,9,4
"322",561,9,3
"323",568,9,2
"324",590,9,1
"325",856,10,36
"326",926,10,35
"327",936,10,34
"328",778,10,33
"329",858,10,32
"330",774,10,31
"331",928,10,30
"332",901,10,29
"333",798,10,28
"334",724,10,27
"335",738,10,26
"336",822,10,25
"337",634,10,24
"338",770,10,23
"339",810,10,22
"340",814,10,21
"341",757,10,20
"342",786,10,19
"343",703,10,18
"344",782,10,17
"345",650,10,16
"346",684,10,15
"347",703,10,14
"348",704,10,13
"349",713,10,12
"350",728,10,11
"351",635,10,10
"352",671,10,9
"353",631,10,8
"354",683,10,7
"355",714,10,6
"356",629,10,5
"357",644,10,4
"358",590,10,3
"359",589,10,2
"360",605,10,1
"361",808,11,36
"362",922,11,35
"363",927,11,34
"364",945,11,33
"365",912,11,32
"366",863,11,31
"367",872,11,30
"368",792,11,29
"369",847,11,28
"370",838,11,27
"371",867,11,26
"372",803,11,25
"373",743,11,24
"374",728,11,23
"375",816,11,22
"376",756,11,21
"377",708,11,20
"378",805,11,19
"379",698,11,18
"380",789,11,17
"381",690,11,16
"382",777,11,15
"383",780,11,14
"384",705,11,13
"385",670,11,12
"386",715,11,11
"387",639,11,10
"388",600,11,9
"389",628,11,8
"390",619,11,7
"391",633,11,6
"392",636,11,5
"393",661,11,4
"394",646,11,3
"395",550,11,2
"396",538,11,1
"397",920,12,36
"398",910,12,35
"399",779,12,34
"400",876,12,33
"401",839,12,32
"402",902,12,31
"403",834,12,30
"404",752,12,29
"405",858,12,28
"406",769,12,27
"407",725,12,26
"408",754,12,25
"409",719,12,24
"410",740,12,23
"411",746,12,22
"412",748,12,21
"413",750,12,20
"414",786,12,19
"415",758,12,18
"416",811,12,17
"417",699,12,16
"418",747,12,15
"419",720,12,14
"420",625,12,13
"421",708,12,12
"422",775,12,11
"423",690,12,10
"424",647,12,9
"425",591,12,8
"426",709,12,7
"427",670,12,6
"428",580,12,5
"429",682,12,4
"430",639,12,3
"431",622,12,2
"432",682,12,1
"433",808,13,36
"434",872,13,35
"435",865,13,34
"436",901,13,33
"437",813,13,32
"438",771,13,31
"439",892,13,30
"440",722,13,29
"441",811,13,28
"442",819,13,27
"443",794,13,26
"444",703,13,25
"445",710,13,24
"446",691,13,23
"447",729,13,22
"448",714,13,21
"449",767,13,20
"450",739,13,19
"451",762,13,18
"452",789,13,17
"453",768,13,16
"454",713,13,15
"455",709,13,14
"456",677,13,13
"457",707,13,12
"458",690,13,11
"459",694,13,10
"460",592,13,9
"461",675,13,8
"462",620,13,7
"463",649,13,6
"464",607,13,5
"465",690,13,4
"466",672,13,3
"467",623,13,2
"468",651,13,1
"469",889,14,36
"470",805,14,35
"471",720,14,34
"472",802,14,33
"473",740,14,32
"474",747,14,31
"475",760,14,30
"476",781,14,29
