"","row","col","yield"
"1",1,1,1.7
"2",2,1,1.8
"3",3,1,1.3
"4",4,1,1.6
"5",5,1,1.6
"6",6,1,1.6
"7",7,1,1.4
"8",8,1,1.3
"9",9,1,1.4
"10",10,1,1.4
"11",11,1,1.2
"12",12,1,1.5
"13",13,1,1.7
"14",14,1,1.4
"15",15,1,1.3
"16",16,1,1.5
"17",17,1,1.5
"18",18,1,1.3
"19",19,1,1.5
"20",20,1,1.3
"21",21,1,1.4
"22",22,1,1.4
"23",23,1,1.7
"24",24,1,1.2
"25",1,2,1.6
"26",2,2,1.6
"27",3,2,1.4
"28",4,2,1.4
"29",5,2,1.8
"30",6,2,1.6
"31",7,2,1.4
"32",8,2,1.5
"33",9,2,1.4
"34",10,2,1.7
"35",11,2,1.5
"36",12,2,1.4
"37",13,2,1.5
"38",14,2,1.6
"39",15,2,1.4
"40",16,2,1.5
"41",17,2,1.4
"42",18,2,1.2
"43",19,2,1.3
"44",20,2,1.2
"45",21,2,1.2
"46",22,2,1.5
"47",23,2,1.7
"48",24,2,1.1
"49",1,3,1.9
"50",2,3,1.8
"51",3,3,1.6
"52",4,3,1.6
"53",5,3,1.6
"54",6,3,1.7
"55",7,3,1.8
"56",8,3,1.7
"57",9,3,1.4
"58",10,3,1.5
"59",11,3,1.5
"60",12,3,1.4
"61",13,3,1.8
"62",14,3,1.3
"63",15,3,1.4
"64",16,3,1.3
"65",17,3,1.3
"66",18,3,1.2
"67",19,3,1.4
"68",20,3,1.3
"69",21,3,1.2
"70",22,3,1.4
"71",23,3,1.8
"72",24,3,1.1
"73",1,4,2.1
"74",2,4,1.7
"75",3,4,1.3
"76",4,4,1.8
"77",5,4,1.9
"78",6,4,1.8
"79",7,4,1.8
"80",8,4,1.7
"81",9,4,1.5
"82",10,4,1.7
"83",11,4,1.7
"84",12,4,1.5
"85",13,4,1.7
"86",14,4,1.5
"87",15,4,1.3
"88",16,4,1.3
"89",17,4,1.3
"90",18,4,1.5
"91",19,4,1.5
"92",20,4,1.3
