"","plot","row","col","year","yield"
"1",101,20,1,95,30
"2",102,19,1,95,29.1
"3",103,18,1,95,25.7
"4",104,17,1,95,26.3
"5",105,16,1,95,30.3
"6",106,15,1,95,31.1
"7",107,14,1,95,37.1
"8",108,13,1,95,34.6
"9",109,12,1,95,34.3
"10",110,11,1,95,36.3
"11",111,10,1,95,37.5
"12",112,9,1,95,38.4
"13",113,8,1,95,36.7
"14",114,7,1,95,37.5
"15",115,6,1,95,34.8
"16",116,5,1,95,36.2
"17",117,4,1,95,49.3
"18",118,3,1,95,56.2
"19",119,2,1,95,55.6
"20",120,1,1,95,47.9
"21",201,20,2,95,26.3
"22",202,19,2,95,30.6
"23",203,18,2,95,29.7
"24",204,17,2,95,14.6
"25",205,16,2,95,12.3
"26",206,15,2,95,16.3
"27",207,14,2,95,17.1
"28",208,13,2,95,11.4
"29",209,12,2,95,13.7
"30",210,11,2,95,19.1
"31",211,10,2,95,24.3
"32",212,9,2,95,30.3
"33",213,8,2,95,30.3
"34",214,7,2,95,38.6
"35",215,6,2,95,38.6
"36",216,5,2,95,36.6
"37",217,4,2,95,37.1
"38",218,3,2,95,36.6
"39",219,2,2,95,33.7
"40",220,1,2,95,27.4
"41",301,20,3,95,30
"42",302,19,3,95,32.9
"43",303,18,3,95,26.9
"44",304,17,3,95,32.9
"45",305,16,3,95,38.6
"46",306,15,3,95,32.9
"47",307,14,3,95,31.4
"48",308,13,3,95,31.4
"49",309,12,3,95,35.7
"50",310,11,3,95,33.7
"51",311,10,3,95,34.3
"52",312,9,3,95,34.3
"53",313,8,3,95,34.3
"54",314,7,3,95,34.3
"55",315,6,3,95,28.6
"56",316,5,3,95,31.4
"57",317,4,3,95,30
"58",318,3,3,95,28.6
"59",319,2,3,95,20
"60",320,1,3,95,22
"61",401,20,4,95,31.4
"62",402,19,4,95,31.4
"63",403,18,4,95,27.1
"64",404,17,4,95,30
"65",405,16,4,95,32.9
"66",406,15,4,95,37.1
"67",407,14,4,95,35.7
"68",408,13,4,95,25.7
"69",409,12,4,95,21.4
"70",410,11,4,95,22.3
"71",411,10,4,95,25.7
"72",412,9,4,95,27.1
"73",413,8,4,95,31.4
"74",414,7,4,95,28.6
"75",415,6,4,95,24.3
"76",416,5,4,95,24.3
"77",417,4,4,95,30
"78",418,3,4,95,28.6
"79",419,2,4,95,30
"80",420,1,4,95,22.9
"81",501,20,5,95,37.7
"82",502,19,5,95,31.4
"83",503,18,5,95,29.4
"84",504,17,5,95,27.4
"85",505,16,5,95,29.1
"86",506,15,5,95,28.6
"87",507,14,5,95,24.3
"88",508,13,5,95,23.4
"89",509,12,5,95,24
"90",510,11,5,95,22.9
"91",511,10,5,95,27.1
"92",512,9,5,95,28.6
"93",513,8,5,95,31.4
"94",514,7,5,95,30
"95",515,6,5,95,37.1
"96",516,5,5,95,35.7
"97",517,4,5,95,54.3
"98",518,3,5,95,42.9
"99",519,2,5,95,51.4
"100",520,1,5,95,40
"101",601,20,6,95,28.6
"102",602,19,6,95,28.6
"103",603,18,6,95,30.6
"104",604,17,6,95,28.6
"105",605,16,6,95,32
"106",606,15,6,95,34.3
"107",607,14,6,95,30
"108",608,13,6,95,27.1
"109",609,12,6,95,27.1
"110",610,11,6,95,30
"111",611,10,6,95,34.3
"112",612,9,6,95,34.3
"113",613,8,6,95,40
"114",614,7,6,95,40
"115",615,6,6,95,45.7
"116",616,5,6,95,42.9
"117",617,4,6,95,41.4
"118",618,3,6,95,35.7
"119",619,2,6,95,32.9
"120",620,1,6,95,37.1
"121",101,20,1,96,87.9
"122",102,19,1,96,89.5
"123",103,18,1,96,89.8
"124",104,17,1,96,94.8
"125",105,16,1,96,96.9
"126",106,15,1,96,99.5
"127",107,14,1,96,94.6
"128",108,13,1,96,92.7
"129",109,12,1,96,103.9
"130",110,11,1,96,102.2
"131",111,10,1,96,92.3
"132",112,9,1,96,92.7
"133",113,8,1,96,94.1
"134",114,7,1,96,95.5
"135",115,6,1,96,91.7
"136",116,5,1,96,85.5
"137",117,4,1,96,55.1
"138",118,3,1,96,48.5
"139",119,2,1,96,71.4
"140",120,1,1,96,88.6
"141",201,20,2,96,87.7
"142",202,19,2,96,91.8
"143",203,18,2,96,86.8
"144",204,17,2,96,94.1
"145",205,16,2,96,98.4
"146",206,15,2,96,99
"147",207,14,2,96,96.5
"148",208,13,2,96,91.1
"149",209,12,2,96,97.5
"150",210,11,2,96,97.3
"151",211,10,2,96,99.6
"152",212,9,2,96,97.6
"153",213,8,2,96,95.1
"154",214,7,2,96,100.6
"155",215,6,2,96,103.5
"156",216,5,2,96,95.5
"157",217,4,2,96,91.8
"158",218,3,2,96,95.7
"159",219,2,2,96,95.1
"160",220,1,2,96,94.4
"161",301,20,3,96,89.6
"162",302,19,3,96,88.2
"163",303,18,3,96,85.1
"164",304,17,3,96,92
"165",305,16,3,96,99.4
"166",306,15,3,96,97
"167",307,14,3,96,95.2
"168",308,13,3,96,100.1
"169",309,12,3,96,99.9
"170",310,11,3,96,98.4
"171",311,10,3,96,96.4
"172",312,9,3,96,100.8
"173",313,8,3,96,97.1
"174",314,7,3,96,94.1
"175",315,6,3,96,99.4
"176",316,5,3,96,96.4
"177",317,4,3,96,92.2
"178",318,3,3,96,94.9
"179",319,2,3,96,94.7
"180",320,1,3,96,96.3
"181",401,20,4,96,88.2
"182",402,19,4,96,85.3
"183",403,18,4,96,87.6
"184",404,17,4,96,89.8
"185",405,16,4,96,96.5
"186",406,15,4,96,99.8
"187",407,14,4,96,99.1
"188",408,13,4,96,94.1
"189",409,12,4,96,100.4
"190",410,11,4,96,98.1
"191",411,10,4,96,101.2
"192",412,9,4,96,91
"193",413,8,4,96,95.8
"194",414,7,4,96,96.3
"195",415,6,4,96,102.1
"196",416,5,4,96,93.6
"197",417,4,4,96,90.2
"198",418,3,4,96,94.6
"199",419,2,4,96,89.1
"200",420,1,4,96,96.8
"201",501,20,5,96,88.6
"202",502,19,5,96,88.1
"203",503,18,5,96,86.2
"204",504,17,5,96,85.9
"205",505,16,5,96,96
"206",506,15,5,96,94.3
