"","block","year","trt","yield"
"1","B1",1930,"Jun-01",230
"2","B1",1931,"Jun-01",324
"3","B1",1932,"Jun-01",512
"4","B1",1933,"Jun-01",399
"5","B2",1930,"Jun-01",216
"6","B2",1931,"Jun-01",317
"7","B2",1932,"Jun-01",448
"8","B2",1933,"Jun-01",361
"9","B3",1930,"Jun-01",219
"10","B3",1931,"Jun-01",357
"11","B3",1932,"Jun-01",496
"12","B3",1933,"Jun-01",344
"13","B4",1930,"Jun-01",200
"14","B4",1931,"Jun-01",362
"15","B4",1932,"Jun-01",540
"16","B4",1933,"Jun-01",381
"17","B1",1930,"Jun-15",212
"18","B1",1931,"Jun-15",415
"19","B1",1932,"Jun-15",584
"20","B1",1933,"Jun-15",386
"21","B2",1930,"Jun-15",190
"22","B2",1931,"Jun-15",296
"23","B2",1932,"Jun-15",471
"24","B2",1933,"Jun-15",280
"25","B3",1930,"Jun-15",151
"26","B3",1931,"Jun-15",278
"27","B3",1932,"Jun-15",399
"28","B3",1933,"Jun-15",254
"29","B4",1930,"Jun-15",150
"30","B4",1931,"Jun-15",336
"31","B4",1932,"Jun-15",485
"32","B4",1933,"Jun-15",279
"33","B1",1930,"Jul-01",183
"34","B1",1931,"Jul-01",320
"35","B1",1932,"Jul-01",456
"36","B1",1933,"Jul-01",255
"37","B2",1930,"Jul-01",186
"38","B2",1931,"Jul-01",295
"39","B2",1932,"Jul-01",387
"40","B2",1933,"Jul-01",187
"41","B3",1930,"Jul-01",177
"42","B3",1931,"Jul-01",298
"43","B3",1932,"Jul-01",427
"44","B3",1933,"Jul-01",239
"45","B4",1930,"Jul-01",209
"46","B4",1931,"Jul-01",328
"47","B4",1932,"Jul-01",462
"48","B4",1933,"Jul-01",244
"49","B1",1930,"Jul-15",148
"50","B1",1931,"Jul-15",246
"51","B1",1932,"Jul-15",304
"52","B1",1933,"Jul-15",144
"53","B2",1930,"Jul-15",126
"54","B2",1931,"Jul-15",201
"55","B2",1932,"Jul-15",289
"56","B2",1933,"Jul-15",83
"57","B3",1930,"Jul-15",107
"58","B3",1931,"Jul-15",192
"59","B3",1932,"Jul-15",271
"60","B3",1933,"Jul-15",90
"61","B4",1930,"Jul-15",168
"62","B4",1931,"Jul-15",226
"63","B4",1932,"Jul-15",312
"64","B4",1933,"Jul-15",168
