"","y","x"
"1","No",27.88814
"2","No",26.4132
"3","No",25.79367
"4","Yes",22.48335
"5","No",26.93008
"6","Yes",21.3112
"7","Yes",21.73849
"8","Yes",22.05013
"9","Yes",24.02452
"10","Yes",22.61062
"11","Yes",26.77344
"12","No",24.16007
"13","No",28.11714
"14","Yes",23.7483
"15","No",28.61554
"16","Yes",28.46851
"17","Yes",22.78208
"18","Yes",25.02665
"19","Yes",22.44506
"20","Yes",22.86311
"21","Yes",26.32696
"22","Yes",22.22028
"23","Yes",22.0769
"24","No",30.45908
"25","No",29.07302
"26","Yes",26.20309
"27","No",25.94894
"28","Yes",26.858
"29","Yes",28.87424
"30","Yes",23.60674
"31","No",27.44851
"32","Yes",22.93909
"33","No",31.86813
"34","Yes",22.53333
"35","Yes",31.3095
"36","Yes",25.33864
"37","Yes",21.4632
"38","Yes",26.33233
"39","No",24.06684
"40","Yes",20.49819
"41","No",27.4943
"42","Yes",24.13993
"43","No",29.34396
"44","Yes",23.50027
"45","Yes",25.57501
"46","No",30.87953
"47","No",29.64002
"48","Yes",27.92402
"49","Yes",23.90413
"50","Yes",22.06105
"51","Yes",31.0162
"52","Yes",23.78536
"53","No",22.48487
"54","No",31.85182
"55","Yes",22.46511
"56","No",26.27839
"57","Yes",21.75156
"58","Yes",24.06762
"59","No",21.79597
"60","Yes",29.85684
"61","Yes",23.48546
"62","Yes",27.78233
"63","Yes",28.70516
"64","Yes",25.67264
"65","Yes",29.70293
"66","Yes",21.36465
"67","Yes",20.65967
"68","No",30.63389
"69","Yes",23.08179
"70","No",24.43664
"71","Yes",25.5608
"72","Yes",25.85043
"73","Yes",27.20548
"74","No",29.25426
"75","No",28.67926
"76","Yes",21.26334
"77","Yes",23.03434
"78","No",31.02168
"79","Yes",20.39855
"80","No",30.72871
"81","Yes",24.95539
"82","Yes",20.84226
"83","Yes",22.20382
"84","Yes",30.50707
"85","No",30.55693
"86","Yes",24.21293
"87","No",31.59104
"88","Yes",31.1976
"89","No",29.191
"90","No",30.09552
"91","Yes",24.18913
"92","No",29.50917
"93","Yes",24.99092
"94","Yes",23.58779
"95","Yes",28.1961
"96","Yes",29.18268
"97","Yes",31.24246
"98","Yes",29.74373
"99","Yes",22.71878
"100","No",27.45556
"101","No",26.3262
"102","Yes",30.28042
"103","No",23.96062
"104","No",31.89752
"105","Yes",31.18799
"106","Yes",22.93106
"107","Yes",28.11213
"108","Yes",24.32699
"109","No",28.6936
"110","Yes",24.35384
"111","Yes",21.17183
"112","Yes",22.34341
"113","Yes",28.80555
"114","Yes",23.83608
"115","No",27.89254
"116","Yes",26.20724
"117","No",28.12678
"118","Yes",26.69999
"119","Yes",31.75093
"120","Yes",27.01728
"121","Yes",20.38803
"122","No",27.33749
"123","Yes",20.23825
"124","Yes",24.0623
"125","Yes",22.99556
"126","No",41.26556
"127","No",36.0655
"128","No",43.48637
"129","No",39.37428
"130","No",36.39791
"131","Yes",33.92283
"132","No",38.74301
"133","No",40.19699
"134","No",37.05206
"135","No",43.72809
"136","No",32.31585
"137","No",38.88194
"138","No",32.33028
"139","Yes",33.35743
"140","No",39.26741
"141","Yes",33.23304
"142","No",35.52188
"143","No",42.35142
"144","No",41.14817
"145","No",35.8634
"146","No",40.31998
"147","No",43.87931
"148","Yes",33.33311
"149","No",40.07679
"150","Yes",37.61628
"151","No",32.58929
"152","Yes",38.10232
"153","Yes",35.5104
"154","No",40.58601
"155","No",41.81495
"156","No",42.62686
"157","Yes",34.32817
"158","No",40.76366
"159","No",35.8786
"160","No",36.46789
"161","No",33.07627
"162","No",41.57911
"163","No",34.63442
"164","No",43.09583
"165","Yes",34.43856
"166","Yes",42.32851
"167","No",40.22011
"168","Yes",34.36852
"169","No",38.86652
"170","No",39.84864
"171","No",34.78639
"172","No",43.01881
"173","No",34.62222
"174","No",40.39189
"175","No",38.48148
"176","Yes",32.63577
"177","No",36.52639
"178","No",39.6675
"179","No",32.41385
"180","No",32.6884
"181","No",38.48568
"182","No",36.87635
"183","Yes",33.2388
"184","No",42.56728
"185","No",41.57378
"186","No",43.30324
"187","No",32.01566
"188","No",39.06636
"189","No",39.97025
"190","No",36.65073
"191","No",34.39309
"192","No",41.04685
"193","No",32.65673
"194","No",36.59709
"195","Yes",38.0948
"196","No",41.41969
"197","Yes",32.2195
"198","No",37.3645
"199","No",41.17806
"200","No",39.28319
"201","No",37.79305
"202","No",34.80715
"203","Yes",33.11991
"204","No",39.57386
"205","No",43.97001
"206","Yes",40.60003
"207","No",33.36789
"208","No",40.00759
"209","No",37.70866
"210","No",33.4758
"211","No",34.86726
"212","No",37.97776
"213","No",40.63024
"214","No",41.65141
"215","No",38.09584
"216","No",36.35502
"217","Yes",41.9533
"218","No",34.84506
"219","No",37.62339
"220","No",34.13128
"221","No",34.10209
"222","No",42.43276
"223","Yes",42.09588
"224","No",34.13535
"225","No",35.15308
"226","Yes",37.31119
"227","No",35.06553
"228","No",34.24019
"229","Yes",32.25674
"230","No",37.13751
"231","No",35.85667
"232","No",39.45713
"233","No",40.32747
"234","No",37.80326
"235","Yes",39.52552
"236","No",34.89428
"237","No",37.83829
"238","No",37.11813
"239","No",41.77203
"240","No",43.69056
"241","No",36.83823
"242","Yes",40.82987
"243","No",33.62194
"244","No",39.42726
"245","No",38.7647
"246","No",33.00929
"247","No",41.59631
"248","No",53.12286
"249","No",54.1256
"250","No",49.63701
"251","No",50.42802
"252","No",44.40697
"253","Yes",53.6684
"254","No",51.77282
"255","No",45.30355
"256","No",53.25922
"257","No",45.7271
"258","No",53.38115
"259","No",46.4302
"260","No",55.19885
"261","No",47.10275
"262","No",51.87529
"263","No",55.79009
"264","No",52.58193
"265","No",44.7822
"266","No",48.90604
"267","No",51.4542
"268","No",45.45377
"269","No",47.76964
"270","No",46.17475
"271","No",49.99162
"272","No",44.22727
"273","No",46.07305
"274","No",49.95457
"275","No",53.47246
"276","No",44.55384
"277","No",49.23611
"278","No",48.11134
"279","No",44.1949
"280","No",52.61201
"281","No",46.46074
"282","No",54.5667
"283","No",50.88344
"284","No",51.06665
"285","No",52.81241
"286","No",50.48096
"287","No",55.02355
"288","No",49.74006
"289","No",44.03479
"290","No",53.26439
"291","No",48.68956
"292","No",53.88243
"293","No",48.95455
"294","No",54.57436
"295","Yes",55.38652
"296","No",45.66975
"297","No",54.01746
"298","No",52.55718
"299","No",49.64973
"300","No",52.51939
"301","No",44.47505
"302","No",54.77316
"303","No",53.41579
"304","No",44.21328
"305","No",50.88284
"306","No",45.38792
"307","No",48.98367
"308","No",54.63176
"309","No",45.77561
"310","No",52.25329
"311","No",52.31591
"312","No",51.87777
"313","No",46.6599
"314","No",54.84381
"315","No",53.54028
"316","No",53.63269
"317","No",46.63401
"318","No",49.05059
"319","No",51.9169
"320","No",49.11512
"321","No",48.81218
"322","No",50.50142
"323","No",51.34231
"324","No",44.03415
"325","Yes",51.85944
"326","No",52.14672
"327","No",54.96791
"328","No",49.81354
"329","No",51.88411
"330","No",54.15913
"331","No",47.22429
"332","No",54.66319
"333","No",44.08347
"334","No",44.32578
"335","No",50.76179
"336","No",55.48076
"337","No",48.00807
"338","No",54.36382
"339","No",48.75508
"340","No",49.21315
"341","No",54.81986
"342","No",46.82309
"343","No",53.93247
"344","No",50.98288
"345","No",51.52457
"346","No",48.73121
"347","No",49.86805
"348","No",48.24146
"349","No",46.03832
"350","No",54.10448
"351","No",55.08204
"352","No",46.67171
"353","No",55.83223
"354","No",53.43263
"355","No",50.35277
"356","No",53.32306
"357","No",46.47761
"358","No",50.7507
"359","No",47.15229
"360","No",53.18811
"361","No",55.07721
"362","No",54.91315
"363","No",49.05549
"364","No",44.28952
"365","No",49.05644
"366","No",55.66663
"367","No",45.75025
"368","No",45.14367
"369","No",48.25523
"370","No",48.57613
"371","No",48.85988
"372","Yes",68.08682
"373","No",56.33287
"374","No",64.44963
"375","No",58.69457
"376","Yes",69.84624
"377","No",67.77716
"378","No",64.66011
"379","No",66.28091
"380","Yes",69.74123
"381","No",60.05986
"382","No",65.87485
"383","No",66.87743
"384","Yes",69.99924
"385","No",58.28072
"386","No",60.67313
"387","Yes",67.94685
"388","No",65.13975
"389","No",62.31391
"390","No",62.95269
"391","No",60.10145
"392","Yes",63.21286
"393","No",58.41851
"394","No",63.51152
"395","No",68.38979
"396","No",65.91876
"397","No",58.15034
"398","No",60.42439
"399","No",56.39079
"400","No",58.39804
"401","No",60.53315
"402","Yes",63.92152
"403","No",61.28086
"404","No",66.14337
"405","No",57.24526
"406","No",68.69238
"407","No",68.8252
"408","No",64.61523
"409","Yes",65.51246
"410","Yes",69.71803
"411","No",68.47058
"412","No",64.79789
"413","No",63.62239
"414","No",59.64269
"415","Yes",66.16553
"416","No",67.25677
"417","Yes",61.75568
"418","No",65.39137
"419","No",61.63348
"420","Yes",68.13
"421","No",65.67481
"422","No",63.24612
"423","No",58.55376
"424","Yes",68.17274
"425","No",59.33842
"426","No",61.61194
"427","No",60.33004
"428","No",59.86489
"429","No",69.16721
"430","No",56.28347
"431","No",66.14304
"432","No",66.47986
"433","No",57.93902
"434","No",65.82771
"435","No",57.38094
"436","No",67.30994
"437","No",57.72296
"438","Yes",67.58507
"439","No",64.441
"440","Yes",61.26902
"441","No",63.50969
"442","No",63.77935
"443","Yes",61.76171
"444","No",60.37906
"445","No",59.81802
"446","No",57.81581
"447","Yes",65.8295
"448","Yes",69.50321
"449","No",64.12157
"450","No",57.71528
"451","Yes",64.96313
"452","No",56.58631
"453","No",59.30624
"454","Yes",69.01344
"455","Yes",65.05407
"456","No",61.41678
"457","No",62.24654
"458","No",62.94236
"459","No",68.83255
"460","No",59.08388
"461","Yes",68.9956
"462","No",60.47812
"463","No",57.20853
"464","No",63.00598
"465","No",60.12937
"466","No",64.13273
"467","No",62.23121
"468","No",57.25532
"469","No",57.09832
"470","Yes",62.57531
"471","No",65.90376
"472","No",63.19419
"473","Yes",63.88065
"474","No",66.0157
"475","Yes",65.58803
"476","No",58.5052
"477","No",58.02413
"478","No",56.87864
"479","No",58.1425
"480","No",68.19277
"481","No",56.88092
"482","Yes",67.34621
"483","No",61.51225
"484","No",63.58876
"485","No",59.17637
"486","Yes",62.76534
"487","No",64.34417
"488","No",58.13139
"489","No",57.51839
"490","Yes",60.1935
"491","No",66.27928
"492","No",62.66803
"493","No",65.74019
"494","No",67.76018
"495","No",58.69129
"496","Yes",66.45224
"497","No",60.41233
"498","No",56.14564
"499","No",61.00644
"500","No",56.96062
