"","set","x1","x2","y"
"1",1,1.8,12.8,3.71
"2",1,8.9,12.21,12.29
"3",1,4.76,15.46,-0.79
"4",1,1.86,8.93,0.9
"5",1,2.69,3.92,3.04
"6",1,1.36,1.64,-4
"7",1,7.84,16.07,10.33
"8",1,2.79,9.56,4.8
"9",1,3.94,15.55,6.03
"10",1,4.31,3.14,0.86
"11",2,1.83,-4.2,-0.53
"12",2,7.17,3.55,7.2
"13",2,6.18,1.57,5.55
"14",2,9.44,-2.64,3.02
"15",2,0.86,12.27,-0.56
"16",2,0.34,-5.94,-6.36
"17",2,5.02,2.35,8.64
"18",2,9.98,5.47,12.24
"19",2,2,12.21,5.07
"20",2,7.92,8.14,9.86
"21",3,9.09,-3.97,31.6
"22",3,4.09,37.43,21.21
"23",3,0.97,-17.97,-4.36
"24",3,1.45,24.94,10.18
"25",3,0.73,7.61,-0.54
"26",3,3.31,-6.93,9.53
"27",3,7.97,19.45,28.53
"28",3,9.81,-41.36,16.77
"29",3,0.79,-8.44,-5.94
"30",3,2.15,3.56,2.03
"31",4,3.82,13.36,11.77
"32",4,8.06,20.41,10.79
"33",4,0.01,-1.42,1.27
"34",4,3.27,3.92,1.55
"35",4,5.1,7.49,3.19
"36",4,8.22,12.69,-1.79
"37",4,5.49,15.16,7.86
"38",4,2.98,15.02,9.52
"39",4,8.97,19.46,3.75
"40",4,9.48,12.14,-3.53
"41",5,4.66,0.56,6.23
"42",5,8.05,-3.94,5.66
"43",5,9.61,-2.86,4.16
"44",5,8.59,-1.63,3.43
"45",5,3.47,0.22,-2.46
"46",5,4.04,-1.13,-0.41
"47",5,0.63,2.25,0.15
"48",5,5.91,-0.9,1.18
"49",5,8.18,-1.87,8.44
"50",5,4.38,-1.1,1.55
"51",6,0.23,2.12,1.01
"52",6,0.15,5.41,-3.73
"53",6,5.03,1.9,11
"54",6,7.99,-3.36,11.17
"55",6,1.08,2.68,0.32
"56",6,3.24,4.03,6.65
"57",6,9.41,-1.84,7.52
"58",6,6.34,-1.62,0.86
"59",6,8.17,-4.15,1.55
"60",6,5,1.48,6.24
"61",7,0.26,2.36,-1.81
"62",7,3.74,0.45,1.72
"63",7,8.46,-1.43,8.13
"64",7,9.27,-4.54,1.62
"65",7,0.67,2.45,-1.06
"66",7,9.51,-5.07,7.89
"67",7,8.91,-5.49,1.97
"68",7,3.97,3.31,6.69
"69",7,5.77,-2.69,1.02
"70",7,3.5,3.95,8.43
