"","time","set1","set2","set3"
"1",0.5,-19,0,0
"2",1,-19,0,2
"3",1.5,-18,0,2
"4",2,-28,-10,-8
"5",2.5,-27,0,2
"6",3,-27,0,2
"7",4.5,-45,-20,-15
"8",6,-23,19,25
"9",9,-19,2,10
"10",12,-5,12,20
"11",14,18,23,27
"12",16,-9,-25,-23
"13",18,4,13,16
"14",20,-3,-5,-4
"15",22,-9,-6,-5
"16",24,-6,4,4
"17",26,8,14,13
"18",28,3,-4,-7
"19",30,7,6,2
"20",32,22,17,11
"21",34,27,8,0
"22",36,33,9,-1
"23",40,26,1,-24
"24",42,14,-9,-24
"25",44,3,-9,-25
"26",46,3,1,-16
"27",48,4,2,-16
"28",50,-4,-6,-26
"29",52,-9,-5,-25
"30",54,-11,-3,-23
"31",56,-11,0,-21
"32",58,-17,-6,-27
"33",60,-17,-2,-23
"34",62,-11,5,-17
"35",64,-6,3,-20
"36",66,-12,-6,-31
"37",68,-7,5,-22
"38",70,-9,-2,-32
"39",72,-8,1,-31
"40",74,4,14,-20
"41",76,7,6,-29
"42",78,8,5,-27
"43",80,17,12,-17
"44",82,31,19,-6
"45",90,45,34,-16
"46",106,-11,-17,11
"47",120,-23,-4,47
"48",150,-36,-9,33
