"","al","bl","cl","dl","a","b","c","d","y"
"1",0,19,13.7,2000,"No","Yes","Yes","Yes",39.7
"2",18,19,13.7,2000,"Yes","Yes","Yes","Yes",41.1
"3",0,0,13.7,2000,"No","No","Yes","Yes",40.6
"4",18,0,13.7,2000,"Yes","No","Yes","Yes",40.4
"5",18,0,10,2000,"Yes","No","No","Yes",41
"6",0,19,10,2000,"No","Yes","No","Yes",37.6
"7",0,0,10,2000,"No","No","No","Yes",38.7
"8",18,19,10,2000,"Yes","Yes","No","Yes",39
"9",0,19,13.7,1700,"No","Yes","Yes","No",38.9
"10",18,0,13.7,1700,"Yes","No","Yes","No",40
"11",18,19,13.7,1700,"Yes","Yes","Yes","No",41
"12",0,0,13.7,1700,"No","No","Yes","No",42.9
"13",18,0,10,1700,"Yes","No","No","No",40.2
"14",0,19,10,1700,"No","Yes","No","No",35.4
"15",18,19,10,1700,"Yes","Yes","No","No",39.4
"16",0,0,10,1700,"No","No","No","No",39
