"","t","y","set"
"1",1,82,1
"2",2,112,1
"3",3,153,1
"4",4,163,1
"5",5,176,1
"6",6,192,1
"7",7,200,1
"8",1,0.47,2
"9",2,0.74,2
"10",3,1.17,2
"11",4,1.42,2
"12",5,1.6,2
"13",7,1.84,2
"14",9,2.19,2
"15",11,2.17,2
"16",1,168,3
"17",2,336,3
"18",3,468,3
"19",5,660,3
"20",6,708,3
"21",7,696,3
"22",1,9,4
"23",2,9,4
"24",3,16,4
"25",4,20,4
"26",5,21,4
"27",7,22,4
"28",1,4.3,5
"29",2,8.2,5
"30",3,9.5,5
"31",4,10.4,5
"32",5,12.1,5
"33",7,13.1,5
"34",1,6.8,6
"35",2,12.7,6
"36",3,14.8,6
"37",4,15.4,6
"38",5,17,6
"39",7,19.9,6
"40",1,109,7
"41",2,149,7
"42",3,149,7
"43",5,191,7
"44",7,213,7
"45",10,224,7
"46",1,8.3,8
"47",2,10.3,8
"48",3,19,8
"49",4,16,8
"50",5,15.6,8
"51",7,19.8,8
"52",1,4710,9
"53",2,7080,9
"54",3,8460,9
"55",4,9580,9
