"","n","p0","p1","p2","p3","p4","p5","p6"
"1",3,1,-1,1,NA,NA,NA,NA
"2",3,1,0,-2,NA,NA,NA,NA
"3",3,1,1,1,NA,NA,NA,NA
"4",4,1,-3,1,-1,NA,NA,NA
"5",4,1,-1,-1,3,NA,NA,NA
"6",4,1,1,-1,-3,NA,NA,NA
"7",4,1,3,1,1,NA,NA,NA
"8",5,1,-2,2,-1,1,NA,NA
"9",5,1,-1,-1,2,-4,NA,NA
"10",5,1,0,-2,0,6,NA,NA
"11",5,1,1,-1,-2,-4,NA,NA
"12",5,1,2,2,1,1,NA,NA
"13",6,1,-5,5,-5,1,-1,NA
"14",6,1,-3,-1,7,-3,5,NA
"15",6,1,-1,-4,4,2,-10,NA
"16",6,1,1,-4,-4,2,10,NA
"17",6,1,3,-1,-7,-3,-5,NA
"18",6,1,5,5,5,1,1,NA
"19",7,1,-3,5,-1,3,-1,1
"20",7,1,-2,0,1,-7,4,-6
"21",7,1,-1,-3,1,1,-5,15
"22",7,1,0,-4,0,6,0,-20
"23",7,1,1,-3,-1,1,5,15
"24",7,1,2,0,-1,-7,-4,-6
"25",7,1,3,5,1,3,1,1
"26",8,1,-7,7,-7,7,-7,1
"27",8,1,-5,1,5,-13,23,-5
"28",8,1,-3,-3,7,-3,-17,9
"29",8,1,-1,-5,3,9,-15,-5
"30",8,1,1,-5,-3,9,15,-5
"31",8,1,3,-3,-7,-3,17,9
"32",8,1,5,1,-5,-13,-23,-5
"33",8,1,7,7,7,7,7,1
"34",9,1,-4,28,-14,14,-4,4
"35",9,1,-3,7,7,-21,11,-17
"36",9,1,-2,-8,13,-11,-4,22
"37",9,1,-1,-17,9,9,-9,1
"38",9,1,0,-20,0,18,0,-20
"39",9,1,1,-17,-9,9,9,1
"40",9,1,2,-8,-13,-11,4,22
"41",9,1,3,7,-7,-21,-11,-17
"42",9,1,4,28,14,14,4,4
"43",10,1,-9,6,-42,18,-6,3
"44",10,1,-7,2,14,-22,14,-11
"45",10,1,-5,-1,35,-17,-1,10
"46",10,1,-3,-3,31,3,-11,6
"47",10,1,-1,-4,12,18,-6,-8
"48",10,1,1,-4,-12,18,6,-8
"49",10,1,3,-3,-31,3,11,6
"50",10,1,5,-1,-35,-17,1,10
"51",10,1,7,2,-14,-22,-14,-11
"52",10,1,9,6,42,18,6,3
"53",11,1,-5,15,-30,6,-3,15
"54",11,1,-4,6,6,-6,6,-48
"55",11,1,-3,-1,22,-6,1,29
"56",11,1,-2,-6,23,-1,-4,36
"57",11,1,-1,-9,14,4,-4,-12
"58",11,1,0,-10,0,6,0,-40
"59",11,1,1,-9,-14,4,4,-12
"60",11,1,2,-6,-23,-1,4,36
"61",11,1,3,-1,-22,-6,-1,29
"62",11,1,4,6,6,-6,-6,-48
"63",11,1,5,15,30,6,3,15
"64",12,1,-11,55,-33,33,-33,11
"65",12,1,-9,25,3,-27,57,-31
"66",12,1,-7,1,21,-33,21,11
"67",12,1,-5,-17,25,-13,-29,25
"68",12,1,-3,-29,19,12,-44,4
"69",12,1,-1,-35,7,28,-20,-20
"70",12,1,1,-35,-7,28,20,-20
"71",12,1,3,-29,-19,12,44,4
"72",12,1,5,-17,-25,-13,29,25
"73",12,1,7,1,-21,-33,-21,11
"74",12,1,9,25,-3,-27,-57,-31
"75",12,1,11,55,33,33,33,11
