"","id","name","top","bottom","color","texture","sand","silt","clay","Fe","Mn","C","pH","Db"
"1","A-1","Ap",0,24,"7.9YR 2.7/2.0","CN-SiL",35.6,50.9,13.4,49.4,11,16.2,6.76,1.27
"2","A-1","BA",24,45,"7.6YR 2.8/2.3","L",35.6,43,21.3,52.5,9.2,6,6.73,1.28
"3","A-1","Bt1",45,65,"8.0YR 3.7/2.8","CN-L",39.3,34.6,26.1,42.1,3.4,1.4,6.76,1.44
"4","A-1","Bt2",65,104,"6.8YR 2.4/1.8","CL",25.9,39.2,34.9,90,28.4,1.4,6.4,1.33
"5","A-1","Bt/BC",104,185,"6.3YR 2.4/1.5","CL",23.4,42.4,34.3,88.9,39.5,1.3,4.82,0.75
"6","A-1","Bt/BC",185,185,"6.1YR 2.1/0.9","CL",33.4,37.4,29.2,101,75,1.2,5.4,0.69
"7","A-1","BC1",185,330,"5.8YR 1.8/1.0","SiL",29.3,50.7,20,117.2,61.9,0.4,4.77,NA
"8","A-1","BC2",330,388,"7.2YR 2.9/1.6",NA,NA,NA,NA,68.7,21.3,0.2,4.73,NA
"9","A-1","BC3",388,500,"4.3YR 1.2/0.8",NA,NA,NA,NA,159.8,113,0.4,4.94,NA
"10","A-1","BC3",500,600,"2.9YR 1.4/0.7",NA,NA,NA,NA,167,130.2,0.4,4.97,NA
"11","A-1","BC3",600,720,"2.3YR 1.5/0.5",NA,NA,NA,NA,169.2,141,0.3,5.35,NA
"12","A-1","BC4",720,775,"5.1YR 1.7/1.1",NA,NA,NA,NA,157.8,102.5,1.6,5.19,NA
"13","A-2","Ap",0,27,"6.7YR 1.9/1.7","L",48.9,42.2,8.9,69,30.8,15.8,7.3,1.15
"14","A-2","Bw1",27,46,"6.2YR 2.1/1.8","L",40.7,45.3,14,87.4,31.4,4.4,7.03,1.14
"15","A-2","Bw2",46,70,"6.1YR 2.8/1.6","L",38.6,46.3,15.2,117.8,34.3,2.9,6.86,1.12
"16","A-2","Bw3",70,95,"6.2YR 2.0/1.3","L",44.7,42.6,12.8,108.2,45.3,1.4,7.11,0.94
"17","A-2","BC1",95,127,"5.8YR 1.7/0.9","SL",58.3,32.7,9,159,95.4,0.9,6.89,0.85
"18","A-2","BC2",127,180,"7.3YR 2.5/1.5","L",44.2,36.3,19.4,113.8,44.1,0.4,5.89,0.52
"19","A-2","BC3",180,300,"6.4YR 1.8/1.0","SL",NA,NA,13,91.2,52,0.4,5.38,NA
"20","A-2","BC3",300,400,"7.7YR 2.0/1.1","SL",NA,NA,13,109.9,63,0.3,5.33,NA
"21","A-2","BC4",400,500,"6.9YR 1.5/0.8","SL",NA,NA,8,148.2,101.8,0.4,5.63,NA
"22","A-2","BC4",500,630,"6.0YR 1.4/0.8","SL",NA,NA,8,149.5,90.7,0.4,5.56,NA
"23","A-2","BC5",630,665,"7.8YR 1.9/1.2","SL",NA,NA,11,77.2,35.2,0.3,5.53,NA
"24","A-2","Cr",665,710,"6.5YR 1.7/0.9","SL",65.3,31.4,3.3,99.7,71.5,0.3,5.76,NA
"25","B-1","Ap",0,26,"6.7YR 2.0/1.6","SL",49.1,43.9,7,66,30.7,19.9,6.72,1.31
"26","B-1","Bt",26,63,"6.0YR 2.1/1.4","L",42,40.6,17.4,90.5,40,3,6.91,1.02
"27","B-1","BC1",63,88,"5.5YR 1.7/1.1","L",44.8,44.5,10.7,136.4,62.5,1.3,7.01,0.76
"28","B-1","2BC2",88,121,"4.0YR 1.5/0.8","SL",61.3,34.3,6.2,111.1,112.7,0.6,6.92,0.53
"29","B-1","2BC3",121,155,"6.0YR 1.7/1.2","SL",54.4,30.1,15.5,127.4,76.5,0.6,6.72,0.66
"30","B-1","2CB1",155,180,"6.3YR 2.0/1.0","SL",68.2,29.2,2.6,71.8,41.5,0.2,6.15,0.57
"31","B-1","2CB2",180,255,"4.1YR 1.4/0.8",NA,NA,NA,NA,131.6,105.6,0.6,5.98,NA
"32","B-1","2CB2",255,290,"5.7YR 1.5/0.6",NA,NA,NA,NA,128.6,140.1,0.3,5.49,NA
"33","B-1","2CB2",290,410,"5.4YR 1.5/0.8",NA,NA,NA,NA,160.9,130.7,0.4,4.99,NA
"34","B-1","2CB2",410,540,"3.0YR 1.6/0.6",NA,NA,NA,NA,110.6,78.3,0.3,5.2,NA
"35","B-1","2CB2",540,600,"4.1YR 1.6/0.7",NA,NA,NA,NA,114,101,0.2,5.3,NA
"36","B-1","2CB2",600,700,"5.5YR 1.5/0.7",NA,NA,NA,NA,126.4,113,0.5,5.42,NA
"37","B-1","2CB2",700,800,"2.7YR 1.5/0.7",NA,NA,NA,NA,117.2,109,0.4,5.51,NA
"38","B-1","2CB2",800,850,"2.8YR 1.5/0.8","L",69.7,27.9,2.4,103.8,85.5,0.3,6.52,NA
"39","B-2","Ap",0,23,"7.6YR 2.0/2.0","CN-L",42.6,44.5,12.8,49.9,17.3,14.8,6.73,1.32
"40","B-2","Bt1",23,48,"6.6YR 2.2/1.9","L",30.7,46.7,22.7,60.6,16.8,3.9,6.59,1.27
"41","B-2","Bt2",48,78,"7.4YR 2.3/2.1","L",31.3,47.4,21.3,62.6,19.4,2.6,6.63,1.2
"42","B-2","Bt3",78,100,"7.9YR 2.9/2.4","L",34.3,44.5,21.3,60.9,19.4,1.7,6.67,1.09
"43","B-2","BC1",100,127,"7.6YR 2.5/1.6","CNV-L",47.5,37.8,14.7,70.3,20.4,1,6.83,1.12
"44","B-2","BC2",127,152,"7.4YR 2.3/1.1","CNV-L",46.2,41.7,12,82.1,28.3,0.7,5.47,0.88
"45","B-2","BC3",152,190,"7.7YR 2.2/1.2","CN-L",NA,NA,16,115.4,50.5,0.8,5.49,NA
"46","B-2","BC4",190,228,"8.4YR 2.4/1.7","CNV-L",NA,NA,18,67.8,19.2,0.7,5.37,NA
"47","B-2","BC5",228,298,"6.7YR 2.2/1.3","L",NA,NA,16,130,65.7,0.8,5.29,NA
"48","B-2","2BC6",298,314,"8.3YR 4.2/4.3","L",NA,NA,25,60.5,3.3,0.6,4.77,NA
"49","B-2","2BC7",314,352,"8.9YR 4.3/3.5","L",NA,NA,12,53.9,3.2,0.2,4.88,NA
"50","B-2","2BC8",352,400,"9.0YR 3.8/3.6","L",NA,NA,20,51.8,1.6,0.3,5,NA
"51","B-2","2BC9",400,470,"9.1YR 5.3/5.5","SiL",NA,NA,22,48.3,0.8,0.3,5.31,NA
"52","C-1","Ap",0,28,"8.8YR 2.8/2.6","SiL",23.2,63.1,13.6,34.4,4.9,16.6,7.27,1.5
"53","C-1","BA",28,42,"8.8YR 3.6/3.8","CN-L",31.9,44.5,23.6,52,1.5,2.9,7.25,NA
"54","C-1","Bt1",42,87,"7.9YR 3.5/4.0","L",35.1,40.5,24.3,68.1,2.2,1.9,7.17,1.46
"55","C-1","Bt2",87,135,"8.4YR 3.8/4.1","L",30.4,45.2,24.4,84.5,2.2,1.5,6.87,1.52
"56","C-1","2BC1",135,162,"6.2YR 2.0/1.1","C",22.1,36.4,41.5,100.2,75.9,1.4,6.65,1.08
"57","C-1","2BC2",162,185,"6.3YR 2.0/1.1","CL",30.2,42.4,27.4,93.7,79.1,1.4,6.63,0.9
"58","C-1","2C",185,189,"5.6YR 1.8/0.9","L",33.9,43.3,22.8,108.3,121.2,1.8,6.55,0.39
"59","C-2","Ap",0,27,"8.5YR 2.7/2.5","SiL",23.1,60.1,16.8,32.5,6.4,16.5,7.22,1.43
"60","C-2","BA",27,42,"7.9YR 3.2/3.4","SiL",15.1,62.2,22.7,30.3,4.1,4.3,7.33,NA
"61","C-2","Bt1",42,69,"8.1YR 3.3/3.6","SiCL",16.4,52.9,30.8,39,3.3,2.9,7.1,1.43
"62","C-2","Bt2",69,100,"6.3YR 2.6/3.2","CL",28,37,35,54.2,12.4,2.8,7.21,1.35
"63","C-2","Bt3",100,118,"6.5YR 2.2/1.8","CL",34,38.8,27.3,75,26.1,2,7.23,1.25
