"","varb","resp","id","root","STG1N","LOGLVS","LOGSLA","BLK"
"1.fecund","fecund",1,1,1,1,2.33445375115093,-0.773335127897891,"1"
"2.fecund","fecund",1,2,1,1,2.40993312333129,-0.868611952433382,"1"
"3.fecund","fecund",1,3,1,2,2.56466606425209,-0.704602213052334,"1"
"4.fecund","fecund",1,4,1,3,2.17026171539496,-0.825769013959387,"1"
"5.fecund","fecund",1,5,1,2,1.67209785793572,-0.749856821983492,"1"
"6.fecund","fecund",1,6,1,3,2.32014628611105,-0.560560323909829,"1"
"7.fecund","fecund",1,7,1,1,2.45636603312904,-0.614798766323955,"1"
"8.fecund","fecund",1,8,1,3,2.47275644931721,-0.849412388960944,"1"
"9.fecund","fecund",1,9,1,1,2.43136376415899,-0.789367787146851,"1"
"10.fecund","fecund",1,10,1,3,2.62013605497376,-0.730522957816454,"1"
"11.fecund","fecund",1,11,1,1,2.0899051114394,-0.660379172641289,"1"
"12.fecund","fecund",1,12,1,1,2.71516735784846,-0.728812682803485,"1"
"13.fecund","fecund",1,13,1,1,2.79169064902012,-0.583849761188247,"1"
"14.fecund","fecund",0,14,1,2,1.39794000867204,-0.578120149812141,"1"
"15.fecund","fecund",1,15,1,3,2.16435285578444,-0.702152310728,"1"
"16.fecund","fecund",1,16,1,3,2.30319605742049,-0.746703488798427,"1"
"17.fecund","fecund",1,17,1,2,2.63848925695464,-0.762266098093477,"1"
"18.fecund","fecund",1,18,1,1,2.64640372622307,-0.714556208920444,"1"
"19.fecund","fecund",1,19,1,2,2.02530586526477,-0.765138896845329,"1"
"20.fecund","fecund",1,20,1,3,2.55630250076729,-0.656677848061856,"1"
"21.fecund","fecund",1,21,1,2,2.55870857053317,-0.598760223610149,"1"
"22.fecund","fecund",1,22,1,2,1.9912260756925,-0.613148963493575,"1"
"23.fecund","fecund",1,23,1,3,2.58433122436753,-0.71527164562018,"1"
"24.fecund","fecund",1,24,1,1,2.71933128698373,-0.711791727105407,"1"
"25.fecund","fecund",1,25,1,2,2.89597473235906,-0.732100139041111,"1"
"26.fecund","fecund",1,26,1,1,2.68663626926229,-0.621767324270482,"1"
"27.fecund","fecund",1,27,1,3,2.19589965240923,-0.813777968678184,"1"
"28.fecund","fecund",1,28,1,1,2.51851393987789,-0.675410611699439,"1"
"29.fecund","fecund",1,29,1,3,2.32428245529769,-0.705520573197609,"1"
"30.fecund","fecund",1,30,1,3,2.23552844690755,-0.697675183129986,"1"
"31.fecund","fecund",1,31,1,1,2.39794000867204,-0.771829530583365,"1"
"32.fecund","fecund",1,32,1,3,1.77085201164214,-0.847184326565517,"1"
"33.fecund","fecund",1,33,1,2,1.78532983501077,-0.658079461373051,"1"
"34.fecund","fecund",1,34,1,1,2.15533603746506,-0.503328658858675,"1"
"35.fecund","fecund",1,35,1,1,2.17609125905568,-0.686448455722899,"1"
"36.fecund","fecund",1,36,1,1,2.57403126772772,-0.786187664241505,"1"
"37.fecund","fecund",1,37,1,3,2.19312459835446,-0.633053792106482,"1"
"38.fecund","fecund",1,38,1,1,2.58771096501891,-0.71921825323948,"1"
"39.fecund","fecund",1,39,1,3,2.73399928653839,-0.675535581146035,"1"
"40.fecund","fecund",1,40,1,1,2.57863920996807,-0.670976804393879,"1"
"41.fecund","fecund",1,41,1,1,2.38021124171161,-0.684779936142345,"1"
"42.fecund","fecund",1,42,1,1,2.60959440922522,-0.694884129246242,"1"
"43.fecund","fecund",1,43,1,2,2.62940959910272,-0.776275245384888,"1"
"44.fecund","fecund",1,44,1,2,2.37106786227174,-0.749179944792336,"1"
"45.fecund","fecund",1,45,1,3,2.30319605742049,-0.679922788528859,"1"
"46.fecund","fecund",1,46,1,1,2.64443858946784,-0.765539739262028,"1"
"47.fecund","fecund",1,47,1,2,2.40140054078154,-0.620060714407074,"1"
"48.fecund","fecund",1,48,1,1,2.27646180417324,-0.641591901251202,"1"
"49.fecund","fecund",1,49,1,2,2.64345267648619,-0.640876217873306,"1"
"50.fecund","fecund",1,50,1,3,2.2718416065365,-0.738517210865239,"1"
"51.fecund","fecund",1,51,1,3,2.24551266781415,-0.745085229387805,"1"
