"","Site","Block","Region","Pop","varb","resp","id","root","varbFlowering","varbFlowers","fit"
"1.Flowering","Riverside","1","N","HLFMNGRVST","Flowering",0,1,1,1,0,0
"2.Flowering","Riverside","1","N","HLFMNGRVST","Flowering",0,2,1,1,0,0
"3.Flowering","Riverside","1","N","HLFMNGRVST","Flowering",0,3,1,1,0,0
"4.Flowering","Riverside","1","N","HLFMNGRVST","Flowering",0,4,1,1,0,0
"5.Flowering","Riverside","1","N","HLFMNGRVST","Flowering",0,5,1,1,0,0
"6.Flowering","Riverside","2","N","HLFMNGRVST","Flowering",0,6,1,1,0,0
"7.Flowering","Riverside","2","N","HLFMNGRVST","Flowering",0,7,1,1,0,0
"8.Flowering","Riverside","2","N","HLFMNGRVST","Flowering",1,8,1,1,0,0
"9.Flowering","Riverside","2","N","HLFMNGRVST","Flowering",0,9,1,1,0,0
"10.Flowering","Riverside","2","N","HLFMNGRVST","Flowering",0,10,1,1,0,0
"11.Flowering","Riverside","3","N","HLFMNGRVST","Flowering",1,11,1,1,0,0
"12.Flowering","Riverside","3","N","HLFMNGRVST","Flowering",1,12,1,1,0,0
"13.Flowering","Riverside","3","N","HLFMNGRVST","Flowering",0,13,1,1,0,0
"14.Flowering","Riverside","3","N","HLFMNGRVST","Flowering",1,14,1,1,0,0
"15.Flowering","Riverside","3","N","HLFMNGRVST","Flowering",0,15,1,1,0,0
"16.Flowering","Riverside","4","N","HLFMNGRVST","Flowering",0,16,1,1,0,0
"17.Flowering","Riverside","4","N","HLFMNGRVST","Flowering",1,17,1,1,0,0
"18.Flowering","Riverside","4","N","HLFMNGRVST","Flowering",1,18,1,1,0,0
"19.Flowering","Riverside","4","N","HLFMNGRVST","Flowering",0,19,1,1,0,0
"20.Flowering","Riverside","4","N","HLFMNGRVST","Flowering",0,20,1,1,0,0
"21.Flowering","Riverside","5","N","HLFMNGRVST","Flowering",1,21,1,1,0,0
"22.Flowering","Riverside","5","N","HLFMNGRVST","Flowering",1,22,1,1,0,0
"23.Flowering","Riverside","5","N","HLFMNGRVST","Flowering",1,23,1,1,0,0
"24.Flowering","Riverside","5","N","HLFMNGRVST","Flowering",1,24,1,1,0,0
"25.Flowering","Riverside","5","N","HLFMNGRVST","Flowering",1,25,1,1,0,0
"26.Flowering","Riverside","1","N","SEARANCH","Flowering",0,26,1,1,0,0
"27.Flowering","Riverside","1","N","SEARANCH","Flowering",1,27,1,1,0,0
"28.Flowering","Riverside","1","N","SEARANCH","Flowering",0,28,1,1,0,0
"29.Flowering","Riverside","1","N","SEARANCH","Flowering",0,29,1,1,0,0
"30.Flowering","Riverside","1","N","SEARANCH","Flowering",0,30,1,1,0,0
"31.Flowering","Riverside","2","N","SEARANCH","Flowering",0,31,1,1,0,0
"32.Flowering","Riverside","2","N","SEARANCH","Flowering",0,32,1,1,0,0
"33.Flowering","Riverside","2","N","SEARANCH","Flowering",1,33,1,1,0,0
"34.Flowering","Riverside","2","N","SEARANCH","Flowering",1,34,1,1,0,0
"35.Flowering","Riverside","2","N","SEARANCH","Flowering",0,35,1,1,0,0
"36.Flowering","Riverside","3","N","SEARANCH","Flowering",1,36,1,1,0,0
"37.Flowering","Riverside","3","N","SEARANCH","Flowering",1,37,1,1,0,0
"38.Flowering","Riverside","3","N","SEARANCH","Flowering",0,38,1,1,0,0
"39.Flowering","Riverside","3","N","SEARANCH","Flowering",1,39,1,1,0,0
"40.Flowering","Riverside","3","N","SEARANCH","Flowering",0,40,1,1,0,0
"41.Flowering","Riverside","4","N","SEARANCH","Flowering",1,41,1,1,0,0
"42.Flowering","Riverside","4","N","SEARANCH","Flowering",1,42,1,1,0,0
"43.Flowering","Riverside","4","N","SEARANCH","Flowering",0,43,1,1,0,0
"44.Flowering","Riverside","4","N","SEARANCH","Flowering",1,44,1,1,0,0
"45.Flowering","Riverside","4","N","SEARANCH","Flowering",1,45,1,1,0,0
"46.Flowering","Riverside","5","N","SEARANCH","Flowering",1,46,1,1,0,0
"47.Flowering","Riverside","5","N","SEARANCH","Flowering",1,47,1,1,0,0
"48.Flowering","Riverside","5","N","SEARANCH","Flowering",1,48,1,1,0,0
"49.Flowering","Riverside","5","N","SEARANCH","Flowering",1,49,1,1,0,0
"50.Flowering","Riverside","5","N","SEARANCH","Flowering",1,50,1,1,0,0
"51.Flowering","Riverside","1","N","STYSITE","Flowering",0,51,1,1,0,0
"52.Flowering","Riverside","1","N","STYSITE","Flowering",0,52,1,1,0,0
"53.Flowering","Riverside","1","N","STYSITE","Flowering",1,53,1,1,0,0
"54.Flowering","Riverside","1","N","STYSITE","Flowering",0,54,1,1,0,0
"55.Flowering","Riverside","2","N","STYSITE","Flowering",1,55,1,1,0,0
"56.Flowering","Riverside","2","N","STYSITE","Flowering",1,56,1,1,0,0
"57.Flowering","Riverside","2","N","STYSITE","Flowering",0,57,1,1,0,0
"58.Flowering","Riverside","2","N","STYSITE","Flowering",1,58,1,1,0,0
"59.Flowering","Riverside","2","N","STYSITE","Flowering",0,59,1,1,0,0
"60.Flowering","Riverside","3","N","STYSITE","Flowering",1,60,1,1,0,0
"61.Flowering","Riverside","3","N","STYSITE","Flowering",0,61,1,1,0,0
"62.Flowering","Riverside","3","N","STYSITE","Flowering",1,62,1,1,0,0
"63.Flowering","Riverside","3","N","STYSITE","Flowering",1,63,1,1,0,0
"64.Flowering","Riverside","4","N","STYSITE","Flowering",0,64,1,1,0,0
"65.Flowering","Riverside","4","N","STYSITE","Flowering",1,65,1,1,0,0
"66.Flowering","Riverside","4","N","STYSITE","Flowering",1,66,1,1,0,0
"67.Flowering","Riverside","4","N","STYSITE","Flowering",0,67,1,1,0,0
"68.Flowering","Riverside","4","N","STYSITE","Flowering",1,68,1,1,0,0
"69.Flowering","Riverside","5","N","STYSITE","Flowering",0,69,1,1,0,0
"70.Flowering","Riverside","5","N","STYSITE","Flowering",1,70,1,1,0,0
"71.Flowering","Riverside","5","N","STYSITE","Flowering",1,71,1,1,0,0
"72.Flowering","Riverside","5","N","STYSITE","Flowering",1,72,1,1,0,0
"73.Flowering","Riverside","5","N","STYSITE","Flowering",1,73,1,1,0,0
"74.Flowering","Riverside","1","S","JHNSNRCH","Flowering",0,74,1,1,0,0
"75.Flowering","Riverside","1","S","JHNSNRCH","Flowering",1,75,1,1,0,0
"76.Flowering","Riverside","1","S","JHNSNRCH","Flowering",1,76,1,1,0,0
"77.Flowering","Riverside","1","S","JHNSNRCH","Flowering",1,77,1,1,0,0
"78.Flowering","Riverside","2","S","JHNSNRCH","Flowering",1,78,1,1,0,0
"79.Flowering","Riverside","2","S","JHNSNRCH","Flowering",1,79,1,1,0,0
"80.Flowering","Riverside","2","S","JHNSNRCH","Flowering",1,80,1,1,0,0
"81.Flowering","Riverside","2","S","JHNSNRCH","Flowering",1,81,1,1,0,0
"82.Flowering","Riverside","2","S","JHNSNRCH","Flowering",1,82,1,1,0,0
"83.Flowering","Riverside","3","S","JHNSNRCH","Flowering",0,83,1,1,0,0
"84.Flowering","Riverside","3","S","JHNSNRCH","Flowering",1,84,1,1,0,0
"85.Flowering","Riverside","3","S","JHNSNRCH","Flowering",1,85,1,1,0,0
"86.Flowering","Riverside","3","S","JHNSNRCH","Flowering",1,86,1,1,0,0
"87.Flowering","Riverside","3","S","JHNSNRCH","Flowering",1,87,1,1,0,0
"88.Flowering","Riverside","4","S","JHNSNRCH","Flowering",1,88,1,1,0,0
"89.Flowering","Riverside","4","S","JHNSNRCH","Flowering",1,89,1,1,0,0
"90.Flowering","Riverside","4","S","JHNSNRCH","Flowering",1,90,1,1,0,0
"91.Flowering","Riverside","4","S","JHNSNRCH","Flowering",1,91,1,1,0,0
"92.Flowering","Riverside","4","S","JHNSNRCH","Flowering",1,92,1,1,0,0
