"","Method","DM","S.D."
"1","Cepheid.trig.paral",18.7,0.16
"2","Cepheid.MS.fitting",18.55,0.06
"3","Cepheids.B-W",18.55,0.1
"4","Cepheids.P-L.relation",18.575,0.2
"5","Eclipsing.binaries",18.4,0.1
"6","Clump",18.42,0.07
"7","Clump",18.45,0.07
"8","Clump",18.59,0.09
"9","Clump",18.471,0.12
"10","Clump",18.54,0.1
"11","Miras",18.54,0.18
"12","Miras",18.64,0.14
"13","SN.1987a",18.58,0.05
"14","GCs.MSF",18.45,0.09
"15","GCs.dyn.mod",18.45,0.13
"16","HB.trig.paral",18.44,0.13
"17","RR.Lyr.stat.paral",18.3,0.14
"18","RR.Lyr.BW",18.38,0.16
"19","RR.Lyr.BW.revised",18.5,0.16
"20","LMC.RRds",18.55,0.19
"21","LMC.RRds",18.52,0.18
"22","WD.cool.seq",18.4,0.15
"23","RRLyr.trig.par",18.45,0.16
"24","TRGB",18.55,0.09
"25","TRGB",18.69,0.26
