"","Asteroid","Dens","Err"
"1","1_Ceres",2.12,0.04
"2","2_Pallas",2.71,0.11
"3","4_Vesta",3.44,0.12
"4","10_Hygiea",2.76,1.2
"5","11_Parthenope",2.72,0.12
"6","15_Eunomia",0.96,0.3
"7","16_Psyche",2,0.6
"8","20_Massalia",3.26,0.6
"9","22_Kalliope",2.5,0.3
"10","45_Eugenia",1.2,0.4
"11","87_Sylvia",1.62,0.3
"12","121_Hermione",1.96,0.34
"13","243_Ida",2.6,0.5
"14","253_Mathilde",1.3,0.2
"15","433_Eros",2.67,0.03
"16","704_Interamnia",4.4,2.1
"17","762_Pulcova",1.8,0.8
"18","804_Hispania",4.9,3.9
"19","1999_KW4",2.39,0.9
"20","2000_DP107",1.62,1.05
"21","2000_UG11",1.47,0.95
"22","854_Frostia",0.89,0.13
"23","1089_Tama",2.52,0.3
"24","1313_Berna",1.21,0.25
"25","4492_Debussy",0.9,0.1
"26","617_Patroclus",0.8,0.15
