"","Star","MJD","RV","S.D."
"1","HD.88133",13014.948,-14.3,4.09
"2","HD.88133",13015.947,36.9,3.99
"3","HD.88133",13016.953,29.8,4.22
"4","HD.88133",13044.088,35.8,3.92
"5","HD.88133",13044.869,-14.6,3.18
"6","HD.88133",13045.843,-20.7,2.98
"7","HD.88133",13046.081,-11.9,2.94
"8","HD.88133",13069.016,-23.1,4.35
"9","HD.88133",13071.788,13.8,3.82
"10","HD.88133",13072.021,-9.2,4.26
"11","HD.88133",13073.95,23.7,4.66
"12","HD.88133",13076.948,0,6.38
"13","HD.88133",13153.76,17.3,3.25
"14","HD.88133",13179.754,20.2,3.59
"15","HD.88133",13195.748,-19.2,2.86
"16","HD.88133",13197.762,33.5,3.27
"17","HD.88133",13199.751,-5.6,3.36
"18","HD.37124",10420.047,55.06,3
"19","HD.37124",10546.736,30.88,2.6
"20","HD.37124",10837.766,7.24,3.2
"21","HD.37124",10838.949,7.4,3.4
"22","HD.37124",10861.805,19.92,2.9
"23","HD.37124",11069.036,-0.6,2.9
"24","HD.37124",11070.132,1.7,2.8
"25","HD.37124",11071.115,4.66,3.3
"26","HD.37124",11072.129,-8.2,3
"27","HD.37124",11073.03,-5.31,2.9
"28","HD.37124",11172.896,39.41,3.2
"29","HD.37124",11226.781,1.53,2.8
"30","HD.37124",11227.782,0,2.9
"31","HD.37124",11228.743,-8.94,2.6
"32","HD.37124",11412.142,-30.99,3.1
"33","HD.37124",11543.983,-31.27,3
"34","HD.37124",11550.943,-44.31,3
"35","HD.37124",11551.94,-45.91,3.1
"36","HD.37124",11552.892,-47.66,3
"37","HD.37124",11580.761,-34.78,3.6
"38","HD.37124",11581.836,-34.59,2.7
"39","HD.37124",11582.788,-35.75,3
"40","HD.37124",11583.724,-34.06,3.2
"41","HD.37124",11884.044,-14.57,3.4
"42","HD.37124",11900.035,3,2.8
"43","HD.37124",11974.8,42.08,2.9
"44","HD.37124",12007.745,6.63,3.2
"45","HD.37124",12242.991,48.57,3.1
"46","HD.37124",12333.945,16.7,3.5
"47","HD.37124",12334.786,-10.42,3.6
"48","HD.37124",12536.128,14.01,3.5
"49","HD.37124",12537.086,13.67,3.7
"50","HD.37124",12573.038,29.57,3.4
"51","HD.37124",12574.999,29.58,3.6
"52","HD.37124",12576.022,25.62,3.5
"53","HD.37124",12601,8.73,3.5
"54","HD.37124",12602.032,7.64,3.6
"55","HD.37124",12925.016,15.9,3.4
"56","HD.37124",13044.774,38.21,3.4
"57","HD.37124",13045.746,34.46,3.3
"58","HD.37124",13072.858,-1.52,2.8
"59","HD.37124",13240.14,-19.8,3.7
"60","HD.37124",13302.132,-9.34,3.4
"61","HD.37124",13302.98,-6.47,3.1
"62","HD.37124",13338.965,9.54,2.6
"63","HD.37124",13340.095,14.21,3.1
"64","HD.37124",13368.89,-1.5,2.2
"65","HD.37124",13369.781,-0.3,2.1
"66","HD.37124",13425.872,-36.55,3.1
"67","HD.37124",13426.83,-35.54,3.1
"68","HD.37124",13428.77,-31.95,3
"69","HD.37124",13483.727,19.84,2.1
"70","HD.3651",7047.85,13.74,7.88
"71","HD.3651",7374.94,-3.19,7.15
"72","HD.3651",7430.76,9.3,6.65
"73","HD.3651",7846.85,-7.82,8.95
"74","HD.3651",8113.96,-4.21,9.31
"75","HD.3651",8199.72,-13.79,8.41
"76","HD.3651",8645.68,-3.08,10.52
"77","HD.3651",8845.94,15.77,7.16
"78","HD.3651",8846.98,26.93,6.16
"79","HD.3651",8905.86,19.52,6.97
"80","HD.3651",8991.74,-10.76,7
"81","HD.3651",9306.68,-22.83,5.98
"82","HD.3651",9349.65,1.8,9.17
"83","HD.3651",9588.92,19.98,6.25
"84","HD.3651",9603.89,3.66,6.12
"85","HD.3651",9622.84,-15.49,8.62
"86","HD.3651",9680.68,12.47,4.63
"87","HD.3651",10004.929,-10.21,3.22
"88","HD.3651",10072.696,-22.48,3.41
"89","HD.3651",10087.678,7.03,3.34
"90","HD.3651",10121.626,-5.52,4.5
"91","HD.3651",10124.631,-13.36,4.62
"92","HD.3651",10125.623,-15.74,3.82
"93","HD.3651",10126.629,-8.18,4.42
"94","HD.3651",10127.652,-11.71,4.66
"95","HD.3651",10128.633,-16.66,4.14
"96","HD.3651",10298.99,3.82,2.31
"97","HD.3651",10300.006,-3.58,2.81
"98","HD.3651",10300.881,2.15,2.97
"99","HD.3651",10304.92,0.53,2.82
"100","HD.3651",10305.91,-3.56,3.41
"101","HD.3651",10307.921,-1.58,3.32
"102","HD.3651",10308.86,-5.22,2.73
"103","HD.3651",10309.904,-5.07,3.32
"104","HD.3651",10310.872,-4.23,3.06
"105","HD.3651",10311.884,0.77,2.16
"106","HD.3651",10326.907,10.35,3.28
"107","HD.3651",10366.925,-3.11,2.74
"108","HD.3651",10421.677,-9.28,2.56
"109","HD.3651",10437.723,-16.54,2.96
"110","HD.3651",10441.698,-16.34,3.06
"111","HD.3651",10640.977,11.99,3.35
"112","HD.3651",10655.974,7.24,2.99
"113","HD.3651",10656.929,5.84,3.26
"114","HD.3651",10667.033,1.34,3.99
"115","HD.3651",10681.973,-1.6,3.21
"116","HD.3651",10716.051,2.15,2.97
"117","HD.3651",10767.72,0.36,3.73
"118","HD.3651",10793.708,0.72,3.06
"119","HD.3651",11044.061,-5.39,3.01
"120","HD.3651",11046.934,-2.96,4.98
"121","HD.3651",11071.029,-0.51,2.89
"122","HD.3651",11130.693,-35.84,5.99
"123","HD.3651",11173.824,1.53,3.92
"124","HD.3651",11175.627,-8.2,6.65
"125","HD.3651",11368.05,-5.17,3.03
"126","HD.3651",11438.846,-18.76,3.14
"127","HD.3651",11551.688,-1.15,5.83
"128","HD.3651",11756.006,-1.21,2.71
"129","HD.3651",11825.747,8.62,5.33
"130","HD.3651",11880.668,-9.94,4.06
"131","HD.3651",12096.111,5.72,3.79
"132","HD.3651",12102.02,1.23,3.6
"133","HD.3651",12120.894,-16.08,5.27
"134","HD.3651",12128.082,-26.39,3.26
"135","HD.3651",12133.92,5.94,2.86
"136","HD.3651",12157.848,6.2,4.22
"137","HD.3651",12158.878,2.71,4.19
"138","HD.3651",12159.844,0.44,3.85
"139","HD.3651",12160.875,-3.58,5.13
"140","HD.3651",12161.856,2.98,3.9
"141","HD.3651",12182.806,-13.58,4.54
"142","HD.3651",12183.795,-23.55,4.89
"143","HD.3651",12185.801,-18.8,2.93
"144","HD.3651",12186.8,-19.63,3.03
"145","HD.3651",12188.947,-15.61,3.58
"146","HD.3651",12189.829,-19.12,2.96
"147","HD.3651",12200.822,6.67,2.87
"148","HD.3651",12201.829,6.77,3
"149","HD.3651",12202.762,6.83,3.94
"150","HD.3651",12203.76,12.73,3.05
"151","HD.3651",12204.767,7.59,2.78
"152","HD.3651",12214.775,9.07,3.18
"153","HD.3651",12216.728,1.48,3.08
"154","HD.3651",12218.747,4.12,3.04
"155","HD.3651",12220.735,-8.27,3.22
"156","HD.3651",12221.793,0,4.09
"157","HD.3651",12235.698,-5.91,2.99
"158","HD.3651",12236.759,-4.52,2.78
"159","HD.3651",12237.729,-12.13,3.33
"160","HD.3651",12241.639,-22.49,2.33
"161","HD.3651",12474.923,8.35,3.34
"162","HD.3651",12475.924,5.29,3.52
"163","HD.3651",12476.936,-6.97,3.76
"164","HD.3651",12477.935,-1.69,3.43
"165","HD.3651",12478.914,1.02,2.87
"166","HD.3651",12491.866,-18.31,2.82
"167","HD.3651",12493.918,-29.99,2.72
"168","HD.3651",12508.908,4.57,2.59
"169","HD.3651",12509.844,7.87,2.8
"170","HD.3651",12510.944,17.18,4.13
"171","HD.3651",12511.961,5.08,2.79
"172","HD.3651",12512.932,2.39,2.16
"173","HD.3651",12513.934,2.58,2.82
"174","HD.3651",12514.915,10.82,3.46
"175","HD.3651",12515.02,7.38,3.16
"176","HD.3651",12515.869,4.88,3.6
"177","HD.3651",12516.917,10.1,5.12
"178","HD.3651",12520.885,4.36,2.82
"179","HD.3651",12522.843,11.1,3.73
"180","HD.3651",12523.877,-0.69,2.61
"181","HD.3651",12524.856,0.61,3.3
"182","HD.3651",12534.869,-15.28,3.96
"183","HD.3651",12535.819,0.3,3.06
"184","HD.3651",12535.897,-16.28,2.43
"185","HD.3651",12551.823,-12.82,2.81
"186","HD.3651",12552.811,-13.87,2.24
"187","HD.3651",12553.773,-9.29,2.3
"188","HD.3651",12554.767,-9.36,2.56
"189","HD.3651",12572.76,8.05,3.3
"190","HD.3651",12574.835,7.7,4.2
"191","HD.3651",12576.761,13.88,2.35
"192","HD.3651",12581.737,9.56,3.28
"193","HD.3651",12582.787,0.48,2.12
"194","HD.3651",12583.747,7,2.48
"195","HD.3651",12593.699,3.56,2.29
"196","HD.3651",12594.747,3.65,2.51
"197","HD.3651",12597.685,0.16,2.29
"198","HD.3651",12599.782,4.03,2.54
"199","HD.3651",12600.717,-1.72,2.17
"200","HD.3651",12601.712,-6.69,2.19
"201","HD.3651",12602.777,-3.3,2.28
"202","HD.3651",12606.667,10.87,2.85
"203","HD.3651",12608.735,0.43,2.92
"204","HD.3651",12612.637,-17.36,3.67
"205","HD.3651",12613.635,-13,1.93
"206","HD.3651",12627.747,-5.35,2.05
"207","HD.3651",12631.64,12.73,2.37
