"","x","y"
"303",-53.4723618090452,-33.5541206030151
"304",-53.2613065326633,-33.5541206030151
"503",-53.4723618090452,-33.3582412060302
"504",-53.2613065326633,-33.3582412060302
"505",-53.0502512562814,-33.3582412060302
"703",-53.4723618090452,-33.1623618090452
"704",-53.2613065326633,-33.1623618090452
"705",-53.0502512562814,-33.1623618090452
"706",-52.8391959798995,-33.1623618090452
"904",-53.2613065326633,-32.9664824120603
"905",-53.0502512562814,-32.9664824120603
"906",-52.8391959798995,-32.9664824120603
"907",-52.6281407035176,-32.9664824120603
"1105",-53.0502512562814,-32.7706030150754
"1106",-52.8391959798995,-32.7706030150754
"1107",-52.6281407035176,-32.7706030150754
"1304",-53.2613065326633,-32.5747236180905
"1305",-53.0502512562814,-32.5747236180905
"1306",-52.8391959798995,-32.5747236180905
"1307",-52.6281407035176,-32.5747236180905
"1308",-52.4170854271357,-32.5747236180905
"1503",-53.4723618090452,-32.3788442211055
"1504",-53.2613065326633,-32.3788442211055
"1505",-53.0502512562814,-32.3788442211055
"1506",-52.8391959798995,-32.3788442211055
"1507",-52.6281407035176,-32.3788442211055
"1508",-52.4170854271357,-32.3788442211055
"1702",-53.6834170854271,-32.1829648241206
"1703",-53.4723618090452,-32.1829648241206
"1704",-53.2613065326633,-32.1829648241206
"1705",-53.0502512562814,-32.1829648241206
"1706",-52.8391959798995,-32.1829648241206
"1707",-52.6281407035176,-32.1829648241206
"1708",-52.4170854271357,-32.1829648241206
"1709",-52.2060301507538,-32.1829648241206
"1902",-53.6834170854271,-31.9870854271357
"1903",-53.4723618090452,-31.9870854271357
"1904",-53.2613065326633,-31.9870854271357
"1905",-53.0502512562814,-31.9870854271357
"1906",-52.8391959798995,-31.9870854271357
"1907",-52.6281407035176,-31.9870854271357
"1908",-52.4170854271357,-31.9870854271357
"1909",-52.2060301507538,-31.9870854271357
"1910",-51.9949748743719,-31.9870854271357
"2100",-54.105527638191,-31.7912060301508
"2101",-53.8944723618091,-31.7912060301508
"2102",-53.6834170854271,-31.7912060301508
"2103",-53.4723618090452,-31.7912060301508
"2104",-53.2613065326633,-31.7912060301508
"2105",-53.0502512562814,-31.7912060301508
"2106",-52.8391959798995,-31.7912060301508
"2107",-52.6281407035176,-31.7912060301508
"2108",-52.4170854271357,-31.7912060301508
"2109",-52.2060301507538,-31.7912060301508
"2110",-51.9949748743719,-31.7912060301508
"2111",-51.78391959799,-31.7912060301508
"2299",-54.3165829145729,-31.5953266331658
"2300",-54.105527638191,-31.5953266331658
"2301",-53.8944723618091,-31.5953266331658
"2302",-53.6834170854271,-31.5953266331658
"2303",-53.4723618090452,-31.5953266331658
"2304",-53.2613065326633,-31.5953266331658
"2305",-53.0502512562814,-31.5953266331658
"2306",-52.8391959798995,-31.5953266331658
"2307",-52.6281407035176,-31.5953266331658
"2308",-52.4170854271357,-31.5953266331658
"2309",-52.2060301507538,-31.5953266331658
"2310",-51.9949748743719,-31.5953266331658
"2311",-51.78391959799,-31.5953266331658
"2312",-51.572864321608,-31.5953266331658
"2313",-51.3618090452261,-31.5953266331658
"2497",-54.7386934673367,-31.3994472361809
"2498",-54.5276381909548,-31.3994472361809
"2499",-54.3165829145729,-31.3994472361809
"2500",-54.105527638191,-31.3994472361809
"2501",-53.8944723618091,-31.3994472361809
"2502",-53.6834170854271,-31.3994472361809
"2503",-53.4723618090452,-31.3994472361809
"2504",-53.2613065326633,-31.3994472361809
"2505",-53.0502512562814,-31.3994472361809
"2506",-52.8391959798995,-31.3994472361809
"2507",-52.6281407035176,-31.3994472361809
"2508",-52.4170854271357,-31.3994472361809
"2509",-52.2060301507538,-31.3994472361809
"2510",-51.9949748743719,-31.3994472361809
"2511",-51.78391959799,-31.3994472361809
"2512",-51.572864321608,-31.3994472361809
"2513",-51.3618090452261,-31.3994472361809
"2514",-51.1507537688442,-31.3994472361809
"2695",-55.1608040201005,-31.203567839196
"2696",-54.9497487437186,-31.203567839196
"2697",-54.7386934673367,-31.203567839196
"2698",-54.5276381909548,-31.203567839196
"2699",-54.3165829145729,-31.203567839196
"2700",-54.105527638191,-31.203567839196
"2701",-53.8944723618091,-31.203567839196
"2702",-53.6834170854271,-31.203567839196
"2703",-53.4723618090452,-31.203567839196
"2704",-53.2613065326633,-31.203567839196
"2705",-53.0502512562814,-31.203567839196
"2706",-52.8391959798995,-31.203567839196
"2707",-52.6281407035176,-31.203567839196
"2708",-52.4170854271357,-31.203567839196
"2709",-52.2060301507538,-31.203567839196
"2710",-51.9949748743719,-31.203567839196
"2711",-51.78391959799,-31.203567839196
"2712",-51.572864321608,-31.203567839196
"2713",-51.3618090452261,-31.203567839196
"2714",-51.1507537688442,-31.203567839196
"2715",-50.9396984924623,-31.203567839196
"2891",-56.0050251256281,-31.0076884422111
"2892",-55.7939698492462,-31.0076884422111
"2894",-55.3718592964824,-31.0076884422111
"2895",-55.1608040201005,-31.0076884422111
"2896",-54.9497487437186,-31.0076884422111
"2897",-54.7386934673367,-31.0076884422111
"2898",-54.5276381909548,-31.0076884422111
"2899",-54.3165829145729,-31.0076884422111
"2900",-54.105527638191,-31.0076884422111
"2901",-53.8944723618091,-31.0076884422111
"2902",-53.6834170854271,-31.0076884422111
"2903",-53.4723618090452,-31.0076884422111
"2904",-53.2613065326633,-31.0076884422111
"2905",-53.0502512562814,-31.0076884422111
"2906",-52.8391959798995,-31.0076884422111
"2907",-52.6281407035176,-31.0076884422111
"2908",-52.4170854271357,-31.0076884422111
"2909",-52.2060301507538,-31.0076884422111
"2910",-51.9949748743719,-31.0076884422111
"2911",-51.78391959799,-31.0076884422111
"2912",-51.572864321608,-31.0076884422111
"2913",-51.3618090452261,-31.0076884422111
"2914",-51.1507537688442,-31.0076884422111
"2915",-50.9396984924623,-31.0076884422111
"2916",-50.7286432160804,-31.0076884422111
"3091",-56.0050251256281,-30.8118090452261
"3092",-55.7939698492462,-30.8118090452261
"3093",-55.5829145728643,-30.8118090452261
"3094",-55.3718592964824,-30.8118090452261
"3095",-55.1608040201005,-30.8118090452261
"3096",-54.9497487437186,-30.8118090452261
"3097",-54.7386934673367,-30.8118090452261
"3098",-54.5276381909548,-30.8118090452261
"3099",-54.3165829145729,-30.8118090452261
"3100",-54.105527638191,-30.8118090452261
"3101",-53.8944723618091,-30.8118090452261
"3102",-53.6834170854271,-30.8118090452261
"3103",-53.4723618090452,-30.8118090452261
"3104",-53.2613065326633,-30.8118090452261
"3105",-53.0502512562814,-30.8118090452261
"3106",-52.8391959798995,-30.8118090452261
