"","city","population","white.change","black.population","murder","rape","robbery","assault","burglary","car.theft"
"1","Anaheim",1420,50.8,39,2.7,21.9,94,103,1607,377
"2","Baltimore",2071,-21.4,501,13.2,34.9,564,396,1351,701
"3","Boston",2754,-16.5,151,4.4,14.8,136,95,1054,984
"4","Buffalo",1349,-20.7,118,5.7,13.7,145,111,862,448
"5","Chicago",6979,-18.6,1306,12.9,25.4,363,233,830,708
"6","Cincinnatti",1385,-17.2,156,6.4,16.8,120,107,912,348
"7","Cleveland",2064,-26.5,343,14.5,18.7,288,132,826,1208
"8","Dallas",1556,14.2,261,18.4,41,206,338,1581,577
"9","Detroit",4200,-29.1,780,14.7,31.1,649,223,1986,758
"10","Houston",1985,25.5,399,16.9,27.1,335,183,1532,741
"11","Los Angeles",7032,4.7,1026,9.4,50,307,371,1981,945
"12","Miami",1268,13.5,196,15.6,17,427,421,1858,781
"13","Milwaukee",1404,-10.4,116,3.8,8.3,53,63,499,405
"14","Minneapolis",1814,-7.9,50,2.6,16.8,179,89,1198,615
"15","New York",11529,-9.3,2080,10.5,19.9,665,286,1821,947
"16","Newark",1857,-36.7,363,9.5,20.5,333,182,1315,667
"17","Paterson",1359,-9.1,83,2.6,5.7,99,63,815,491
"18","Philadelphia",4818,12.9,873,9.3,15.2,173,123,754,534
"19","Pittsburgh",2401,-18,176,4.4,14,145,108,696,537
"20","St Louis",2363,-31.6,388,14.8,34.4,280,203,1458,840
"21","San Francisco",3110,-17.2,535,8.3,42.9,348,226,2164,957
"22","San Diego",1358,17.2,106,4.1,19.4,93,106,1011,428
"23","Seattle",1422,-8.5,85,4.4,23.8,164,114,1976,547
"24","Washington",2861,-39.4,737,11.4,23,504,232,1433,767
