"","table.name","chapter","page","data.set.name"
"1","table.1.1",0,2,"minor.planets.1961"
"2","table.1.2",0,6,"sample.mammals.milk.1956"
"3","table.1.1",1,28,"sample.us.city.crime.1970"
"4","table.2.1",2,59,"us.south.demographics.1965"
"5","table.3.1",3,76,"jigsaw.puzzle.measures"
"6","table.4.1",4,86,"nutrients.meat.fish.fowl.1959"
"7","table.4.2",4,87,"rda.meat.fish.fowl.1959"
"8","table.4.10",4,101,"life.expectancy.1971"
"9","table.5.1",5,118,"new.haven.school.scores"
"10","table.5.4",5,121,"us.civil.war.battles"
"11","table.5.5a",5,122,"planet.earth.distances.1970"
"12","table.5.5b",5,122,"planets.moons.1970"
"13","table.6.1",6,131,"olympic.track.1896.1964"
"14","table.6.4",6,139,"indochina.combat.deaths"
"15","table.7.1",7,144,"wine.evaluation.1961.1970"
"16","table.7.5",7,149,"vervet.sleeping.groups"
"17","table.7.6",7,150,"british.butterfly.appearance"
"18","table.8.1",8,155,"animal.cluster.trees"
"19","table.8.5",8,160,"us.food.cost.nutrients.1959"
"20","table.9.1",9,170,"mammal.dentition"
"21","table.9.4",9,174,"us.car.repair.1969"
"22","table.10.1",10,178,"hardware.triads"
"23","table.10.3",10,182,"life.expectancy.age.sex.1971"
"24","table.10.4",10,184,"linguistic.relatedness"
"25","table.10.5",10,186,"portable.typewriters"
"26","table.11.1",11,192,"airline.distances.1966"
"27","table.11.6",11,197,"birth.death.rates.1966"
"28","table.11.9",11,206,"us.per.capita.income.1964"
"29","table.11.10",11,207,"us.links.between.states"
"30","table.11.12",11,209,"mutation.distances.1967"
"31","table.11.13",11,210,"sample.stock.yields.1959.1969"
"32","table.12.1",12,217,"ivy.league.football.1965"
"33","table.12.4",12,224,"student.questionnaire"
"34","table.12.7",12,228,"nails.screws"
"35","table.12.8",12,229,"cake.ingredients.1961"
"36","table.13.1",13,234,"cerci.tail.presence"
"37","table.13.4",13,240,"amino.acid.sequence.1972"
"38","table.13.7",13,242,"us.congressional.bills"
"39","table.13.8",13,243,"indo.european.languages"
"40","table.14.1",14,252,"us.president.vote.1900.1968"
"41","table.14.11",14,265,"acidosis.patients"
"42","table.14.12",14,266,"us.sector.profitability.1959.1968"
"43","table.14.13",14,267,"ct.president.vote.1920.1964"
"44","table.15.1",15,279,"candida.oxidation.fermentation"
"45","table.15.7",15,287,"ohio.croplands.1949"
"46","table.15.9",15,289,"european.foods"
"47","table.15.10",15,290,"languages.spoken.europe"
"48","table.16.3",16,304,"all.mammals.milk.1956"
"49","table.16.5",16,306,"un.votes.1969.1970"
"50","table.17.1",17,314,"physical.measure.correlations"
"51","table.17.6",17,324,"indian.caste.measures"
"52","table.18.1",18,334,"leukemia.youth.mortality.1956.1967"
"53","table.18.6",18,342,"all.us.city.crime.1970"
