"","home.team","opponent.team","home.score","opponent.score"
"1","BN","  RI",6,14
"2","BN","  PA",0,7
"3","BN","  YE",0,3
"4","BN","  DH",9,35
"5","BN","  CE",6,0
"6","CA","  LE",0,14
"7","CA","  PN",0,31
"8","CA","  HD",6,21
"9","CA","  YE",21,7
"10","CA","  RS",12,7
"11","CL","  CE",0,0
"12","CL","  LH",49,13
"13","CL","  PN",27,36
"14","CL","  HD",3,3
"15","CL","  YE",14,24
"16","DH","  NH",56,6
"17","DH","  HC",27,6
"18","DH","  PA",24,19
"19","DH","  BN",35,9
"20","DH","  HD",14,0
"21","HD","  HC",17,7
"22","HD","  TS",33,0
"23","HD","  CA",21,6
"24","HD","  CL",3,3
"25","HD","  DH",0,14
"26","PA","  LH",20,14
"27","PA","  BN",7,0
"28","PA","  DH",19,24
"29","PA","  BL",16,13
"30","PA","  PN",0,51
"31","PN","  RS",32,6
"32","PN","  CA",31,0
"33","PN","  CL",36,27
"34","PN","  CE",27,0
"35","PN","  PA",51,0
"36","YE","  CT",6,13
"37","YE","  CE",0,7
"38","YE","  BN",3,0
"39","YE","  CA",7,21
"40","YE","  CL",24,14
