"","piece","L1","I1","O1","L2","I2","O2","L3","I3","O3","L4","I4","O4"
"1",1,142,0,0,191,21,48,125,40,12,167,0,0
"2",2,120,0,0,183,59,16,160,16,50,192,48,21
"3",3,186,0,0,208,17,51,152,49,13,183,17,59
"4",4,138,0,0,180,0,0,157,13,42,209,51,18
"5",5,126,13,39,138,0,2,125,20,43,171,0,0
"6",6,159,50,15,163,4,0,152,47,17,139,2,0
"7",7,149,13,50,142,0,6,157,19,49,163,0,3
"8",8,157,42,13,203,0,0,152,50,25,143,3,0
"9",9,125,44,20,190,2,0,138,42,18,159,0,0
"10",10,152,17,46,144,2,0,147,19,56,190,0,2
"11",11,157,48,20,161,0,0,152,49,22,143,0,2
"12",12,152,25,49,139,0,0,153,27,52,160,0,0
"13",13,138,19,42,112,0,1,143,10,41,143,0,0
"14",14,147,55,20,150,6,1,154,36,21,113,1,0
"15",15,151,22,48,126,0,8,137,14,51,160,0,6
"16",16,152,52,27,141,0,0,153,42,21,128,8,0
"17",17,143,42,9,149,7,54,117,0,0,136,0,0
"18",18,154,22,36,130,77,6,192,0,0,150,54,8
"19",19,134,52,13,140,16,51,123,0,0,130,6,78
"20",20,151,21,43,118,0,0,150,0,0,140,52,13
