"","planet.moon","distance","diameter","period"
"1","Earth.1",239,2160,655
"2","Mars.1",5.8,10,7.7
"3","Mars.2",14.6,10,30
"4","Jupiter.01",112,100,12
"5","Jupiter.02",262,2020,42
"6","Jupiter.03",417,1790,85
"7","Jupiter.04",665,3120,172
"8","Jupiter.05",1171,2770,401
"9","Jupiter.06",7133,50,6014
"10","Jupiter.07",7295,20,6232
"11","Jupiter.08",7369,10,6325
"12","Jupiter.09",13200,10,15146
"13","Jupiter 10",14000,10,16620
"14","Jupiter 11",14600,10,17734
"15","Jupiter 12",14700,10,18792
"16","Saturn.1",116,300,23
"17","Saturn.2",148,400,33
"18","Saturn.3",183,600,45
"19","Saturn.4",235,600,66
"20","Saturn.5",327,810,108
"21","Saturn.6",759,2980,383
"22","Saturn.7",920,100,511
"23","Saturn.8",2213,500,1904
"24","Saturn.9",8053,100,13211
"25","Uranus.1",77,200,34
"26","Uranus.2",119,500,60
"27","Uranus.3",166,300,100
"28","Uranus.4",272,600,209
"29","Uranus.5",365,500,323
"30","Neptune.1",220,2300,141
"31","Neptune.2",3461,200,8626
