"","name","water","protein","fat","lactose"
"1","Horse",90.1,2.6,1,6.9
"2","Donkey",90.3,1.7,1.4,6.2
"3","Mule",90,2,1.8,5.5
"4","Camel",87.7,3.5,3.4,4.8
"5","Llama",86.5,3.9,3.2,5.6
"6","Zebra",86.2,3,4.8,5.3
"7","Sheep",82,5.6,6.4,4.7
"8","Buffalo",82.1,5.9,7.9,4.7
"9","Guinea Pig",81.9,7.4,7.2,2.7
"10","Fox",81.6,6.6,5.9,4.9
"11","Pig",82.8,7.1,5.1,3.7
"12","Rabbit",71.3,12.3,13.1,1.9
"13","Rat",72.5,9.2,12.6,3.3
"14","Deer",65.9,10.4,19.7,2.6
"15","Reindeer",64.8,10.7,20.3,2.5
"16","Whale",64.8,11.1,21.2,1.6
