"","model","BR","FU","EL","EX","ST","EM","RS","RA","RU","SA","TC","WA","OT"
"1","AMC Ambassador 8","+","-","-","-","-","-","-","+","-","-","-","-","-"
"2","Buick Special 6","-","-","-","-","-","-","+","-","+","-","-","-","+"
"3","Buick Special 8","-","-","-","-","-","-","+","-","-","+","-","+","+"
"4","Buick 8 Full","-","-","-","+","-","+","+","-","+","+","-","+","-"
"5","Buick Riviera","-","-","+","+","-","-","-","-","-","+","-","-","-"
"6","Chevy II","-","+","-","-","+","-","+","+","+","-","-","+","-"
"7","Chevelle 6","-","-","-","-","-","+","+","-","+","-","-","-","-"
"8","Chevelle 8","-","+","-","+","+","-","+","-","+","+","-","+","-"
"9","Chevrolet Full","-","+","+","+","+","-","+","+","+","+","+","+","-"
"10","Corvair 6","-","+","-","-","+","+","-","+","-","+","+","+","+"
"11","Corvette","-","-","-","+","-","-","+","+","-","-","+","-","-"
"12","Chrysler Newport","+","-","-","-","-","-","-","-","-","-","-","-","-"
"13","New Yorker","+","-","-","-","-","-","-","+","-","-","-","-","+"
"14","Dodge Full Size","+","-","-","-","-","-","+","-","-","+","-","-","-"
"15","Falcon 6","-","-","-","-","-","-","+","-","-","-","+","+","-"
"16","Fairlane 6","-","-","-","-","-","-","+","-","-","-","-","-","-"
"17","Fairlane 8","-","-","-","+","-","-","+","+","-","-","-","+","-"
"18","Ford Full Size","-","-","-","+","+","-","-","-","-","+","-","+","+"
"19","Thunderbird","-","-","+","-","+","+","-","-","-","-","-","+","+"
"20","Mercury Full","-","-","-","-","-","-","-","-","-","-","-","+","-"
"21","Olds Full","+","+","-","-","-","-","+","-","-","+","-","+","-"
"22","Plymouth Full","+","-","-","-","-","-","-","-","-","-","-","-","-"
"23","Pontiac Tempest","-","+","-","-","-","-","+","-","+","+","-","+","-"
"24","Pontiac Full","+","+","+","-","-","-","+","-","+","+","-","+","-"
"25","Rambler Rebel 6","-","-","+","-","-","-","-","+","-","-","+","-","+"
"26","Mercedes","-","-","-","-","-","-","-","-","-","+","-","-","-"
"27","MG 1100","-","-","+","+","-","-","-","-","-","-","-","-","-"
"28","Peugeot","-","-","-","-","-","-","-","-","-","-","+","-","-"
"29","Porsche","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30","Renault","-","-","-","-","-","-","-","-","-","-","+","-","-"
"31","Volvo","-","-","-","+","-","-","-","+","-","-","-","-","-"
"32","VW bug","+","-","+","+","+","+","-","-","-","-","+","-","-"
"33","VW bus","-","-","+","-","-","+","-","-","+","-","+","-","-"
