"","battle","union.forces","union.shot","confederate.forces","confederate.shot"
"1","Bull Run",28452,1492,33232,1969
"2","Wilson's Creek",5400,944,11600,1157
"3","Fort Donelson",27000,2608,21000,2000
"4","Pea Ridge",11250,1183,14000,600
"5","Shiloh",62682,10162,40355,9735
"6","Williamsburg",40768,1866,31823,1570
"7","Fair Oaks",41797,4384,41816,5729
"8","Mechanicsville",15631,256,16356,1484
"9","Gaines's Mill",34214,4001,57018,8751
"10","Malvern Hill",83345,4969,86748,8602
"11","Seven Days",91169,9796,95481,19739
"12","Cedar Mountain",8030,1759,16868,1338
"13","Manassas",75696,10096,48527,9108
"14","Richmond, Kentucky",6500,1050,6850,450
"15","South Mountain",28480,1728,18714,1885
"16","Antietam",75316,11657,51844,11724
"17","Corinth",21147,2196,22000,2470
"18","Perryville",36940,3696,16000,3145
"19","Fredericksburg",100007,10884,72497,4656
"20","Chickasaw Bayou",30720,1213,13792,197
"21","Stone's River",41400,9220,34732,9239
"22","Arkansas Post",28944,1032,4654,109
"23","Chancellorsville",97382,11116,57352,10746
"24","Champions Hill",29373,2254,20000,2181
"25","Port Hudson I",13000,1838,4192,235
"26","Port Hudson II",6000,1604,3487,47
"27","Gettysburg",83289,17684,75054,22638
"28","Fort Wagner",5264,1126,1785,169
"29","Chicamauga",58222,11413,66326,16986
"30","Chatanooga",56359,5475,46165,2521
"31","Mine Run",69643,1272,44426,680
"32","Olustee",5115,1355,5200,934
"33","Pleasant Hill",12647,994,18025,2860
"34","Drewry's Bluff",15800,2700,18025,2860
"35","Atlanta I",110123,10528,66089,9187
"36","Weldon Railroad",20289,1303,14787,1200
"37","Kenesaw Mountain",16225,1999,17733,270
"38","Tupelo",14000,636,18832,1326
"39","Peach Tree Creek",20139,1600,18832,2500
"40","Atlanta II",30477,1989,36934,7000
"41","Atlanta III",13226,559,18450,4100
"42","Jonesborough",14170,179,23811,1725
"43","Winchester",37711,4680,17103,2103
"44","Cedar Creek",30829,4074,18410,1860
"45","Franklin",27939,1222,26897,5550
"46","Bentonville",16127,933,16895,1508
