"","code","sector","y.1959","y.1960","y.1961","y.1962","y.1963","y.1964","y.1965","y.1966","y.1967","y.1968"
"1","01","All manufacturing corporations except newspapers",10,9,9,10,10,12,13,13,12,12
"2","02","Total durable",10,9,8,10,10,12,14,14,12,12
"3","03","Motor vehicles and equipment",14,14,11,16,17,17,20,16,12,15
"4","04","Electrical machinery, equipment and supplies",13,10,9,10,10,11,14,15,13,12
"5","05","Machinery except for electrical",10,8,8,9,10,13,14,15,13,12
"6","06","Fabricated metal products",8,6,6,8,8,10,13,15,13,12
"7","07","Primary iron and steel industry",8,7,6,5,7,9,10,10,8,8
"8","08","Primary non-ferrous metal industry",8,7,7,8,8,10,12,15,11,11
"9","09","Stone, clay and glass products",13,10,9,9,9,10,10,10,8,9
"10","10","Furniture and fixtures",9,7,5,8,8,10,13,14,12,12
"11","11","Lumber and wood products except furniture",9,4,4,6,8,10,10,10,9,15
"12","12","Instruments and related products",13,12,11,12,12,14,18,21,18,17
"13","13","Miscellaneous manufacture, including ordnance",9,9,10,9,9,10,11,15,13,12
"14","14","Total nondurable",10,10,10,10,10,12,12,13,12,12
"15","15","Food and kindred products",9,9,9,9,9,10,11,11,11,11
"16","16","Tobacco manufacture",13,13,14,13,13,13,14,14,14,14
"17","17","Textile mill products",8,6,5,6,6,9,11,10,8,9
"18","18","Apparel and related products",9,8,7,9,8,12,13,13,12,13
"19","19","Paper and allied products",10,9,8,8,8,9,9,11,9,10
"20","20","Printing and publishing, except newspapers",11,11,9,10,9,13,14,16,13,13
"21","21","Chemical and allied products",14,12,12,12,12,14,15,15,13,13
"22","22","Petroleum refining",10,10,10,10,11,11,12,12,13,12
"23","23","Rubber and miscellaneous plastic products",11,9,9,10,9,11,12,12,10,12
"24","24","Leather and leather products",9,6,4,7,7,11,12,13,12,13
