"","v_1","v_2","v_3","v_4"
"1",-1.129164,3,-1.066678,2
"2",-1.074032,3,-1.094372,1
"3",-1.142423,2,-0.959398,2
"4",-1.060772,1,-1.201653,1
"5",-0.791176,3,-1.033117,3
"6",-1.412019,2,-1.127933,2
"7",-1.134174,2,-1.382828,2
"8",-1.069022,3,-0.778223,1
"9",-1.061982,2,-0.868345,3
"10",-1.141214,2,-1.292705,2
"11",-0.910512,3,-0.695948,2
"12",-1.292684,4,-1.465102,3
"13",-0.675973,1,-1.303781,3
"14",-1.527223,1,-0.85727,1
"15",-0.834504,2,-1.129522,2
"16",-1.030829,4,0.77273,3
"17",-1.14465,3,1.409667,2
"18",-1.179768,2,0.976672,1
"19",-0.995711,3,1.205724,3
"20",-1.150517,2,1.153711,1
"21",-1.024962,3,1.028685,3
"22",-1.219166,2,0.708353,3
"23",-0.956313,3,1.474044,3
"24",-1.617196,5,1.103394,3
"25",-0.558283,2,1.079002,2
