"","Chromosome","Genome.Order","gm05296","gm03563","gm01535","gm07081","gm01750","gm03134","gm13330","gm13031","gm01524"
"1",1,1110,NA,NA,NA,NA,NA,NA,0.20747,NA,NA
"2",1,1685,0.008824,0.045282,0.045282,-0.133692,0.046275,0.02617,0.063076,-0.033834,-0.158408
"3",1,1796,-0.000894,0.062873,0.062873,-0.119042,0.095556,-0.017889,0.123881,-0.035814,-0.178651
"4",1,1907,0.075875,0.086861,0.086861,-0.02773,0.007823,0.048327,0.154343,0.05148,-0.070979
"5",1,2018,0.017303,0.008131,0.008131,0.004402,0.023275,0.059511,-0.043892,0.011578,0.072569
"6",1,2129,-0.006766,0.079419,0.079419,-0.122478,0.044811,-0.035042,0.094144,0.040318,-0.087698
"7",1,2240,0.020755,-0.073242,-0.073242,-0.040957,-0.070291,0.025053,-0.071437,0.016002,0.109953
"8",1,2351,-0.094938,0.052829,0.052829,-0.151789,-0.055377,-0.059712,0.122802,-0.059625,-0.037748
"9",1,1,-0.054527,0.009296,0.009296,-0.083562,-0.000311,-0.046926,0.072896,-0.004301,-0.056346
"10",1,111,-0.025057,-0.047874,-0.047874,-0.074162,-0.007476,0.157643,0.01823,0.004826,0.093443
"11",1,222,NA,0.033011,0.033011,-0.074165,0.190039,NA,0.022434,-0.056681,-0.100892
"12",1,333,0.108454,0.080088,0.080088,0.029923,0.054344,0.053069,0.087401,0.074531,-0.052844
"13",1,444,0.078633,0.060172,0.060172,0.005767,0.155341,0.035591,0.05771,0.045353,0.002346
"14",1,555,0.098571,0.054737,0.054737,0.02629,-0.005632,0.062206,0.096025,0.076319,0.018359
"15",1,666,0.044048,0.041872,0.041872,-0.142842,0.083792,-0.038047,0.103051,-0.054619,-0.093491
"16",1,777,0.018039,0.093953,0.093953,0.001036,-0.072195,0.093562,0.110311,0.089862,0.028911
"17",1,888,-0.088807,0.150665,0.150665,0.158492,0.151087,-0.005821,0.165542,0.04848,-0.125565
"18",1,999,0.016349,0.017451,0.017451,-0.009413,0.07608,0.018855,0.067904,0.0796,0.013745
"19",1,1111,0.030977,0.059603,0.059603,-0.055192,0.006082,0.019643,NA,0.052127,-0.07826
"20",1,1222,0.071137,-0.031,-0.031,-0.075008,0.118862,0.045049,-0.04239,0.074331,-0.071511
"21",1,1333,-0.00989,0.011612,0.011612,-0.019409,0.015745,-0.019199,0.051696,0.036063,-0.000735
"22",1,1444,-0.006469,0.092029,0.092029,0.029693,-0.004169,0.066044,0.12409,0.007614,-0.084787
"23",1,1555,-0.003252,0.182899,0.182899,-0.098335,NA,0.046592,0.164386,0.033479,0.021265
"24",1,1630,NA,0.052012,0.052012,-0.069729,-0.066542,NA,0.063335,0.030219,-0.149289
"25",1,1641,-0.019635,0.106445,0.106445,-0.082758,0.191287,-0.043623,0.063639,-0.027367,-0.12204
"26",1,1652,0.045582,0.097555,0.097555,0.094255,0.2984,0.086987,0.136787,0.183551,-0.019196
"27",1,1663,0.132768,0.069144,0.069144,0.032678,-0.053515,0.089459,0.134169,0.071453,0.004753
"28",1,1674,0.13352,-0.030616,-0.030616,0.071841,0.2585,0.083523,-0.01449,0.079142,0.075495
"29",1,1686,0.156767,0.13435,0.13435,0.15652,0.157599,0.127885,0.142089,0.072324,0.031098
"30",1,1697,0.009122,-0.07648,-0.07648,-0.044622,0.157049,-0.085306,0.001086,0.016278,-0.134085
"31",1,1708,0.123443,0.146206,0.146206,0.092296,0.145628,0.120069,0.20906,0.159019,0.022362
"32",1,1719,NA,0.063669,0.063669,0.096629,0.060749,0.038714,0.09966,0.143353,0.026466
"33",1,1730,0.139503,-0.038995,-0.038995,0.036549,NA,0.127086,NA,0.156842,-0.056145
"34",1,1741,-0.015746,NA,NA,NA,0.058717,0.011211,NA,-0.077603,NA
"35",1,1752,0.058658,-0.022577,-0.022577,0.034814,0.05296,0.048478,-0.04402,0.091463,0.058718
"36",1,1763,-0.047037,-0.059392,-0.059392,NA,0.192594,-0.049209,-0.101229,NA,-0.061658
"37",1,1774,0.097608,0.067144,0.067144,0.09165,0.032652,0.065541,0.092331,0.063575,0.015384
"38",1,1785,0.030969,0.082036,0.082036,-0.021716,0.085413,0.01698,NA,0.022064,0.073991
"39",1,1797,0.005449,-0.043958,-0.043958,-0.040182,0.029988,-0.054097,0.004273,0.028159,-0.025885
"40",1,1808,-0.003022,-0.08005,-0.08005,-0.051845,0.133893,0.022463,-0.023286,-0.036009,-0.016808
"41",1,1819,0.110623,0.087445,0.087445,0.123698,-0.012287,0.060408,0.10235,0.136387,0.11127
"42",1,1830,-0.009742,0.033171,0.033171,NA,-0.008867,0.0083,0.053383,NA,0.157423
"43",1,1841,0.006256,0.014892,0.014892,-0.024711,0.091767,0.006134,0.050183,0.003362,0.118886
"44",1,1852,0.016967,-0.060457,-0.060457,0.046206,0.037441,-0.020532,-0.024581,-0.035087,0.089901
"45",1,1863,0.012966,-0.044132,-0.044132,-0.013113,-0.020804,0.023515,-0.092134,0.044811,-0.045309
"46",1,1874,-0.084022,-0.011303,-0.011303,-0.106415,0.137966,0.000874,-0.010099,0.016115,0.049433
"47",1,1885,0.037796,0.013545,0.013545,0.054571,-0.000522,0.025257,0.035592,0.083814,0.115016
"48",1,1896,0.013165,-0.047871,-0.047871,-0.03954,0.044072,-0.022171,-0.020299,-0.018087,0.085634
"49",1,1908,0.075877,-0.024739,-0.024739,-0.039887,0.004064,0.102057,-0.045178,0.092526,-0.020549
"50",1,1919,0.012591,-0.129759,-0.129759,-0.105091,-0.028329,-0.021178,-0.119974,-0.173345,-0.063067
"51",1,1930,NA,-0.135943,-0.135943,-0.070989,0.155329,-0.050647,-0.13251,-0.054241,0.020916
"52",1,1941,0.082055,0.018324,0.018324,0.013867,-0.11888,0.032578,0.056716,-0.012044,0.112058
"53",1,1952,-0.10104,-0.02543,-0.02543,-0.002289,-0.068884,-0.094196,NA,-0.107817,-0.029386
"54",1,1963,-0.065391,-0.192872,-0.192872,0.000962,-0.144628,-0.101206,-0.178745,-0.081127,-0.07719
"55",1,1974,-0.145097,-0.10892,-0.10892,-0.006687,0.111472,-0.132043,-0.138236,-0.165412,-0.136951
"56",1,1985,NA,-0.071096,-0.071096,0.000635,-0.020982,-1.188881,-0.08981,0.007621,0.058255
"57",1,1996,NA,-0.162476,-0.162476,-0.103956,0.080817,-0.122958,-0.114871,-0.122187,-0.101928
"58",1,2007,-0.064319,-0.126125,-0.126125,-0.026242,0.112009,-0.113894,-0.124217,-0.064413,-0.08463
"59",1,2019,0.108947,-0.040185,-0.040185,0.107519,0.086865,0.098627,0.009839,0.093288,0.186182
"60",1,2030,-0.01239,-0.059584,-0.059584,-0.04076,0.06368,-0.02939,-0.015883,0.009039,0.122616
"61",1,2041,0.046397,-0.018801,-0.018801,0.023895,0.032245,-0.00422,-0.041859,0.008659,-0.030398
"62",1,2052,0.027309,NA,NA,0.059983,-0.02883,0.041322,0.021953,0.055358,0.10617
"63",1,2063,-0.103981,-0.114406,-0.114406,-0.090623,0.05285,-0.02613,-0.127111,-0.121578,0.04511
"64",1,2074,0.045395,-0.01331,-0.01331,0.021697,NA,0.039985,0.016644,0.063697,0.14451
"65",1,2085,NA,0.043152,0.043152,0.050801,NA,NA,0.013629,0.056575,0.058523
"66",1,2096,-0.079125,-0.101347,-0.101347,-0.032442,-0.006889,-0.080994,-0.039407,-0.042545,0.037112
"67",1,2107,NA,-0.202928,-0.202928,-0.02235,0.176672,NA,-0.217533,-0.033363,0.023843
"68",1,2118,0.018673,0.012764,0.012764,-0.019268,-0.063863,0.01506,0.055357,0.035268,0.002654
"69",1,2130,-0.02705,0.055377,0.055377,0.045494,0.074184,-0.011242,NA,0.044767,-0.000436
"70",1,2141,0.112587,-0.030517,-0.030517,-0.011143,0.030706,0.066492,-0.036842,0.092965,0.016822
"71",1,2152,0.0147,0.039789,0.039789,0.015678,0.027086,0.021518,0.047219,0.053697,0.105759
"72",1,2163,-0.056173,-0.085247,-0.085247,-0.130396,0.063154,-0.046507,-0.094726,-0.051347,0.042591
"73",1,2174,0.023271,0.076157,0.076157,0.041534,0.036774,0.026598,0.081729,0.121564,0.161305
"74",1,2185,0.017163,0.082422,0.082422,-0.01568,0.080155,0.023941,0.0932,0.105628,-0.000622
