"","name","introduced","deprecated","removed","value","type"
"1","CURL_CHUNK_BGN_FUNC_FAIL","7.21.0",NA,NA,1,NA
"2","CURL_CHUNK_BGN_FUNC_OK","7.21.0",NA,NA,0,NA
"3","CURL_CHUNK_BGN_FUNC_SKIP","7.21.0",NA,NA,2,NA
"4","CURL_CHUNK_END_FUNC_FAIL","7.21.0",NA,NA,1,NA
"5","CURL_CHUNK_END_FUNC_OK","7.21.0",NA,NA,0,NA
"6","CURL_CSELECT_ERR","7.16.3",NA,NA,4,NA
"7","CURL_CSELECT_IN","7.16.3",NA,NA,1,NA
"8","CURL_CSELECT_OUT","7.16.3",NA,NA,2,NA
"9","CURL_DID_MEMORY_FUNC_TYPEDEFS","7.49.0",NA,NA,NA,NA
"10","CURL_EASY_NONE","7.14.0","-","7.15.4",NA,NA
"11","CURL_EASY_TIMEOUT","7.14.0","-","7.15.4",NA,NA
"12","CURL_ERROR_SIZE","7.1",NA,NA,256,NA
"13","CURL_FNMATCHFUNC_FAIL","7.21.0",NA,NA,2,NA
"14","CURL_FNMATCHFUNC_MATCH","7.21.0",NA,NA,0,NA
"15","CURL_FNMATCHFUNC_NOMATCH","7.21.0",NA,NA,1,NA
"16","CURL_FORMADD_DISABLED","7.12.1",NA,NA,7,NA
"17","CURL_FORMADD_ILLEGAL_ARRAY","7.9.8",NA,NA,6,NA
"18","CURL_FORMADD_INCOMPLETE","7.9.8",NA,NA,5,NA
"19","CURL_FORMADD_MEMORY","7.9.8",NA,NA,1,NA
"20","CURL_FORMADD_NULL","7.9.8",NA,NA,3,NA
"21","CURL_FORMADD_OK","7.9.8",NA,NA,0,NA
"22","CURL_FORMADD_OPTION_TWICE","7.9.8",NA,NA,2,NA
"23","CURL_FORMADD_UNKNOWN_OPTION","7.9.8",NA,NA,4,NA
"24","CURL_GLOBAL_ACK_EINTR","7.30.0",NA,NA,4,NA
"25","CURL_GLOBAL_ALL","7.8",NA,NA,3,NA
"26","CURL_GLOBAL_DEFAULT","7.8",NA,NA,3,NA
"27","CURL_GLOBAL_NOTHING","7.8",NA,NA,0,NA
"28","CURL_GLOBAL_SSL","7.8",NA,NA,1,NA
"29","CURL_GLOBAL_WIN32","7.8.1",NA,NA,2,NA
"30","CURL_HTTP_VERSION_1_0","7.9.1",NA,NA,1,NA
"31","CURL_HTTP_VERSION_1_1","7.9.1",NA,NA,2,NA
"32","CURL_HTTP_VERSION_2","7.43.0",NA,NA,3,NA
"33","CURL_HTTP_VERSION_2_0","7.33.0",NA,NA,3,NA
"34","CURL_HTTP_VERSION_2_PRIOR_KNOWLEDGE","7.49.0",NA,NA,5,NA
"35","CURL_HTTP_VERSION_2TLS","7.47.0",NA,NA,4,NA
"36","CURL_HTTP_VERSION_NONE","7.9.1",NA,NA,0,NA
"37","CURL_HTTPPOST_BUFFER","7.46.0",NA,NA,16,NA
"38","CURL_HTTPPOST_CALLBACK","7.46.0",NA,NA,64,NA
"39","CURL_HTTPPOST_FILENAME","7.46.0",NA,NA,1,NA
"40","CURL_HTTPPOST_LARGE","7.46.0",NA,NA,128,NA
"41","CURL_HTTPPOST_PTRBUFFER","7.46.0",NA,NA,32,NA
"42","CURL_HTTPPOST_PTRCONTENTS","7.46.0",NA,NA,8,NA
"43","CURL_HTTPPOST_PTRNAME","7.46.0",NA,NA,4,NA
"44","CURL_HTTPPOST_READFILE","7.46.0",NA,NA,2,NA
"45","CURL_IPRESOLVE_V4","7.10.8",NA,NA,1,NA
"46","CURL_IPRESOLVE_V6","7.10.8",NA,NA,2,NA
"47","CURL_IPRESOLVE_WHATEVER","7.10.8",NA,NA,0,NA
"48","CURL_LOCK_ACCESS_NONE","7.10.3",NA,NA,0,NA
"49","CURL_LOCK_ACCESS_SHARED","7.10.3",NA,NA,1,NA
"50","CURL_LOCK_ACCESS_SINGLE","7.10.3",NA,NA,2,NA
"51","CURL_LOCK_DATA_CONNECT","7.10.3",NA,NA,5,NA
"52","CURL_LOCK_DATA_COOKIE","7.10.3",NA,NA,2,NA
"53","CURL_LOCK_DATA_DNS","7.10.3",NA,NA,3,NA
"54","CURL_LOCK_DATA_NONE","7.10.3",NA,NA,0,NA
