"","substance","dose","unit","response","organism","ok"
"1","IM14 BF4",50000,"microM",0.0115000000223517,"Vibrio fischeri","ok"
"2","IM14 BF4",5000,"microM",0.382299989461899,"Vibrio fischeri","ok"
"3","IM14 BF4",1000,"microM",0.78549998998642,"Vibrio fischeri","ok"
"4","IM14 BF4",50,"microM",1.02020001411438,"Vibrio fischeri","ok"
"5","IM14 BF4",25,"microM",1.00720000267029,"Vibrio fischeri","ok"
"6","IM14 BF4",50000,"microM",0.00779999000951648,"Vibrio fischeri","ok"
"7","IM14 BF4",5000,"microM",0.40200001001358,"Vibrio fischeri","ok"
"8","IM14 BF4",1000,"microM",0.787000000476837,"Vibrio fischeri","ok"
"9","IM14 BF4",50,"microM",1.02620005607605,"Vibrio fischeri","ok"
"10","IM14 BF4",25,"microM",1.01049995422363,"Vibrio fischeri","ok"
"11","IM14 BF4",50000,"microM",0.00690001994371414,"Vibrio fischeri","ok"
"12","IM14 BF4",10000,"microM",0.132699996232986,"Vibrio fischeri","ok"
"13","IM14 BF4",5000,"microM",0.308099985122681,"Vibrio fischeri","ok"
"14","IM14 BF4",2500,"microM",0.507000029087067,"Vibrio fischeri","ok"
"15","IM14 BF4",1000,"microM",0.716300010681152,"Vibrio fischeri","ok"
"16","IM14 BF4",500,"microM",0.871599972248077,"Vibrio fischeri","ok"
"17","IM14 BF4",50000,"microM",0.00589996017515659,"Vibrio fischeri","ok"
"18","IM14 BF4",10000,"microM",0.128700003027916,"Vibrio fischeri","ok"
"19","IM14 BF4",5000,"microM",0.312299996614456,"Vibrio fischeri","ok"
"20","IM14 BF4",2500,"microM",0.496800005435944,"Vibrio fischeri","ok"
"21","IM14 BF4",1000,"microM",0.721099972724915,"Vibrio fischeri","ok"
"22","IM14 BF4",500,"microM",0.869499981403351,"Vibrio fischeri","ok"
"23","IM14 BF4",5,"microM",1.04159998893738,"Vibrio fischeri","ok"
"24","IM14 BF4",0.0500000007450581,"microM",1.00969994068146,"Vibrio fischeri","ok"
"25","IM14 BF4",0.000500000023748726,"microM",1.05190002918243,"Vibrio fischeri","ok"
"26","IM14 BF4",4.99999987368938e-05,"microM",1.03170001506805,"Vibrio fischeri","ok"
"27","IM14 BF4",5,"microM",1.0048999786377,"Vibrio fischeri","ok"
"28","IM14 BF4",0.0500000007450581,"microM",1.02550005912781,"Vibrio fischeri","ok"
"29","IM14 BF4",0.000500000023748726,"microM",1.03460001945496,"Vibrio fischeri","ok"
"30","IM14 BF4",4.99999987368938e-05,"microM",1.03680002689362,"Vibrio fischeri","ok"
"31","IM14 BF4",50000,"microM",0.0162000004202127,"Vibrio fischeri","ok"
"32","IM14 BF4",10000,"microM",0.287699997425079,"Vibrio fischeri","ok"
"33","IM14 BF4",5000,"microM",0.491299986839294,"Vibrio fischeri","ok"
"34","IM14 BF4",2500,"microM",0.628000020980835,"Vibrio fischeri","ok"
