"","substance","dose","unit","response","celltype","plate","ok"
"1","Zn Pyrithion",5,"microM",0.0514534,"IPC-81",484,"ok"
"2","Zn Pyrithion",2.5,"microM",0.0233879,"IPC-81",484,"ok"
"3","Zn Pyrithion",1.25,"microM",0.047444,"IPC-81",484,"ok"
"4","Zn Pyrithion",0.625,"microM",0.0915469,"IPC-81",484,"ok"
"5","Zn Pyrithion",0.3125,"microM",0.0715002,"IPC-81",484,"ok"
"6","Zn Pyrithion",0.15625,"microM",0.873371,"IPC-81",484,"ok"
"7","Zn Pyrithion",0.078125,"microM",1.00568,"IPC-81",484,"ok"
"8","Zn Pyrithion",0.0390625,"microM",0.893418,"IPC-81",484,"ok"
"9","Zn Pyrithion",0.0195312,"microM",1.04176,"IPC-81",484,"ok"
"10","Zn Pyrithion",5,"microM",-0.000668226,"IPC-81",484,"ok"
"11","Zn Pyrithion",2.5,"microM",0.0674908,"IPC-81",484,"ok"
"12","Zn Pyrithion",1.25,"microM",0.0795189,"IPC-81",484,"ok"
"13","Zn Pyrithion",0.625,"microM",0.0554627,"IPC-81",484,"ok"
"14","Zn Pyrithion",0.3125,"microM",0.0233879,"IPC-81",484,"ok"
"15","Zn Pyrithion",0.15625,"microM",0.909455,"IPC-81",484,"ok"
"16","Zn Pyrithion",0.078125,"microM",1.02974,"IPC-81",484,"ok"
"17","Zn Pyrithion",0.0390625,"microM",1.01771,"IPC-81",484,"ok"
"18","Zn Pyrithion",0.0195312,"microM",0.797193,"IPC-81",484,"ok"
"19","Zn Pyrithion",5,"microM",0.0193786,"IPC-81",484,"ok"
"20","Zn Pyrithion",2.5,"microM",0.0314066,"IPC-81",484,"ok"
"21","Zn Pyrithion",1.25,"microM",0.0875376,"IPC-81",484,"ok"
"22","Zn Pyrithion",0.625,"microM",0.103575,"IPC-81",484,"ok"
"23","Zn Pyrithion",0.3125,"microM",0.0193786,"IPC-81",484,"ok"
"24","Zn Pyrithion",0.15625,"microM",0.781156,"IPC-81",484,"ok"
"25","Zn Pyrithion",0.078125,"microM",0.973605,"IPC-81",484,"ok"
"26","Zn Pyrithion",0.0390625,"microM",1.00969,"IPC-81",484,"ok"
"27","Zn Pyrithion",0.0195312,"microM",0.813231,"IPC-81",484,"ok"
"28","Zn Pyrithion",100,"microM",0.0797812,"IPC-81",486,"ok"
"29","Zn Pyrithion",50,"microM",0.0661044,"IPC-81",486,"ok"
"30","Zn Pyrithion",25,"microM",0.0989287,"IPC-81",486,"ok"
"31","Zn Pyrithion",12.5,"microM",0.0989287,"IPC-81",486,"ok"
"32","Zn Pyrithion",6.25,"microM",0.0907226,"IPC-81",486,"ok"
"33","Zn Pyrithion",3.125,"microM",0.0578983,"IPC-81",486,"ok"
"34","Zn Pyrithion",1.5625,"microM",0.0961933,"IPC-81",486,"ok"
"35","Zn Pyrithion",0.78125,"microM",0.104399,"IPC-81",486,"ok"
"36","Zn Pyrithion",0.390625,"microM",0.659676,"IPC-81",486,"ok"
"37","Zn Pyrithion",100,"microM",0.0305448,"IPC-81",486,"ok"
"38","Zn Pyrithion",50,"microM",0.0907226,"IPC-81",486,"ok"
"39","Zn Pyrithion",25,"microM",0.101664,"IPC-81",486,"ok"
"40","Zn Pyrithion",12.5,"microM",0.0770458,"IPC-81",486,"ok"
"41","Zn Pyrithion",6.25,"microM",0.0743105,"IPC-81",486,"ok"
"42","Zn Pyrithion",3.125,"microM",0.0934579,"IPC-81",486,"ok"
"43","Zn Pyrithion",1.5625,"microM",0.112605,"IPC-81",486,"ok"
"44","Zn Pyrithion",0.78125,"microM",0.0797812,"IPC-81",486,"ok"
"45","Zn Pyrithion",0.390625,"microM",0.107135,"IPC-81",486,"ok"
"46","Zn Pyrithion",100,"microM",0.0524276,"IPC-81",486,"ok"
"47","Zn Pyrithion",50,"microM",-0.0351037,"IPC-81",486,"ok"
"48","Zn Pyrithion",25,"microM",0.0989287,"IPC-81",486,"ok"
"49","Zn Pyrithion",12.5,"microM",0.107135,"IPC-81",486,"ok"
"50","Zn Pyrithion",6.25,"microM",0.063369,"IPC-81",486,"ok"
"51","Zn Pyrithion",3.125,"microM",0.0387509,"IPC-81",486,"ok"
"52","Zn Pyrithion",1.5625,"microM",0.118076,"IPC-81",486,"ok"
"53","Zn Pyrithion",0.78125,"microM",0.10987,"IPC-81",486,"ok"
"54","Zn Pyrithion",0.390625,"microM",0.104399,"IPC-81",486,"ok"
"55","TBT",250,"microM",-0.00510856,"IPC-81",502,"ok"
"56","TBT",125,"microM",0.0536398,"IPC-81",502,"ok"
"57","TBT",62.5,"microM",0.0383142,"IPC-81",502,"ok"
"58","TBT",31.25,"microM",0.0408685,"IPC-81",502,"ok"
"59","TBT",15.625,"microM",0.0153257,"IPC-81",502,"ok"
"60","TBT",7.8125,"microM",0.00510856,"IPC-81",502,"ok"
"61","TBT",3.90625,"microM",0.0408685,"IPC-81",502,"ok"
"62","TBT",1.95312,"microM",0.0561941,"IPC-81",502,"ok"
"63","TBT",0.976562,"microM",0.712644,"IPC-81",502,"ok"
"64","TBT",250,"microM",0.0306513,"IPC-81",502,"ok"
"65","TBT",125,"microM",0.0510856,"IPC-81",502,"ok"
"66","TBT",62.5,"microM",0.0306513,"IPC-81",502,"ok"
"67","TBT",31.25,"microM",0.0485313,"IPC-81",502,"ok"
"68","TBT",15.625,"microM",0.0306513,"IPC-81",502,"ok"
"69","TBT",7.8125,"microM",0.0383142,"IPC-81",502,"ok"
"70","TBT",3.90625,"microM",0.0383142,"IPC-81",502,"ok"
"71","TBT",1.95312,"microM",0.0485313,"IPC-81",502,"ok"
"72","TBT",0.976562,"microM",0.88378,"IPC-81",502,"ok"
"73","TBT",250,"microM",0.0510856,"IPC-81",502,"ok"
"74","TBT",125,"microM",0.0383142,"IPC-81",502,"ok"
"75","TBT",62.5,"microM",0.045977,"IPC-81",502,"ok"
"76","TBT",31.25,"microM",0.0357599,"IPC-81",502,"ok"
"77","TBT",15.625,"microM",0.0255428,"IPC-81",502,"ok"
"78","TBT",7.8125,"microM",0.0255428,"IPC-81",502,"ok"
"79","TBT",3.90625,"microM",0.0715198,"IPC-81",502,"ok"
"80","TBT",1.95312,"microM",0.0536398,"IPC-81",502,"ok"
"81","TBT",0.976562,"microM",1.02427,"IPC-81",502,"ok"
"82","TBT",2,"microM",-0.0214462,"IPC-81",514,"ok"
"83","TBT",1,"microM",0.638438,"IPC-81",514,"ok"
"84","TBT",0.5,"microM",0.955183,"IPC-81",514,"ok"
"85","TBT",0.25,"microM",0.951883,"IPC-81",514,"ok"
"86","TBT",0.125,"microM",1.05417,"IPC-81",514,"ok"
"87","TBT",0.0625,"microM",1.03107,"IPC-81",514,"ok"
"88","TBT",0.03125,"microM",1.09046,"IPC-81",514,"ok"
"89","TBT",0.015625,"microM",1.00797,"IPC-81",514,"ok"
"90","TBT",0.0078125,"microM",1.02777,"IPC-81",514,"ok"
"91","TBT",2,"microM",-0.0412428,"IPC-81",514,"ok"
"92","TBT",1,"microM",0.625241,"IPC-81",514,"ok"
"93","TBT",0.5,"microM",0.852901,"IPC-81",514,"ok"
"94","TBT",0.25,"microM",0.899093,"IPC-81",514,"ok"
"95","TBT",0.125,"microM",1.06076,"IPC-81",514,"ok"
"96","TBT",0.0625,"microM",0.981578,"IPC-81",514,"ok"
"97","TBT",0.03125,"microM",0.991476,"IPC-81",514,"ok"
"98","TBT",0.015625,"microM",0.988177,"IPC-81",514,"ok"
"99","TBT",0.0078125,"microM",1.04427,"IPC-81",514,"ok"
"100","TBT",2,"microM",-0.0247457,"IPC-81",514,"ok"
"101","TBT",1,"microM",0.757217,"IPC-81",514,"ok"
"102","TBT",0.5,"microM",0.862799,"IPC-81",514,"ok"
"103","TBT",0.25,"microM",0.892494,"IPC-81",514,"ok"
"104","TBT",0.125,"microM",0.965081,"IPC-81",514,"ok"
"105","TBT",0.0625,"microM",1.06076,"IPC-81",514,"ok"
"106","TBT",0.03125,"microM",1.02777,"IPC-81",514,"ok"
"107","TBT",0.015625,"microM",1.00467,"IPC-81",514,"ok"
"108","TBT",0.0078125,"microM",0.978279,"IPC-81",514,"ok"
"109","TBT",0.00273437,"microM",0.869304,"IPC-81",554,"ok"
"110","TBT",0.00546875,"microM",0.793997,"IPC-81",554,"ok"
"111","TBT",0.0109375,"microM",0.80382,"IPC-81",554,"ok"
"112","TBT",0.021875,"microM",0.826739,"IPC-81",554,"ok"
"113","TBT",0.04375,"microM",0.807094,"IPC-81",554,"ok"
"114","TBT",0.0875,"microM",0.80382,"IPC-81",554,"ok"
"115","TBT",0.175,"microM",0.797271,"IPC-81",554,"ok"
"116","TBT",0.35,"microM",0.414188,"IPC-81",554,"ok"
"117","TBT",0.7,"microM",-0.00491132,"IPC-81",554,"ok"
"118","TBT",0.00195312,"microM",1.01664,"IPC-81",554,"ok"
"119","TBT",0.00390625,"microM",0.921692,"IPC-81",554,"ok"
"120","TBT",0.0078125,"microM",0.967531,"IPC-81",554,"ok"
"121","TBT",0.015625,"microM",0.964256,"IPC-81",554,"ok"
"122","TBT",0.03125,"microM",0.892224,"IPC-81",554,"ok"
"123","TBT",0.0625,"microM",0.902046,"IPC-81",554,"ok"
"124","TBT",0.125,"microM",0.86603,"IPC-81",554,"ok"
"125","TBT",0.25,"microM",0.564802,"IPC-81",554,"ok"
"126","TBT",0.5,"microM",0.0376535,"IPC-81",554,"ok"
"127","TBT",0.00195312,"microM",1.01664,"IPC-81",554,"ok"
"128","TBT",0.00390625,"microM",0.983902,"IPC-81",554,"ok"
"129","TBT",0.0078125,"microM",1.01664,"IPC-81",554,"ok"
"130","TBT",0.015625,"microM",0.875853,"IPC-81",554,"ok"
"131","TBT",0.03125,"microM",0.892224,"IPC-81",554,"ok"
"132","TBT",0.0625,"microM",0.983902,"IPC-81",554,"ok"
"133","TBT",0.125,"microM",0.816917,"IPC-81",554,"ok"
"134","TBT",0.25,"microM",0.486221,"IPC-81",554,"ok"
"135","TBT",0.5,"microM",-0.0180082,"IPC-81",554,"ok"
"136","TBT",0.7,"microM",0.014734,"IPC-81",554,"ok"
"137","TBT",0.35,"microM",0.410914,"IPC-81",554,"ok"
"138","TBT",0.175,"microM",0.757981,"IPC-81",554,"ok"
"139","TBT",0.0875,"microM",0.879127,"IPC-81",554,"ok"
"140","TBT",0.04375,"microM",0.892224,"IPC-81",554,"ok"
"141","TBT",0.021875,"microM",0.846385,"IPC-81",554,"ok"
"142","TBT",0.0109375,"microM",0.960982,"IPC-81",554,"ok"
"143","TBT",0.00546875,"microM",0.879127,"IPC-81",554,"ok"
"144","TBT",0.00273437,"microM",0.911869,"IPC-81",554,"ok"
"145","TBT",0.9,"microM",0.0114598,"IPC-81",554,"ok"
"146","TBT",0.45,"microM",0.361801,"IPC-81",554,"ok"
"147","TBT",0.225,"microM",0.689222,"IPC-81",554,"ok"
"148","TBT",0.1125,"microM",0.843111,"IPC-81",554,"ok"
"149","TBT",0.05625,"microM",0.843111,"IPC-81",554,"ok"
"150","TBT",0.028125,"microM",0.924966,"IPC-81",554,"ok"
"151","TBT",0.0140625,"microM",0.967531,"IPC-81",554,"ok"
"152","TBT",0.00703125,"microM",0.970805,"IPC-81",554,"ok"
"153","TBT",0.00351562,"microM",0.99045,"IPC-81",554,"ok"
"154","TBT",0.9,"microM",0.014734,"IPC-81",554,"ok"
"155","TBT",0.45,"microM",0.329059,"IPC-81",554,"ok"
"156","TBT",0.225,"microM",0.764529,"IPC-81",554,"ok"
"157","TBT",0.1125,"microM",0.941337,"IPC-81",554,"ok"
"158","TBT",0.05625,"microM",0.885675,"IPC-81",554,"ok"
"159","TBT",0.028125,"microM",0.80382,"IPC-81",554,"ok"
"160","TBT",0.0140625,"microM",0.924966,"IPC-81",554,"ok"
"161","TBT",0.00703125,"microM",1.01992,"IPC-81",554,"ok"
"162","TBT",0.00351562,"microM",0.872578,"IPC-81",554,"ok"
"163","Zn Pyrithion",2,"microM",0.0140647,"IPC-81",694,"ok"
"164","Zn Pyrithion",1,"microM",0.00468823,"IPC-81",694,"ok"
"165","Zn Pyrithion",0.5,"microM",1.09798,"IPC-81",694,"ok"
"166","Zn Pyrithion",0.25,"microM",1.11674,"IPC-81",694,"ok"
"167","Zn Pyrithion",0.125,"microM",0.974215,"IPC-81",694,"ok"
"168","Zn Pyrithion",0.0625,"microM",0.904829,"IPC-81",694,"ok"
"169","Zn Pyrithion",0.03125,"microM",0.934834,"IPC-81",694,"ok"
"170","Zn Pyrithion",0.015625,"microM",0.959212,"IPC-81",694,"ok"
"171","Zn Pyrithion",0.0078125,"microM",0.991092,"IPC-81",694,"ok"
"172","Zn Pyrithion",2,"microM",-0.000937646,"IPC-81",694,"ok"
"173","Zn Pyrithion",1,"microM",0.0178153,"IPC-81",694,"ok"
"174","Zn Pyrithion",0.5,"microM",0.934834,"IPC-81",694,"ok"
"175","Zn Pyrithion",0.25,"microM",1.0286,"IPC-81",694,"ok"
"176","Zn Pyrithion",0.125,"microM",0.959212,"IPC-81",694,"ok"
"177","Zn Pyrithion",0.0625,"microM",0.929208,"IPC-81",694,"ok"
"178","Zn Pyrithion",0.03125,"microM",0.889827,"IPC-81",694,"ok"
"179","Zn Pyrithion",0.015625,"microM",0.914205,"IPC-81",694,"ok"
"180","Zn Pyrithion",0.0078125,"microM",0.942335,"IPC-81",694,"ok"
"181","Zn Pyrithion",2,"microM",0.567276,"IPC-81",694,"ok"
"182","Zn Pyrithion",1,"microM",0.687295,"IPC-81",694,"ok"
"183","Zn Pyrithion",0.5,"microM",1.06985,"IPC-81",694,"ok"
"184","Zn Pyrithion",0.25,"microM",1.14487,"IPC-81",694,"ok"
"185","Zn Pyrithion",0.125,"microM",0.955462,"IPC-81",694,"ok"
"186","Zn Pyrithion",0.0625,"microM",0.871074,"IPC-81",694,"ok"
"187","Zn Pyrithion",0.03125,"microM",0.917956,"IPC-81",694,"ok"
"188","Zn Pyrithion",0.015625,"microM",0.947961,"IPC-81",694,"ok"
"189","Zn Pyrithion",0.0078125,"microM",0.938584,"IPC-81",694,"ok"
"190","TBT",1,"microM",0.707681,"IPC-81",695,"ok"
"191","TBT",0.5,"microM",0.95082,"IPC-81",695,"ok"
"192","TBT",0.25,"microM",0.776202,"IPC-81",695,"ok"
"193","TBT",0.125,"microM",0.864616,"IPC-81",695,"ok"
"194","TBT",0.0625,"microM",0.780623,"IPC-81",695,"ok"
