"","id","y","sex","age"
"1",1,1,"male","13"
"2",1,1,"male","14"
"3",1,1,"male","15"
"4",1,1,"male","16"
"5",1,1,"male","17"
"6",2,1,"male","13"
"7",2,1,"male","14"
"8",2,1,"male","15"
"9",2,1,"male","16"
"10",2,1,"male","17"
"11",3,1,"male","13"
"12",3,1,"male","14"
"13",3,1,"male","15"
"14",3,1,"male","16"
"15",3,1,"male","17"
"16",4,1,"male","13"
"17",4,1,"male","14"
"18",4,1,"male","15"
"19",4,1,"male","16"
"20",4,1,"male","17"
"21",5,1,"male","13"
"22",5,1,"male","14"
"23",5,1,"male","15"
"24",5,1,"male","16"
"25",5,1,"male","17"
"26",6,1,"male","13"
"27",6,1,"male","14"
"28",6,1,"male","15"
"29",6,1,"male","16"
"30",6,1,"male","17"
"31",7,1,"male","13"
"32",7,1,"male","14"
"33",7,1,"male","15"
"34",7,1,"male","16"
"35",7,1,"male","17"
"36",8,1,"male","13"
"37",8,1,"male","14"
"38",8,1,"male","15"
"39",8,1,"male","16"
"40",8,1,"male","17"
"41",9,1,"male","13"
"42",9,1,"male","14"
"43",9,1,"male","15"
"44",9,1,"male","16"
"45",9,1,"male","17"
"46",10,1,"male","13"
"47",10,1,"male","14"
"48",10,1,"male","15"
"49",10,1,"male","16"
"50",10,1,"male","17"
"51",11,1,"male","13"
"52",11,1,"male","14"
"53",11,1,"male","15"
"54",11,1,"male","16"
"55",11,1,"male","17"
"56",12,1,"male","13"
"57",12,1,"male","14"
"58",12,1,"male","15"
"59",12,1,"male","16"
"60",12,1,"male","17"
"61",13,1,"male","13"
"62",13,1,"male","14"
"63",13,1,"male","15"
"64",13,1,"male","16"
"65",13,1,"male","17"
"66",14,1,"male","13"
"67",14,1,"male","14"
"68",14,1,"male","15"
"69",14,1,"male","16"
"70",14,1,"male","17"
"71",15,1,"male","13"
"72",15,1,"male","14"
"73",15,1,"male","15"
"74",15,1,"male","16"
"75",15,1,"male","17"
"76",16,1,"male","13"
"77",16,1,"male","14"
"78",16,1,"male","15"
"79",16,1,"male","16"
"80",16,1,"male","17"
"81",17,1,"male","13"
"82",17,1,"male","14"
"83",17,1,"male","15"
"84",17,1,"male","16"
"85",17,1,"male","17"
"86",18,1,"male","13"
"87",18,1,"male","14"
"88",18,1,"male","15"
"89",18,1,"male","16"
"90",18,1,"male","17"
"91",19,1,"male","13"
"92",19,1,"male","14"
"93",19,1,"male","15"
"94",19,1,"male","16"
"95",19,1,"male","17"
