"","PID","strata","tot.votes","Yes","No"
"IB-1001","IB-1001","ST-IB",486,194,190
"IB-1002","IB-1002","ST-IB",316,151,110
"IB-1003","IB-1003","ST-IB",359,167,131
"IB-1004","IB-1004","ST-IB",355,163,141
"IB-1005","IB-1005","ST-IB",267,131,88
"IB-1006","IB-1006","ST-IB",352,178,121
"IB-1007","IB-1007","ST-IB",295,145,113
"IB-1008","IB-1008","ST-IB",357,144,144
"IB-1009","IB-1009","ST-IB",380,184,134
"IB-1010","IB-1010","ST-IB",297,133,123
"IB-1011","IB-1011","ST-IB",361,164,156
"IB-1012","IB-1012","ST-IB",314,140,127
"IB-1013","IB-1013","ST-IB",281,132,109
"IB-1014","IB-1014","ST-IB",311,138,133
"IB-1015","IB-1015","ST-IB",331,160,119
"IB-1016","IB-1016","ST-IB",296,132,110
"IB-1017","IB-1017","ST-IB",362,186,133
"IB-1018","IB-1018","ST-IB",351,172,131
"IB-1019","IB-1019","ST-IB",371,169,148
"IB-1020","IB-1020","ST-IB",91,37,33
"IB-1021","IB-1021","ST-IB",1,0,1
"IB-1022","IB-1022","ST-IB",266,132,105
"IB-1102","IB-1102","ST-IB",362,164,133
"IB-1103","IB-1103","ST-IB",406,188,144
"IB-1106","IB-1106","ST-IB",264,126,93
"IB-1107","IB-1107","ST-IB",313,144,123
"IB-1110","IB-1110","ST-IB",92,44,35
"IB-1113","IB-1113","ST-IB",336,163,126
"IB-1114","IB-1114","ST-IB",216,96,80
"IB-1121","IB-1121","ST-IB",350,156,143
"IB-1124","IB-1124","ST-IB",272,118,109
"IB-1125","IB-1125","ST-IB",270,132,103
"IB-1210","IB-1210","ST-IB",286,141,107
"IB-1211","IB-1211","ST-IB",265,126,116
"IB-1500","IB-1500","ST-IB",229,106,92
"IB-1701","IB-1701","ST-IB",71,33,29
"IB-2001","IB-2001","ST-IB",358,170,141
"IB-2002","IB-2002","ST-IB",276,148,84
"IB-2003","IB-2003","ST-IB",364,173,137
"IB-2004","IB-2004","ST-IB",347,161,125
"IB-2005","IB-2005","ST-IB",374,188,127
"IB-2006","IB-2006","ST-IB",363,161,156
"IB-2007","IB-2007","ST-IB",292,123,117
"IB-2008","IB-2008","ST-IB",266,149,74
"IB-2009","IB-2009","ST-IB",353,157,146
"IB-2010","IB-2010","ST-IB",266,130,94
"IB-2011","IB-2011","ST-IB",448,241,149
"IB-2012","IB-2012","ST-IB",61,36,20
"IB-2013","IB-2013","ST-IB",77,49,21
"IB-2014","IB-2014","ST-IB",316,153,116
"IB-2015","IB-2015","ST-IB",148,80,50
"IB-2016","IB-2016","ST-IB",369,164,132
"IB-2017","IB-2017","ST-IB",301,151,100
"IB-2101","IB-2101","ST-IB",318,164,101
"IB-2102","IB-2102","ST-IB",285,123,117
"IB-2103","IB-2103","ST-IB",175,90,61
"IB-2104","IB-2104","ST-IB",251,96,107
"IB-2107","IB-2107","ST-IB",180,80,57
"IB-2108","IB-2108","ST-IB",336,182,92
"IB-2109","IB-2109","ST-IB",217,98,75
"IB-2112","IB-2112","ST-IB",346,160,126
"IB-2201","IB-2201","ST-IB",235,122,72
"IB-2205","IB-2205","ST-IB",403,186,138
"IB-2206","IB-2206","ST-IB",375,187,125
"IB-2207","IB-2207","ST-IB",362,164,132
"IB-2301","IB-2301","ST-IB",369,178,116
"IB-2302","IB-2302","ST-IB",372,166,125
"IB-2303","IB-2303","ST-IB",456,213,151
"IB-2304","IB-2304","ST-IB",431,214,152
"IB-2305","IB-2305","ST-IB",422,194,148
"IB-2306","IB-2306","ST-IB",333,148,133
"IB-2402","IB-2402","ST-IB",285,149,92
"IB-2504","IB-2504","ST-IB",144,74,42
"IB-2601","IB-2601","ST-IB",197,108,67
"IB-2701","IB-2701","ST-IB",228,97,100
"IB-2902","IB-2902","ST-IB",211,96,71
"IB-2907","IB-2907","ST-IB",287,130,103
"IB-2908","IB-2908","ST-IB",400,179,154
"IB-3001","IB-3001","ST-IB",391,207,128
"IB-3002","IB-3002","ST-IB",330,158,109
"IB-3003","IB-3003","ST-IB",318,151,112
"IB-3004","IB-3004","ST-IB",331,154,118
"IB-3005","IB-3005","ST-IB",393,199,111
"IB-3006","IB-3006","ST-IB",368,180,108
"IB-3007","IB-3007","ST-IB",344,165,107
"IB-3008","IB-3008","ST-IB",2,1,0
"IB-3009","IB-3009","ST-IB",382,182,124
"IB-3010","IB-3010","ST-IB",348,164,116
"IB-3011","IB-3011","ST-IB",309,150,105
"IB-3012","IB-3012","ST-IB",66,37,20
"IB-3013","IB-3013","ST-IB",277,125,102
"IB-3014","IB-3014","ST-IB",498,256,152
"IB-3015","IB-3015","ST-IB",311,143,111
"IB-3016","IB-3016","ST-IB",480,227,158
"IB-3017","IB-3017","ST-IB",318,154,111
"IB-3018","IB-3018","ST-IB",431,205,142
"IB-3019","IB-3019","ST-IB",381,177,140
"IB-3020","IB-3020","ST-IB",123,64,39
"IB-3021","IB-3021","ST-IB",182,83,80
"IB-3022","IB-3022","ST-IB",203,96,76
"IB-3104","IB-3104","ST-IB",334,152,116
"IB-3105","IB-3105","ST-IB",336,166,106
"IB-3106","IB-3106","ST-IB",272,123,89
"IB-3107","IB-3107","ST-IB",276,128,87
