"","id","sex","dep","qa1","qa2","qa3","qa4","qa5","qa6","qa7","qa8","qa9","qa10","qa11","qa12","qa13","qa14","qa15","qa16","qa17","qa18"
"1",1,"female","Department 5",5,5,1,4,5,4,4,3,5,5,5,5,5,5,4,2,4,5
"2",2,"male","Department 5",4,4,2,4,5,3,4,4,5,4,4,4,5,3,4,3,4,3
"3",3,"male","Department 5",5,5,1,5,5,1,5,5,5,5,3,3,2,5,5,1,3,5
"4",4,"male","Department 5",5,5,1,4,3,1,5,4,4,4,4,4,2,2,4,4,2,4
"5",5,"female","Department 5",4,4,1,4,5,3,5,5,5,4,3,4,4,3,4,1,3,4
"6",6,"male","Department 5",5,5,2,5,5,4,5,5,5,5,5,5,4,5,4,2,5,5
"7",7,"male","Department 5",5,5,2,4,2,1,5,5,4,5,2,4,2,4,3,5,2,5
"8",8,"male","Department 5",5,5,2,5,4,3,4,5,4,5,1,3,4,3,3,1,5,5
"9",9,"female","Department 5",4,3,2,4,4,3,4,4,4,3,4,3,1,4,4,2,3,4
"10",10,"female","Department 5",4,3,2,4,4,4,4,5,5,5,2,4,4,3,5,1,4,4
"11",11,"male","Department 5",5,4,2,4,5,3,5,5,5,4,3,2,2,4,5,2,2,5
"12",12,"female","Department 5",5,5,1,5,5,3,5,5,5,5,5,1,1,2,5,1,2,5
"13",13,"male","Department 5",5,5,1,4,5,2,5,5,5,4,3,4,2,4,4,2,2,4
"14",14,"female","Department 5",5,5,2,5,5,4,5,5,5,4,4,4,3,4,5,2,4,5
"15",15,"female","Department 5",4,4,4,4,5,4,5,4,4,4,4,4,4,5,4,3,3,4
"16",16,"female","Department 5",4,4,3,4,5,3,5,4,5,4,2,3,3,4,4,2,3,4
"17",17,"female","Department 5",4,3,4,4,4,3,4,4,4,4,4,1,2,3,5,4,1,5
"18",18,"female","Department 1",5,5,2,5,4,1,5,5,5,4,5,4,2,4,5,1,4,4
"19",19,"female","Department 5",5,4,4,4,5,4,5,5,5,5,3,4,3,3,5,1,3,3
"20",20,"male","Department 5",5,4,1,5,5,1,3,3,4,1,3,4,2,3,4,1,2,5
"21",21,"female","Department 5",4,4,2,4,4,2,4,4,4,4,3,3,1,3,4,1,2,4
"22",22,"male","Department 5",4,5,1,5,5,1,5,4,5,5,3,3,2,4,4,1,3,5
"23",23,"female","Department 5",4,4,3,4,5,5,4,3,4,4,2,2,5,3,4,2,2,4
"24",24,"female","Department 5",4,4,3,4,5,4,4,3,4,4,3,3,3,3,4,2,4,4
"25",25,"female","Department 5",5,5,2,4,5,2,5,5,5,4,2,2,2,2,4,2,2,4
"26",1,"male","Department 2",5,4,4,4,5,2,4,5,3,3,2,4,4,4,4,4,2,4
"27",2,"male","Department 2",5,5,5,5,5,4,5,5,5,5,5,3,4,4,4,2,5,4
"28",3,"male","Department 2",5,5,1,5,5,1,5,4,5,4,1,2,3,4,5,2,4,4
"29",4,"male","Department 2",5,5,4,5,4,3,4,3,5,5,3,5,2,3,5,2,5,3
"30",5,"male","Department 2",5,4,2,5,5,3,4,5,4,5,2,4,5,5,4,4,4,5
"31",6,"male","Department 2",5,5,1,4,5,2,4,5,5,4,4,5,2,4,4,1,2,5
"32",7,"male","Department 2",5,4,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4
"33",8,"male","Department 2",4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4
"34",1,"female","Department 1",3,3,3,4,5,4,5,5,5,5,3,4,3,3,4,3,3,4
"35",2,"female","Department 1",5,4,2,4,5,3,4,5,5,5,4,3,3,4,4,2,4,4
"36",3,"female","Department 1",5,5,1,5,5,1,5,5,5,5,4,2,2,5,5,1,5,4
"37",4,"female","Department 1",5,4,2,4,5,3,4,5,5,4,4,4,3,5,4,2,2,3
"38",5,"female","Department 1",5,4,4,4,5,3,4,4,5,4,3,5,4,5,4,4,4,4
"39",6,"female","Department 1",4,4,1,4,5,2,5,5,5,4,4,5,2,4,5,5,3,4
"40",7,"female","Department 1",4,3,3,4,4,4,4,3,4,4,4,2,4,4,4,3,3,4
