"","woman","district","user","living.children","age_mean","urban","constant"
"1",1,1,0,4,18.44,1,1
"2",2,1,0,1,-5.5599,1,1
"3",3,1,0,3,1.44,1,1
"4",4,1,0,4,8.44,1,1
"5",5,1,0,1,-13.559,1,1
"6",6,1,0,1,-11.56,1,1
"7",7,1,0,4,18.44,1,1
"8",8,1,0,4,-3.5599,1,1
"9",9,1,0,2,-5.5599,1,1
"10",10,1,0,4,1.44,1,1
"11",11,1,1,1,-11.56,1,1
"12",12,1,0,1,-2.5599,1,1
"13",13,1,0,2,-4.5599,1,1
"14",14,1,0,4,5.44,1,1
"15",15,1,0,4,-0.5599,1,1
"16",16,1,1,4,4.44,1,1
"17",17,1,0,1,-5.5599,1,1
"18",18,1,1,4,-0.5599,1,1
"19",19,1,1,2,-6.5599,1,1
"20",20,1,0,3,-3.56,1,1
"21",21,1,0,1,-4.5599,1,1
"22",22,1,0,1,-9.5599,1,1
"23",23,1,0,4,2.44,1,1
"24",24,1,1,3,2.44,1,1
"25",25,1,1,2,-4.5599,1,1
"26",26,1,0,4,14.44,1,1
"27",27,1,1,1,-6.5599,1,1
"28",28,1,1,2,-3.5599,1,1
"29",29,1,1,2,-5.5599,1,1
"30",30,1,1,2,-1.5599,1,1
"31",31,1,0,3,-6.5599,1,1
"32",32,1,1,3,-2.5599,1,1
"33",33,1,0,3,-7.5599,1,1
"34",34,1,0,1,9.44,1,1
"35",35,1,0,4,8.44,1,1
"36",36,1,0,4,14.44,1,1
"37",37,1,1,4,8.44,1,1
"38",38,1,0,4,6.44,1,1
"39",39,1,0,3,-3.56,1,1
"40",40,1,1,4,-5.5599,1,1
"41",41,1,0,4,14.44,1,1
"42",42,1,0,4,2.44,1,1
"43",43,1,0,2,-10.559,1,1
"44",44,1,0,4,5.44,1,1
"45",45,1,1,2,-7.5599,1,1
"46",46,1,1,3,-4.5599,1,1
"47",47,1,1,4,-1.5599,1,1
"48",48,1,0,2,-11.559,1,1
"49",49,1,1,4,1.44,1,1
"50",50,1,1,3,11.44,1,1
"51",51,1,0,1,-12.559,1,1
"52",52,1,1,3,-2.5599,1,1
"53",53,1,0,1,-3.5599,1,1
"54",54,1,1,1,-4.5599,1,1
"55",55,1,1,3,-7.5599,1,1
"56",56,1,1,2,8.44,1,1
"57",57,1,1,3,-5.5599,1,1
"58",58,1,0,4,7.44,1,1
"59",59,1,0,2,-6.5599,1,1
"60",60,1,0,1,-11.56,1,1
"61",61,1,0,4,15.44,1,1
"62",62,1,0,3,-4.5599,1,1
"63",63,1,0,3,-3.56,1,1
"64",64,1,0,4,11.44,0,1
"65",65,1,0,4,-4.5599,0,1
