"","time","ukcars"
"1",1977,330.371
"2",1977.25,371.051
"3",1977.5,270.67
"4",1977.75,343.88
"5",1978,358.491
"6",1978.25,362.822
"7",1978.5,261.281
"8",1978.75,240.355
"9",1979,325.382
"10",1979.25,316.7
"11",1979.5,171.153
"12",1979.75,257.217
"13",1980,298.127
"14",1980.25,251.464
"15",1980.5,181.555
"16",1980.75,192.598
"17",1981,245.652
"18",1981.25,245.526
"19",1981.5,225.261
"20",1981.75,238.211
"21",1982,257.385
"22",1982.25,228.461
"23",1982.5,175.371
"24",1982.75,226.462
"25",1983,266.15
"26",1983.25,287.251
"27",1983.5,225.883
"28",1983.75,265.313
"29",1984,272.759
"30",1984.25,234.134
"31",1984.5,196.462
"32",1984.75,205.551
"33",1985,291.283
"34",1985.25,284.422
"35",1985.5,221.571
"36",1985.75,250.697
"37",1986,253.757
"38",1986.25,267.016
"39",1986.5,220.388
"40",1986.75,277.801
"41",1987,283.233
"42",1987.25,302.072
"43",1987.5,259.72
"44",1987.75,297.658
"45",1988,306.129
"46",1988.25,322.106
"47",1988.5,256.723
"48",1988.75,341.877
"49",1989,356.004
"50",1989.25,361.54
"51",1989.5,270.433
"52",1989.75,311.105
"53",1990,326.688
"54",1990.25,327.059
"55",1990.5,274.257
"56",1990.75,367.606
"57",1991,346.163
"58",1991.25,348.211
"59",1991.5,250.008
"60",1991.75,292.518
"61",1992,343.318
"62",1992.25,343.429
"63",1992.5,275.386
"64",1992.75,329.747
"65",1993,364.521
"66",1993.25,378.448
"67",1993.5,300.798
"68",1993.75,331.757
"69",1994,362.536
"70",1994.25,389.133
"71",1994.5,323.322
"72",1994.75,391.832
"73",1995,421.646
"74",1995.25,416.823
"75",1995.5,311.713
"76",1995.75,381.902
"77",1996,422.982
"78",1996.25,427.722
"79",1996.5,376.85
"80",1996.75,458.58
"81",1997,436.225
"82",1997.25,441.487
"83",1997.5,369.566
"84",1997.75,450.723
"85",1998,462.442
"86",1998.25,468.232
"87",1998.5,403.636
"88",1998.75,413.948
"89",1999,460.496
"90",1999.25,448.932
"91",1999.5,407.787
"92",1999.75,469.408
"93",2000,494.311
"94",2000.25,433.24
"95",2000.5,335.106
"96",2000.75,378.795
"97",2001,387.1
"98",2001.25,372.395
"99",2001.5,335.79
"100",2001.75,397.08
"101",2002,449.755
"102",2002.25,402.252
"103",2002.5,391.847
"104",2002.75,385.89
"105",2003,424.325
"106",2003.25,433.28
"107",2003.5,391.213
"108",2003.75,408.74
"109",2004,445.458
"110",2004.25,428.202
"111",2004.5,379.048
"112",2004.75,394.042
"113",2005,432.796
