"","Year","Tmax","Tmin"
"1",48,115,67
"2",49,113,61
"3",50,115,66
"4",51,112,66
"5",52,112,68
"6",53,112,64
"7",54,112,67
"8",55,107,67
"9",56,110,63
"10",57,112,63
"11",58,118,73
"12",59,111,73
"13",60,112,72
"14",61,114,67
"15",62,113,62
"16",63,112,69
"17",64,112,67
"18",65,113,61
"19",66,113,68
"20",67,110,72
"21",68,110,61
"22",69,114,68
"23",70,113,72
"24",71,114,72
"25",72,116,71
"26",73,115,69
"27",74,113,72
"28",75,116,69
"29",76,111,71
"30",77,113,78
"31",78,115,70
"32",79,114,68
"33",80,115,73
"34",81,113,74
"35",82,113,73
"36",83,116,75
"37",84,112,68
"38",85,115,73
"39",86,115,71
"40",87,114,74
"41",88,113,75
"42",89,118,74
"43",90,115,70
