"","Year","Prec"
"1",1900,239
"2",1901,232
"3",1902,434
"4",1903,85
"5",1904,302
"6",1905,174
"7",1906,170
"8",1907,121
"9",1908,193
"10",1909,168
"11",1910,148
"12",1911,116
"13",1912,132
"14",1913,132
"15",1914,144
"16",1915,183
"17",1916,223
"18",1917,96
"19",1918,298
"20",1919,97
"21",1920,116
"22",1921,146
"23",1922,84
"24",1923,230
"25",1924,138
"26",1925,170
"27",1926,117
"28",1927,115
"29",1928,132
"30",1929,125
"31",1930,156
"32",1931,124
"33",1932,189
"34",1933,193
"35",1934,71
"36",1935,176
"37",1936,105
"38",1937,93
"39",1938,354
"40",1939,60
"41",1940,151
"42",1941,160
"43",1942,219
"44",1943,142
"45",1944,117
"46",1945,87
"47",1946,223
"48",1947,215
"49",1948,108
"50",1949,354
"51",1950,213
"52",1951,306
"53",1952,169
"54",1953,184
"55",1954,71
"56",1955,98
"57",1956,96
"58",1957,218
"59",1958,176
"60",1959,121
"61",1960,161
"62",1961,321
"63",1962,102
"64",1963,269
"65",1964,98
"66",1965,271
"67",1966,95
"68",1967,212
"69",1968,151
"70",1969,136
"71",1970,240
"72",1971,162
"73",1972,71
"74",1973,110
"75",1974,285
"76",1975,215
"77",1976,103
"78",1977,443
"79",1978,185
"80",1979,199
"81",1980,115
"82",1981,134
"83",1982,297
"84",1983,187
"85",1984,203
"86",1985,146
"87",1986,94
"88",1987,129
"89",1988,162
"90",1989,112
"91",1990,348
"92",1991,95
"93",1992,249
"94",1993,103
"95",1994,181
"96",1995,152
"97",1996,135
"98",1997,463
"99",1998,183
"100",1999,241
