"","JAN05","FEB05","MAR05","APR05","MAY05","JUN05","JUL05","AUG05","SEP05","OCT05","NOV05","DEC05"
"LongShortEquity",-0.91,1.26,-1.18,-1.95,1.88,1.87,2.65,0.39,1.33,-1.65,1.64,1.37
"ArbitrageEventDriven",-0.1,0.9,-0.31,-1.55,0.05,1.22,1.75,0.89,1.1,-0.82,0.82,1.2
"GlobalMacro",0.59,2.28,-1.07,-0.73,1,1.33,1.87,1.21,3.48,-1.72,2.23,3.05
"ConvertibleArbitrage",-0.91,-0.48,-1.37,-2.89,-1.42,1.07,1.21,0.73,1.23,-0.21,-0.09,0.75
"Distressed",0.33,1.36,0.34,-0.6,-0.09,1.14,1.7,1.16,1.43,-0.42,1.2,1.62
"EventDriven",-0.18,1.69,-0.4,-2.15,0.83,1.8,2.42,1.18,1.37,-2.62,1.42,1.62
"HighYield",0.3,1.48,-0.85,-0.99,0.46,1.33,1.73,1.16,0.65,-0.29,0.75,1.15
"MarketNeutral",0.55,0.73,0.03,-0.2,0.43,0.7,0.44,0.26,0.91,-0.16,0.65,0.31
"MergerArbitrage",0.13,0.91,0.44,-1.04,0.75,0.86,1.24,0.57,0.01,-1.51,1.25,1.03
"MultipleArbitrage",0.06,0.96,-0.17,-1.38,-0.29,0.92,2.01,0.97,0.96,-0.58,0.56,1.38
"Opportunistic",-0.89,1.65,-0.74,-2.04,0.77,2.13,2.01,1.1,2.57,-1.94,1.14,1.79
"ShortBiased",4.33,2.01,1.93,3.59,-3.97,-0.57,-1.53,2.25,2.35,2.69,-2.84,-0.2
"MSCI.EAFE",-1.88,4.14,-2.89,-2.73,-0.38,1.12,3.02,2.26,4.27,-2.97,2.25,4.61
"NASDAQ",-5.2,-0.52,-2.56,-3.88,7.63,-0.54,6.22,-1.5,-0.02,-1.46,5.31,-1.23
"Russell2000",-4.17,1.69,-2.86,-5.73,6.55,3.86,6.34,-1.85,0.31,-3.1,4.85,-0.46
"SP500",-2.53,1.89,-1.91,-2.01,3,-0.01,3.6,-1.12,0.7,-1.77,3.52,-0.1
