"","t","con","trt"
"1",0,20.5,21.3
"2",1,19.399,16.35
"3",3,22.25,19.25
"4",7,17.949,16.6
"5",8,19.899,14.75
"6",10,21.449,18.149
"7",14,16.899,14.649
"8",15,21.5,16.7
"9",17,22.8,15.05
"10",21,24.699,15.5
"11",22,26.2,13.949
"12",24,28.5,16.949
"13",28,24.35,15.6
"14",29,24.399,14.699
"15",31,26.6,14.15
"16",35,26.2,14.899
"17",36,26.649,12.449
"18",38,29.25,14.85
"19",42,27.55,16.75
"20",43,29.6,14.3
"21",45,24.899,16
"22",49,27.6,16.85
"23",50,28.1,15.65
"24",52,27.85,17.149
"25",56,26.899,18.05
"26",57,27.8,15.699
"27",59,30.25,18.25
"28",63,27.6,18.149
"29",64,27.449,16.149
"30",70,27.199,16.899
"31",73,27.8,18.95
"32",77,28.199,22
"33",80,28,23.6
"34",84,27.3,23.75
"35",87,27.899,27.149
"36",91,28.699,28.449
"37",94,27.6,25.85
"38",98,28.6,29.7
"39",105,27.5,29.449
