"","Company","Patents","RDS","lgRD"
"1","ABBOTT LABORATORIES                     ",42,0.0549,4.0869
"2","AFFILIATED HOSPITAL PRDS                ",1,0.0032,-2.0794
"3","ALBERTO-CULVER CO                       ",3,0.0078,0.1187
"4","ALCON LABORATORIES                      ",2,0.0803,1.8796
"5","ALLERGAN PHARMACEUTICALS INC            ",3,0.0686,1.1033
"6","ALZA CORP-CL A                          ",40,3.3319,2.0794
"7","AMERICAN HOME PRODUCTS CORP             ",60,0.0243,4.0953
"8","AMERICAN HOSPITAL SUPPLY                ",30,0.0128,2.8333
"9","AMERICAN STERILIZER CO                  ",7,0.0252,1.3915
"10","AVON PRODUCTS                           ",3,0.0094,2.6048
"11","BARD(C.R.) INC                          ",5,0.0146,0.7957
"12","BAXTER TRAVENOL LABORATORIES            ",59,0.0496,3.5207
"13","BECTON, DICKINSON & CO                  ",26,0.0395,3.0001
"14","BENTLEY LABORATORIES                    ",3,0.078,0.5371
"15","BOCK DRUG-CL A                          ",0,0.0171,0.7761
"16","BRISTOL-MYERS CO                        ",66,0.0347,4.2338
"17","CARTER-WALLACE INC                      ",0,0.0569,2.2178
"18","CAVITRON CORP                           ",8,0.1095,0.851
"19","CHATTEM INC                             ",2,0.019,-0.1567
"20","CHESEBROUGH-POND'S INC                  ",4,0.0084,1.8358
"21","CLINICAL SCIENCES INC                   ",0,0.1003,-1.6045
"22","CODE LABORATORIES INC                   ",0,0.0623,0.7071
"23","CONCEPT INC                             ",3,0.0707,-0.9916
"24","COOPER LABORATORIES                     ",6,0.0359,1.2296
"25","DATASCOPE CORP                          ",3,0.0596,-0.531
"26","DEL LABORATORIES INC                    ",0,0.0076,-1.231
"27","DENTSPLY INTERNATIONAL INC              ",6,0.0185,0.927
"28","DESERET PHARMACEUTICAL                  ",2,0.008,-1.1332
"29","DYNATECH CORP                           ",3,0.064,-0.0419
"30","ELECTRO CATHETER CORP                   ",0,0.078,-1.8326
"31","EVEREST & JENNINGS INTL                 ",1,0.0025,-1.8264
"32","FABERGE INC                             ",1,0.004,-0.1985
"33","FOREST LABORATORIES INC                 ",0,0.0329,-1.7838
"34","GILLETTE CO                             ",25,0.0234,3.5525
"35","GUARDIAN CHEMICAL CORP                  ",2,0.0387,-2.5639
"36","HELENE CURTIS INDUSTRIES                ",4,0.0133,0.4523
"37","ICN PHARMACEUTICALS INC                 ",1,0.0324,1.0529
"38","INSTRUMENTATION LABS INC                ",1,0.0882,1.4873
"39","INTL FLAVORS & FRAGRANCES               ",51,0.0587,2.7793
"40","JOHNSON & JOHNSON                       ",105,0.0446,4.7233
"41","JOHNSON PRODUCTS                        ",1,0.0131,-0.6444
"42","KEY PHARAMACEUTICALS INC                ",0,0.016,-2.9565
"43","LA MAUR INC                             ",0,0.0143,-0.9545
"44","LILLY (ELI) & CO                        ",166,0.0843,4.7278
"45","MALLINCKRODT INC                        ",8,0.032,2.1831
"46","MARION LABORATORIES                     ",6,0.0599,1.5773
"47","MERCK & CO                              ",173,0.0821,4.9152
"48"," ????                                   ",25,0.0535,3.1807
"49","MINE SAFETY APPLIANCES CO               ",14,0.0226,1.4036
"50","NARCO SCIENTIFIC INC                    ",3,0.0397,1.0043
"51","NESTLE-LEMUR CO                         ",0,0.0103,-2.333
"52","NEWPORT PHARMACEUTICALS INTL            ",0,0.7159,-0.1815
"53","NOXELL CORP                             ",2,0.0107,0.267
"54","PFIZER INC                              ",93,0.0467,4.4785
"55","PURITAN-BENNETT CORP                    ",3,0.0369,0.7105
"56","REDKEN LABORATORIES                     ",2,0.0316,0.2979
"57","RESEARCH INDUSTRIES CORP                ",0,0.0355,-2.8647
"58","REVLON INC                              ",5,0.0166,2.7622
"59","RICHARDSON-MERRELL INC                  ",23,0.0417,3.4383
"60","ROBINS (A.H.) CO                        ",11,0.0447,2.5439
"61","RORER GROUP                             ",13,0.0401,2.4436
"62","SCHERER (R.P.)                          ",0,0.005,-0.4125
"63","SCHERING-PLOUGH                         ",90,0.0618,3.9865
"64","SEARLE (G.D.) & CO                      ",63,0.069,3.962
"65","SMITHKLINE CORP                         ",112,0.0813,4.0029
"66","SQUIBB CORP                             ",115,0.0409,3.9051
"67","STERLING DRUG INC                       ",48,0.0331,3.5909
"68","SYBRON CORP                             ",15,0.0323,2.9242
"69","SYNTEX CORP                             ",69,0.0859,3.1707
"70","TECHNICARE CORP                         ",4,0.0591,1.8089
