"","time","mink"
"1",1848,37123
"2",1849,34712
"3",1850,29619
"4",1851,21151
"5",1852,24859
"6",1853,25152
"7",1854,42375
"8",1855,50839
"9",1856,61581
"10",1857,61951
"11",1858,76231
"12",1859,63264
"13",1860,44730
"14",1861,31094
"15",1862,49452
"16",1863,43961
"17",1864,61727
"18",1865,60334
"19",1866,51404
"20",1867,58451
"21",1868,73575
"22",1869,74343
"23",1870,27708
"24",1871,31985
"25",1872,39266
"26",1873,44740
"27",1874,60429
"28",1875,72273
"29",1876,79214
"30",1877,79060
"31",1878,84244
"32",1879,62590
"33",1880,35072
"34",1881,36160
"35",1882,45600
"36",1883,47508
"37",1884,52290
"38",1885,110824
"39",1886,76503
"40",1887,64303
"41",1888,83023
"42",1889,40748
"43",1890,35396
"44",1891,29479
"45",1892,42264
"46",1893,58171
"47",1894,50815
"48",1895,51285
"49",1896,70229
"50",1897,76365
"51",1898,70407
"52",1899,41839
"53",1900,45978
"54",1901,47813
"55",1902,57620
"56",1903,66549
"57",1904,54673
"58",1905,55996
"59",1906,60053
"60",1907,39169
"61",1908,21534
"62",1909,17857
"63",1910,21788
"64",1911,33008
