"","time","uselec"
"1",1985,227.86
"2",1985.08333333333,198.24
"3",1985.16666666667,194.97
"4",1985.25,184.88
"5",1985.33333333333,196.79
"6",1985.41666666667,205.36
"7",1985.5,226.72
"8",1985.58333333333,226.05
"9",1985.66666666667,202.5
"10",1985.75,194.79
"11",1985.83333333333,192.43
"12",1985.91666666667,219.25
"13",1986,217.47
"14",1986.08333333333,192.34
"15",1986.16666666667,196.83
"16",1986.25,186.07
"17",1986.33333333333,197.31
"18",1986.41666666667,215.02
"19",1986.5,242.67
"20",1986.58333333333,225.17
"21",1986.66666666667,206.69
"22",1986.75,197.75
"23",1986.83333333333,196.43
"24",1986.91666666667,213.55
"25",1987,222.75
"26",1987.08333333333,194.03
"27",1987.16666666667,201.85
"28",1987.25,189.5
"29",1987.33333333333,206.07
"30",1987.41666666667,225.59
"31",1987.5,247.91
"32",1987.58333333333,247.64
"33",1987.66666666667,213.01
"34",1987.75,203.01
"35",1987.83333333333,200.26
"36",1987.91666666667,220.5
"37",1988,237.9
"38",1988.08333333333,216.94
"39",1988.16666666667,214.01
"40",1988.25,196
"41",1988.33333333333,208.37
"42",1988.41666666667,232.75
"43",1988.5,257.46
"44",1988.58333333333,267.69
"45",1988.66666666667,220.18
"46",1988.75,210.61
"47",1988.83333333333,209.59
"48",1988.91666666667,232.75
"49",1989,232.75
"50",1989.08333333333,219.82
"51",1989.16666666667,226.74
"52",1989.25,208.04
"53",1989.33333333333,220.12
"54",1989.41666666667,235.69
"55",1989.5,257.05
"56",1989.58333333333,258.69
"57",1989.66666666667,227.15
"58",1989.75,219.91
"59",1989.83333333333,219.3
"60",1989.91666666667,259.04
"61",1990,237.29
"62",1990.08333333333,212.88
"63",1990.16666666667,226.03
"64",1990.25,211.07
"65",1990.33333333333,222.91
"66",1990.41666666667,249.18
"67",1990.5,266.38
"68",1990.58333333333,268.53
"69",1990.66666666667,238.02
"70",1990.75,224.69
"71",1990.83333333333,213.75
"72",1990.91666666667,237.43
"73",1991,248.46
"74",1991.08333333333,210.82
"75",1991.16666666667,221.4
"76",1991.25,209
"77",1991.33333333333,234.37
"78",1991.41666666667,248.43
"79",1991.5,271.98
"80",1991.58333333333,268.11
"81",1991.66666666667,233.88
"82",1991.75,223.43
"83",1991.83333333333,221.38
"84",1991.91666666667,233.76
"85",1992,243.97
"86",1992.08333333333,217.76
"87",1992.16666666667,224.66
"88",1992.25,210.84
"89",1992.33333333333,220.35
"90",1992.41666666667,236.84
"91",1992.5,266.15
"92",1992.58333333333,255.2
"93",1992.66666666667,234.76
"94",1992.75,221.29
"95",1992.83333333333,221.26
"96",1992.91666666667,244.13
"97",1993,245.78
"98",1993.08333333333,224.62
"99",1993.16666666667,234.8
"100",1993.25,211.37
"101",1993.33333333333,222.39
"102",1993.41666666667,249.63
"103",1993.5,282.29
"104",1993.58333333333,279.13
"105",1993.66666666667,236.6
"106",1993.75,223.62
"107",1993.83333333333,225.86
"108",1993.91666666667,246.41
"109",1994,261.7
"110",1994.08333333333,225.01
"111",1994.16666666667,231.54
"112",1994.25,214.82
"113",1994.33333333333,227.7
"114",1994.41666666667,263.86
"115",1994.5,278.15
"116",1994.58333333333,274.64
"117",1994.66666666667,237.66
"118",1994.75,227.97
"119",1994.83333333333,224.75
"120",1994.91666666667,242.91
"121",1995,253.08
"122",1995.08333333333,228.13
"123",1995.16666666667,233.68
"124",1995.25,217.38
"125",1995.33333333333,236.38
"126",1995.41666666667,256.08
"127",1995.5,292.83
"128",1995.58333333333,304.71
"129",1995.66666666667,245.57
"130",1995.75,234.41
"131",1995.83333333333,234.12
"132",1995.91666666667,258.17
"133",1996,268.66
"134",1996.08333333333,245.31
"135",1996.16666666667,247.47
"136",1996.25,226.25
"137",1996.33333333333,251.67
"138",1996.41666666667,268.79
"139",1996.5,288.94
"140",1996.58333333333,290.16
"141",1996.66666666667,250.69
"142",1996.75,240.8
