"","time","ustreas"
"1",1,91.57
"2",2,91.56
"3",3,91.4
"4",4,91.39
"5",5,91.2
"6",6,90.9
"7",7,90.99
"8",8,91.17
"9",9,90.98
"10",10,91.11
"11",11,91.2
"12",12,90.92
"13",13,90.73
"14",14,90.79
"15",15,90.86
"16",16,90.83
"17",17,90.8
"18",18,90.21
"19",19,90.1
"20",20,90.1
"21",21,89.66
"22",22,89.81
"23",23,89.4
"24",24,89.34
"25",25,89.16
"26",26,88.71
"27",27,89.28
"28",28,89.36
"29",29,89.64
"30",30,89.53
"31",31,89.32
"32",32,89.14
"33",33,89.41
"34",34,89.53
"35",35,89.16
"36",36,88.98
"37",37,88.5
"38",38,88.63
"39",39,88.62
"40",40,88.76
"41",41,89.07
"42",42,88.47
"43",43,88.41
"44",44,88.57
"45",45,88.23
"46",46,87.93
"47",47,87.88
"48",48,88.18
"49",49,88.04
"50",50,88.18
"51",51,88.78
"52",52,89.29
"53",53,89.14
"54",54,89.14
"55",55,89.42
"56",56,89.26
"57",57,89.37
"58",58,89.51
"59",59,89.66
"60",60,89.39
"61",61,89.02
"62",62,89.05
"63",63,88.97
"64",64,88.57
"65",65,88.44
"66",66,88.52
"67",67,87.92
"68",68,87.71
"69",69,87.52
"70",70,87.37
"71",71,87.27
"72",72,87.07
"73",73,86.83
"74",74,86.88
"75",75,87.48
"76",76,87.3
"77",77,87.87
"78",78,87.85
"79",79,87.83
"80",80,87.4
"81",81,86.89
"82",82,87.38
"83",83,87.48
"84",84,87.21
"85",85,87.02
"86",86,87.1
"87",87,87.02
"88",88,87.07
"89",89,86.74
"90",90,86.35
"91",91,86.32
"92",92,86.77
"93",93,86.77
"94",94,86.49
"95",95,86.02
"96",96,85.52
"97",97,85.02
"98",98,84.42
"99",99,85.29
"100",100,85.32
