"","time","wheat"
"1",1264,385.34
"2",1265,438.82
"3",1266,317.22
"4",1267,505.15
"5",1268,513.57
"6",1269,515.48
"7",1270,519.31
"8",1271,524.42
"9",1272,430.38
"10",1273,527.86
"11",1274,467.25
"12",1275,547.68
"13",1276,428.1
"14",1277,519.38
"15",1278,404.74
"16",1279,377.95
"17",1280,439.9
"18",1281,434.65
"19",1282,472.25
"20",1283,434.87
"21",1284,468.36
"22",1285,486
"23",1286,476.66
"24",1287,422.87
"25",1288,321.15
"26",1289,360.79
"27",1290,435.66
"28",1291,493.59
"29",1292,472.93
"30",1293,469.13
"31",1294,608.37
"32",1295,562.38
"33",1296,525.81
"34",1297,415.59
"35",1298,398.06
"36",1299,436.89
"37",1300,434.64
"38",1301,432.37
"39",1302,436.46
"40",1303,454.18
"41",1304,353.71
"42",1305,486.32
"43",1306,397.47
"44",1307,340.25
"45",1308,427.57
"46",1309,472.29
"47",1310,466.95
"48",1311,463.79
"49",1312,332.87
"50",1313,396.88
"51",1314,400.09
"52",1315,513.36
"53",1316,559.07
"54",1317,602.5
"55",1318,436.19
"56",1319,309.19
"57",1320,443.44
"58",1321,429.61
"59",1322,669.12
"60",1323,441.38
"61",1324,440.42
"62",1325,471.11
"63",1326,372.26
"64",1327,308.55
"65",1328,330.52
"66",1329,439.67
"67",1330,442.34
"68",1331,434.54
"69",1332,490.87
"70",1333,343.64
"71",1334,343.52
"72",1335,338.43
"73",1336,424.45
"74",1337,358.84
"75",1338,341.53
"76",1339,330.08
"77",1340,497.54
"78",1341,333.63
"79",1342,362.37
"80",1343,398.84
"81",1344,471.53
"82",1345,289.33
"83",1346,351.94
"84",1347,510.98
"85",1348,461.96
"86",1349,347.99
"87",1350,436.01
"88",1351,499.4
"89",1352,516.88
"90",1353,421.33
"91",1354,291.39
"92",1355,374.25
"93",1356,398.23
"94",1357,365.47
"95",1358,399.48
"96",1359,356.31
"97",1360,355.06
"98",1361,389.09
"99",1362,285.71
"100",1363,392
"101",1364,456.03
"102",1365,421.94
"103",1366,403.81
"104",1367,396.69
"105",1368,502.69
"106",1369,358.37
"107",1370,521.93
"108",1371,463.62
"109",1372,426.42
"110",1373,485.72
"111",1374,401.01
"112",1375,531.99
"113",1376,430.61
"114",1377,343.58
"115",1378,315.35
"116",1379,307.93
"117",1380,443.44
"118",1381,424.78
"119",1382,409.02
"120",1383,396.94
"121",1384,337.55
"122",1385,403.86
"123",1386,393.54
"124",1387,330.8
"125",1388,269.71
"126",1389,297.89
"127",1390,416.37
"128",1391,532.98
"129",1392,427.62
"130",1393,260.76
"131",1394,299.12
"132",1395,339.37
"133",1396,409.16
"134",1397,416.12
"135",1398,388.47
"136",1399,374.89
"137",1400,430.87
"138",1401,494
"139",1402,477.09
"140",1403,458.11
"141",1404,404.04
"142",1405,327.33
"143",1406,308.86
"144",1407,354.6
"145",1408,345.44
"146",1409,490.86
"147",1410,558.26
"148",1411,372.58
"149",1412,380.16
"150",1413,367.25
"151",1414,321.93
"152",1415,303.8
"153",1416,411.05
"154",1417,501.1
"155",1418,376.05
"156",1419,593.39
"157",1420,378.92
"158",1421,544.44
"159",1422,436.73
"160",1423,325.05
"161",1424,350.66
"162",1425,366.97
"163",1426,316.25
"164",1427,332.28
"165",1428,354.6
"166",1429,567.46
"167",1430,464.75
"168",1431,418.27
"169",1432,370.65
"170",1433,500.3
"171",1434,435.1
"172",1435,414.71
"173",1436,470.8
"174",1437,475.48
"175",1438,589.4
"176",1439,769.36
"177",1440,437.62
"178",1441,337.55
"179",1442,383.22
"180",1443,328.85
"181",1444,330.94
"182",1445,370.53
"183",1446,536.53
"184",1447,484.39
"185",1448,410.36
"186",1449,429.9
"187",1450,420.29
"188",1451,487.75
"189",1452,542.87
"190",1453,478.49
"191",1454,393.81
"192",1455,332.17
"193",1456,437.82
"194",1457,433.74
"195",1458,473.94
"196",1459,492.12
"197",1460,429.77
"198",1461,486.14
"199",1462,523.94
"200",1463,400.85
"201",1464,365.03
"202",1465,309.43
"203",1466,340.65
"204",1467,400.06
"205",1468,407.61
"206",1469,427.46
"207",1470,512.95
"208",1471,457.17
"209",1472,438.17
"210",1473,339.29
"211",1474,326.9
"212",1475,405.07
"213",1476,518.25
"214",1477,512.58
"215",1478,606.84
"216",1479,551.57
"217",1480,460.45
"218",1481,410.94
"219",1482,478.4
"220",1483,516.75
"221",1484,460.18
"222",1485,434.73
