"","id","first","last","name","year","stint","team","lg","g","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp","avg"
"1","walkela01","Larry","Walker","Larry Walker",2001,1,"COL","NL",142,497,107,174,35,3,38,123,14,5,82,103,6,14,0,8,9,0.3501
"2","suzukic01","Ichiro","Suzuki","Ichiro Suzuki",2001,1,"SEA","AL",157,692,127,242,34,8,8,69,56,14,30,53,10,8,4,4,3,0.3497
"3","giambja01","Jason","Giambi","Jason Giambi",2001,1,"OAK","AL",154,520,109,178,47,2,38,120,2,0,129,83,24,13,0,9,17,0.3423
"4","alomaro01","Roberto","Alomar","Roberto Alomar",2001,1,"CLE","AL",157,575,113,193,34,12,20,100,30,6,80,71,5,4,9,9,9,0.3357
"5","heltoto01","Todd","Helton","Todd Helton",2001,1,"COL","NL",159,587,132,197,54,2,49,146,7,5,98,104,15,5,1,5,14,0.3356
"6","aloumo01","Moises","Alou","Moises Alou",2001,1,"HOU","NL",136,513,79,170,31,1,27,108,5,1,57,57,14,3,0,8,18,0.3314
"7","berkmla01","Lance","Berkman","Lance Berkman",2001,1,"HOU","NL",156,577,110,191,55,5,34,126,7,9,92,121,5,13,0,6,8,0.331
"8","boonebr01","Bret","Boone","Bret Boone",2001,1,"SEA","AL",158,623,118,206,37,3,37,141,5,5,40,110,5,9,5,13,11,0.3307
"9","catalfr01","Frank","Catalanotto","Frank Catalanotto",2001,1,"TEX","AL",133,463,77,153,31,5,11,54,15,5,39,55,3,8,1,1,5,0.3305
"10","jonesch06","Chipper","Jones","Chipper Jones",2001,1,"ATL","NL",159,572,113,189,33,5,38,102,9,10,98,82,20,2,0,5,13,0.3304
"11","pujolal01","Albert","Pujols","Albert Pujols",2001,1,"SLN","NL",161,590,112,194,47,4,37,130,1,3,69,93,6,9,1,7,21,0.3288
"12","bondsba01","Barry","Bonds","Barry Bonds",2001,1,"SFN","NL",153,476,129,156,32,2,73,137,13,3,177,93,35,9,0,2,5,0.3277
"13","sosasa01","Sammy","Sosa","Sammy Sosa",2001,1,"CHN","NL",160,577,146,189,34,5,64,160,0,2,116,153,37,6,0,12,6,0.3276
"14","pierrju01","Juan","Pierre","Juan Pierre",2001,1,"COL","NL",156,617,108,202,26,11,2,55,46,17,41,29,1,10,14,1,6,0.3274
"15","gonzaju03","Juan","Gonzalez","Juan Gonzalez",2001,1,"CLE","AL",140,532,97,173,34,1,35,140,1,0,41,94,5,6,0,16,18,0.3252
"16","gonzalu01","Luis","Gonzalez","Luis Gonzalez",2001,1,"ARI","NL",162,609,128,198,36,7,57,142,1,1,100,83,24,14,0,5,14,0.3251
"17","aurilri01","Rich","Aurilia","Rich Aurilia",2001,1,"SFN","NL",156,636,114,206,37,5,37,97,1,3,47,83,2,0,3,3,14,0.3239
"18","loducpa01","Paul","Lo Duca","Paul Lo Duca",2001,1,"LAN","NL",125,460,71,147,28,0,25,90,2,4,39,30,2,6,5,9,11,0.3196
"19","vidrojo01","Jose","Vidro","Jose Vidro",2001,1,"MON","NL",124,486,82,155,34,1,15,59,4,1,31,49,2,10,2,2,18,0.3189
"20","rodrial01","Alex","Rodriguez","Alex Rodriguez",2001,1,"TEX","AL",162,632,133,201,34,1,52,135,18,3,75,131,6,16,0,9,17,0.318
"21","floydcl01","Cliff","Floyd","Cliff Floyd",2001,1,"FLO","NL",149,555,123,176,44,4,31,103,18,3,59,101,19,10,0,5,9,0.3171
"22","stewash01","Shannon","Stewart","Shannon Stewart",2001,1,"TOR","AL",155,640,103,202,44,7,12,60,27,10,46,72,1,11,0,1,9,0.3156
"23","cirilje01","Jeff","Cirillo","Jeff Cirillo",2001,1,"COL","NL",138,528,72,165,26,4,17,83,12,2,43,63,6,5,1,9,15,0.3125
"24","coninje01","Jeff","Conine","Jeff Conine",2001,1,"BAL","AL",139,524,75,163,23,2,14,97,12,8,64,75,6,5,0,8,12,0.3111
"25","jeterde01","Derek","Jeter","Derek Jeter",2001,1,"NYA","AL",150,614,110,191,35,3,21,74,27,3,56,99,3,10,5,1,13,0.3111
"26","sheffga01","Gary","Sheffield","Gary Sheffield",2001,1,"LAN","NL",143,515,98,160,28,2,36,100,10,4,94,67,13,4,0,5,12,0.3107
"27","caseyse01","Sean","Casey","Sean Casey",2001,1,"CIN","NL",145,533,69,165,40,0,13,89,3,1,43,63,8,9,0,3,16,0.3096
"28","gilesbr02","Brian","Giles","Brian Giles",2001,1,"PIT","NL",160,576,116,178,37,7,37,95,13,6,90,67,14,4,0,4,10,0.309
"29","willibe02","Bernie","Williams","Bernie Williams",2001,1,"NYA","AL",146,540,102,166,38,0,26,94,11,5,78,67,11,6,0,9,15,0.3074
"30","guerrvl01","Vladimir","Guerrero","Vladimir Guerrero",2001,1,"MON","NL",159,599,107,184,45,4,34,108,37,16,60,88,24,9,0,3,24,0.3072
"31","polanpl01","Placido","Polanco","Placido Polanco",2001,1,"SLN","NL",144,564,87,173,26,4,3,38,12,3,25,43,0,6,14,1,22,0.3067
"32","martied01","Edgar","Martinez","Edgar Martinez",2001,1,"SEA","AL",132,470,80,144,40,1,23,116,4,1,93,90,9,9,0,9,11,0.3064
"33","beltrca01","Carlos","Beltran","Carlos Beltran",2001,1,"KCA","AL",155,617,106,189,32,12,24,101,31,1,52,120,2,5,1,5,7,0.3063
