"","State","Abb","Region","Change"
"1","Alabama","AL","South",7.5
"2","Alaska","AK","West",13.3
"3","Arizona","AZ","West",24.6
"4","Arkansas","AR","South",9.1
"5","California","CA","West",10
"6","Colorado","CO","West",16.9
"7","Connecticut","CT","Northeast",4.9
"8","Delaware","DE","South",14.6
"10","Florida","FL","South",17.6
"11","Georgia","GA","South",18.3
"12","Hawaii","HI","West",12.3
"13","Idaho","ID","West",21.1
"14","Illinois","IL","North Central",3.3
"15","Indiana","IN","North Central",6.6
"16","Iowa","IA","North Central",4.1
"17","Kansas","KS","North Central",6.1
"18","Kentucky","KY","South",7.4
"19","Louisiana","LA","South",1.4
"20","Maine","ME","Northeast",4.2
"21","Maryland","MD","South",9
"22","Massachusetts","MA","Northeast",3.1
"23","Michigan","MI","North Central",-0.6
"24","Minnesota","MN","North Central",7.8
"25","Mississippi","MS","South",4.3
"26","Missouri","MO","North Central",7
"27","Montana","MT","West",9.7
"28","Nebraska","NE","North Central",6.7
"29","Nevada","NV","West",35.1
"30","New Hampshire","NH","Northeast",6.5
"31","New Jersey","NJ","Northeast",4.5
"32","New Mexico","NM","West",13.2
"33","New York","NY","Northeast",2.1
"34","North Carolina","NC","South",18.5
"35","North Dakota","ND","North Central",4.7
"36","Ohio","OH","North Central",1.6
"37","Oklahoma","OK","South",8.7
"38","Oregon","OR","West",12
"39","Pennsylvania","PA","Northeast",3.4
"40","Rhode Island","RI","Northeast",0.4
"41","South Carolina","SC","South",15.3
"42","South Dakota","SD","North Central",7.9
"43","Tennessee","TN","South",11.5
"44","Texas","TX","South",20.6
"45","Utah","UT","West",23.8
"46","Vermont","VT","Northeast",2.8
"47","Virginia","VA","South",13
"48","Washington","WA","West",14.1
"49","West Virginia","WV","South",2.5
"50","Wisconsin","WI","North Central",6
"51","Wyoming","WY","West",14.1
