"","V1","V2"
"1",-66.53,45.87
"2",-63.52,44.88
"3",-60.05,46.17
"4",-65.47,47.01
"5",-64.48,45.07
"6",-65.2,44.43
"7",-64.24,45.76
"8",-65.52,44.75
"9",-66.37,45.98
"10",-67.55,46.17
"11",-65.65,47.6
"12",-65.07,47.75
"13",-64.77,46.43
"14",-65.53,45.72
"15",-66.43,45.83
"16",-64.85,44.23
"17",-63.27,45.37
"18",-64.92,44.98
"19",-60.4,46.67
"20",-64.35,45.41
"21",-63.66,45.84
"22",-63.5,44.63
"23",-63.13,46.29
"24",-63.84,46.44
"25",-64.07,46.8
"26",-64.95,45.6
"27",-67.72,46.8
"28",-66.12,46.55
"29",-66.47,45.85
"30",-64.87,46.63
"31",-66.07,45.27
"32",-60.75,46.1
"33",-61.02,46.62
"34",-64.52,44.37
"35",-63.13,45.05
