"","x","y"
"1",-6866928.47049373,1923670.30196653
"2",-6889254.03965028,1933083.00247353
"3",-6878926.59653091,1939845.92736324
"4",-6866928.47049373,1923670.30196653
"5",NA,NA
"6",-6871659.99413039,1991787.21060401
"7",-6885450.92056681,1988802.9255689
"8",-6887677.75566064,2002918.07047496
"9",-6871659.99413039,1991787.21060401
"10",NA,NA
"11",329907.556109855,4411573.98806433
"12",532756.381262157,4424442.53332102
"13",593116.369518556,4389083.53349336
"14",712259.171485799,4451155.01068736
"15",959799.989204328,4430937.39057162
"16",910995.409370243,4372987.02853281
"17",918571.145996681,4115666.32874884
"18",834061.173449125,4013705.60709871
"19",929363.014031642,3833524.28549665
"20",1008028.82463204,3776444.08807816
"21",1061666.56279791,3533714.21290996
"22",1035704.07455765,3519305.55743461
"23",1087189.33904954,3430205.81839037
"24",1107443.25248243,3226858.17015406
"25",1098908.83240127,3062902.98537961
"26",1046217.64386562,3018084.19549394
"27",1141272.1325396,2827406.95497716
"28",1286729.414977,2790312.37004143
"29",1334328.29340631,2695305.99337694
"30",829420.041238961,2374342.69532669
"31",647044.428916415,2207529.20236327
"32",472582.073916401,2172210.85754616
"33",370910.309431709,2152156.0641237
"34",359902.036306648,2251752.02497999
"35",199911.215109755,2309592.96129364
"36",129965.505501149,2361035.11944652
"37",130206.178240244,2404109.9535743
"38",-535013.829215949,2875778.40194377
"39",-741697.054228629,3015087.52062759
"40",-964782.649612228,3159807.86728042
"41",-964769.068634354,3207012.37779452
"42",-964830.850951746,3338716.23469232
"43",-793027.695947796,3456967.22531494
"44",-616524.52072307,3491022.76040755
"45",-547753.788339788,3569023.91860212
"46",-403718.723716769,3628925.60991366
"47",-425054.996558643,3723413.23907738
"48",-317693.470260526,3774911.29935635
"49",-131418.892772943,3777830.79650268
"50",-112463.632519644,3830223.49916278
"51",-185687.144534669,3930013.18942938
"52",-194499.863342798,4129581.51422261
"53",-245954.292335746,4175551.36020254
"54",105753.516253609,4362756.30055816
"55",329907.556109855,4411573.98806433
"56",NA,NA
"57",5018652.50675464,4832292.30298185
"58",5100657.54790023,4800723.33722104
"59",5140538.99205818,4698943.18867669
"60",5009870.74150499,4781491.68978104
"61",4988565.19382096,4812437.53796384
"62",4984760.32841299,4823366.18554391
"63",5018652.50675464,4832292.30298185
"64",NA,NA
"65",5066489.7716066,4954578.42917516
"66",5066984.06438951,4963133.45907561
"67",5073169.09392825,4958284.24368044
"68",5066489.7716066,4954578.42917516
"69",NA,NA
"70",5036680.60452585,5008941.21797985
"71",5034887.30691225,5007792.7215345
"72",5031175.86453885,5012012.7905627
"73",5036680.60452585,5008941.21797985
"74",NA,NA
"75",5014416.62143717,5017545.75698533
"76",5010489.45678394,5017218.11492666
"77",5009500.87121812,5025460.37551653
"78",5014416.62143717,5017545.75698533
"79",NA,NA
"80",5184302.5879527,5141815.17383507
"81",5317390.49510128,5041308.4459399
"82",5408341.21645718,5136410.47750183
"83",5513437.03454741,4962726.46697866
"84",5607718.71173592,4904120.36222135
"85",5508984.15299964,4887842.15205703
"86",5442218.95669349,4642113.07061979
"87",5345653.51095988,4698141.77518577
"88",5383387.07462301,4777001.87358855
"89",5340737.76074083,4825225.41103548
"90",5180851.03147547,4703866.45262583
"91",5180963.13911695,4802848.26652664
"92",5075703.40606606,4862752.28026426
"93",5120912.51109549,4898772.88449145
"94",5026505.98676078,5041679.79488203
"95",5011931.14406743,5056256.0519063
"96",5046853.5236903,5080800.90342449
"97",5178674.27476997,5019717.93174867
"98",5197938.10449846,5058501.37425919
"99",5142340.35802477,5114032.88339106
"100",5170985.55902479,5145571.75570987
"101",5184302.5879527,5141815.17383507
"102",NA,NA
"103",2163629.44542909,5015449.24322074
"104",2181923.80186556,5130568.74668898
"105",2156010.40552073,5138386.99558747
"106",2186964.0144502,5254014.69040992
"107",2234340.5878564,5245375.35583428
"108",2292028.4630558,5143347.9323443
"109",2281245.27794113,5061303.37497387
"110",2317795.36295074,4998911.05532083
"111",2335871.42186575,4991108.35875471
"112",2301190.27978707,4880201.32158616
"113",2227506.23903865,4821169.2530023
"114",2211144.83424031,4871715.81615837
"115",2147198.13199055,4926798.43484974
"116",2168349.05788025,4916974.3189683
"117",2163629.44542909,5015449.24322074
"118",NA,NA
"119",5026505.98676078,5041679.79488203
"120",5120912.51109549,4898772.88449145
"121",5075703.40606606,4862752.28026426
"122",5180963.13911695,4802848.26652664
"123",5180851.03147547,4703866.45262583
"124",5140538.99205818,4698943.18867669
"125",5100657.54790023,4800723.33722104
"126",5018652.50675464,4832292.30298185
"127",4984760.32841299,4823366.18554391
"128",4936709.46453199,4869414.45011575
"129",4859930.16822016,4881736.12026969
"130",4870443.65681062,4974066.99974055
"131",4838030.95961645,5029017.9449765
"132",5011931.14406743,5056256.0519063
"133",5026505.98676078,5041679.79488203
"134",NA,NA
"135",5010489.45678394,5017218.11492666
"136",5014416.62143717,5017545.75698533
"137",5009500.87121812,5025460.37551653
"138",5010489.45678394,5017218.11492666
"139",NA,NA
"140",5031175.86453885,5012012.7905627
"141",5034887.30691225,5007792.7215345
"142",5036680.60452585,5008941.21797985
"143",5031175.86453885,5012012.7905627
"144",NA,NA
"145",5073169.09392825,4958284.24368044
"146",5066984.06438951,4963133.45907561
"147",5066489.7716066,4954578.42917516
"148",5073169.09392825,4958284.24368044
"149",NA,NA
"150",1308096.8028803,-1892356.63837357
"151",1301726.62587304,-1866827.4148521
"152",1310786.96162578,-1898105.74922849
"153",1308096.8028803,-1892356.63837357
"154",NA,NA
"155",1558194.51292782,-652198.107986916
"156",1845646.149398,-658042.048485524
"157",1885937.80560775,-803462.234894801
"158",1961913.23917211,-904487.988699187
"159",2156598.77486461,-893026.567603188
"160",2175065.96089831,-780802.508270388
"161",2296492.97473183,-771524.417718739
"162",2287472.55609386,-813001.003897554
"163",2424868.11443647,-812689.772782959
"164",2425713.59289933,-1051756.09667729
"165",2483785.35118852,-1160109.02896592
"166",2477291.60098554,-1255898.48771907
