"","no2","cars","temp","wind","temp2","wind2"
"1",3.71844,7.6912,9.2,4.8,-0.1,74.4
"2",3.10009,7.69894,6.4,3.5,-0.3,56
"3",3.31419,4.81218,-3.7,0.9,-0.1,281.3
"4",4.38826,6.95177,-7.2,1.7,1.2,74
"5",4.3464,7.51806,-1.3,2.6,-0.1,65
"6",4.16044,7.67183,2.6,1.6,0.3,224.2
"7",4.01277,5.52545,-7.9,1.6,0.3,211.9
"8",2.15176,4.68213,-4.1,3.8,-0.1,63.1
"9",3.157,7.15618,-12.7,5.2,-0.1,64.5
"10",2.37955,4.74493,-1.6,3,0.4,58.3
"11",3.83298,5.81114,-3.1,1.8,0.3,78
"12",4.48187,8.10892,1,1.2,1.5,215
"13",4.0483,8.31385,12.2,4,-2.8,230.4
"14",4.00186,5.22036,-1.5,2.4,0.9,82.7
"15",3.2308,6.40853,-0.9,3,0.1,235
"16",4.67189,7.3192,-8.5,0.8,2.9,282.4
"17",2.73437,6.6174,6.5,4.1,0,88
"18",3.49651,7.76938,4.2,7.1,-1.1,9.3
"19",3.67122,6.4677,-1.1,2.5,1,277
"20",3.67377,7.65064,0.8,3.4,-0.4,70
"21",3.15274,7.75061,8.2,4.5,0.2,307
"22",3.42751,5.18178,0.2,0.4,0.2,230
"23",4.32413,7.63964,-2.1,4.3,-0.2,41.4
"24",3.65584,8.00703,-2.8,6,-0.2,62.5
"25",3.93183,7.75319,-5.4,2.5,1.4,83
"26",2.28238,4.65396,-5.7,4.9,-0.1,58.5
"27",4.13035,6.67582,6.6,1.6,0.4,104.5
"28",3.77963,7.79688,5.7,4.8,-1.5,223
"29",3.97968,8.02224,13.8,0.8,-0.1,201.6
"30",3.7542,7.48829,3.2,4.2,-0.6,285
"31",3.45632,7.75148,2.1,4.9,0.2,149
"32",2.36085,6.12468,5.3,3.2,0,73
"33",4.23411,7.71244,7.5,1.8,-2.7,273.9
"34",2.2192,7.56941,10.7,3.1,-0.9,56
"35",4.53475,7.35947,-9.6,1.3,0.1,64.6
"36",2.10413,7.99564,3.2,6.5,0,42.8
"37",4.5819,8.30251,3.5,0.5,-2.2,207.9
"38",4.03247,5.95584,6.7,1.1,0.6,89.9
"39",3.21084,6.74052,-6.4,2.8,-0.1,77
"40",4.04655,6.45205,-3,0.6,1.7,57
"41",3.94546,6.39359,-13.4,4.4,-0.1,80
"42",3.89182,7.16317,1.4,0.9,0.2,274
"43",3.22287,7.643,8.5,4.3,-0.2,322
"44",3.3569,5.93754,-2.8,2.1,-0.2,65
"45",3.31782,7.61923,16.6,4.8,-1.1,136.9
"46",3.81551,8.34854,2.7,7.7,0.1,219
"47",3.45632,8.1274,19.1,5.1,-1.2,266.6
"48",2.66723,6.83626,7.8,7.5,0.8,220
"49",3.76815,5.27811,1.5,3.3,1.6,251
"50",2.87356,5.68358,0.3,2.1,1.1,220.4
"51",3.48431,7.76004,-7.3,0.5,-0.3,176
"52",2.92852,6.30079,-1.6,2,0.1,289.1
"53",3.32143,5.52146,1.1,1,0.2,9
"54",4.35543,7.79811,16.1,1.7,-0.2,246.1
"55",3.7329,6.14419,-7.9,1.2,0.3,56
"56",2.70805,6.54965,1.1,2.8,0,66
"57",2.4248,5.64545,0.3,7.1,-0.1,69.5
"58",3.45632,6.632,4.1,3.9,0.3,212
"59",4.26127,7.64012,5.9,2.4,2.6,249
"60",2.57261,6.86589,-6.8,6.9,-0.1,50
"61",3.79549,6.6896,0.3,0.6,0.7,252
"62",4.08429,7.36771,1.8,1.7,0.7,91
"63",5.11259,7.6256,-7.9,1,-0.2,188.9
"64",3.37417,5.50533,3.4,6.3,0.6,186
"65",4.13035,8.06778,3.9,2.8,-0.1,43.5
"66",4.35927,7.76345,9.2,5.7,-0.9,199
"67",4.27667,8.25713,11,5.5,-1,216
"68",2.69463,5.57595,-3.5,4.6,-0.1,62.3
"69",4.04655,7.93487,9.7,1.8,-0.6,255.5
"70",3.91202,6.32972,1.5,1.6,0.5,275
